player_code,tm_player_id
1243,11680.0
1616,5278.0
1632,3291.0
1718,3160.0
1801,3630.0
1822,3146.0
2404,3878.0
2513,51730.0
3201,3190.0
3736,3540.0
3773,4072.0
5288,488.0
5589,13683.0
6744,13460.0
7525,4321.0
7551,4241.0
7638,3640.0
7645,13520.0
7906,36861.0
7958,3875.0
8380,12691.0
8432,
9047,3881.0
9089,13572.0
9110,9508.0
9808,3455.0
10318,4311.0
10460,13796.0
10589,
11037,49655.0
11334,5658.0
11352,51528.0
11467,36866.0
11554,12814.0
11735,13427.0
11829,14066.0
11854,31312.0
11948,
11974,2857.0
12002,4063.0
12086,3838.0
12150,12124.0
12390,9422.0
12413,2998.0
12496,7589.0
12679,9988.0
12744,33963.0
12745,13507.0
12813,3306.0
13017,3332.0
13152,56872.0
14075,5285.0
14295,3547.0
14664,13091.0
14927,
14937,8198.0
15033,10003.0
15109,13465.0
15114,40043.0
15137,15166.0
15144,9500.0
15149,13573.0
15157,3333.0
15208,2514
