id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
302,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
303,a,,,,
304,a,100.0,100.0,,
305,a,100.0,100.0,,
306,a,,,,
307,a,,,,
308,u,0.0,0.0,has joined Accrington on loan for the rest of the season.,
309,u,0.0,0.0,Has joined Bradford City permanently.,
310,a,,,,
311,a,,,,
312,u,0.0,0.0,has joined Rangers permanently.,
313,u,0.0,0.0,has joined Rotherham United on loan for the rest of the season.,
419,a,100.0,100.0,,
667,a,100.0,100.0,,
704,u,0.0,0.0,has joined Stockport County on loan for the rest of the season.,
705,a,,,,
728,a,100.0,100.0,,
779,a,,,,
314,a,,,,
315,u,0.0,0.0,Has joined Millwall on loan for the rest of the season.,
316,a,100.0,100.0,,
317,a,100.0,100.0,,
318,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
319,a,,,,
321,a,,,,
322,d,25.0,25.0,Hamstring injury - 25% chance of playing,
324,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
325,a,100.0,100.0,,
326,a,,,,
327,u,0.0,0.0,has joined Palmeiras permanently.,
328,i,0.0,0.0,Hamstring injury - Expected back 07 Jan,
329,a,100.0,100.0,,
330,a,,,,
331,a,100.0,100.0,,
332,a,100.0,100.0,,
333,u,0.0,0.0,has joined Strasbourg permanently.,
334,u,0.0,0.0,Has joined Oxford United on loan for the rest of the season.,
335,d,25.0,25.0,Knee injury - 25% chance of playing,
337,a,100.0,100.0,,
338,i,0.0,0.0,Hamstring injury - Expected back 01 Jan,
664,a,,,,
727,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
731,a,100.0,100.0,,
737,a,,,,
786,a,,,,
339,a,,,,
340,a,,,,
342,d,50.0,100.0,Calf injury - 50% chance of playing,
343,a,100.0,100.0,,
344,a,100.0,100.0,,
345,a,100.0,100.0,,
347,a,100.0,100.0,,
348,d,50.0,0.0,Ankle injury - 50% chance of playing,
349,u,0.0,0.0,has joined Werder Bremen on loan for the rest of the season.,
350,a,,,,
351,a,100.0,100.0,,
352,a,100.0,100.0,,
353,i,0.0,0.0,Hamstring injury - Expected back 31 Jan,
354,a,100.0,0.0,,
355,u,0.0,0.0,has joined Pogon Szczecin permanently.,
356,a,,,,
357,u,0.0,0.0,has joined Valencia on loan for the rest of the season.,
358,a,100.0,100.0,,
359,u,0.0,0.0,Has joined Doncaster Rovers on loan for the rest of the season.,
362,a,100.0,100.0,,
363,u,0.0,0.0,has departed the club as a free agent.,
364,u,0.0,0.0,Has joined RCD Mallorca on loan for the rest of the season.,
365,a,100.0,100.0,,
493,a,100.0,0.0,,
660,a,100.0,100.0,,
665,a,100.0,100.0,,
691,a,100.0,100.0,,
698,a,100.0,100.0,,
706,a,,,,
372,a,,,,
373,a,,,,
375,a,100.0,100.0,,
376,a,100.0,50.0,,
773,a,,,,
377,u,0.0,0.0,has joined AS Roma on loan for the rest of the season.,
379,a,,,,
380,a,,,,
381,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
382,a,100.0,100.0,,
383,u,0.0,0.0,Has joined Bayern Munch permanently.,
384,a,100.0,100.0,,
385,a,100.0,100.0,,
386,a,100.0,100.0,,
387,a,100.0,100.0,,
388,a,100.0,100.0,,
390,a,100.0,100.0,,
392,i,0.0,0.0,Ankle injury - Unknown return date,
393,i,0.0,0.0,Hamstring injury - Unknown return date,
394,u,0.0,0.0,has joined Ajax on loan for the rest of the season.,
395,u,0.0,0.0,Has joined Lyon permanently.,
396,a,,,,
397,u,0.0,0.0,Has joined Al-Hilal permanently.,
398,i,0.0,0.0,Hamstring injury - Unknown return date,
499,i,0.0,0.0,Ankle injury - Unknown return date,
661,d,75.0,100.0,Hamstring injury - 75% chance of playing,
686,a,,,,
692,i,0.0,0.0,Knee injury - Expected back 01 Sep,
182,a,,,,
399,u,0.0,0.0,has joined Fenerbache permanently.,
400,a,,,,
401,a,100.0,100.0,,
402,n,0.0,0.0,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,
403,i,0.0,100.0,Leg injury - Unknown return date,
404,u,0.0,0.0,has joined Inter Milan on loan for the rest of the season.,
405,a,,,,
407,a,,,,
408,d,50.0,,Muscle injury - 50% chance of playing,
409,d,25.0,25.0,Thigh injury - 25% chance of playing,
410,a,100.0,100.0,,
420,u,0.0,0.0,has joined Galatasaray permanently.,
421,a,100.0,100.0,,
