id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
31,a,100.0,100.0,,
203,a,,,,
2,a,,,,
281,a,,,,
630,a,,,,
448,a,,,,
323,a,,,,
472,u,0.0,0.0,Has joined Sevilla on loan for the rest of the season.,
689,a,,,,
463,a,,,,
504,u,0.0,0.0,Has joined Lyon permanently.,
658,a,,,,
663,a,,,,
682,a,,,,
695,a,,,,
7,s,0.0,100.0,Suspended until 20 Dec,
10,a,,,,
16,a,100.0,100.0,,
17,a,100.0,100.0,,
18,a,100.0,100.0,,
19,a,100.0,100.0,,
20,d,75.0,75.0,Calf injury - 75% chance of playing,
21,d,75.0,75.0,Illness - 75% chance of playing,
23,u,0.0,0.0,has joined Hamburger on loan for the rest of the season.,
25,a,,,,
26,a,100.0,100.0,,
28,u,0.0,0.0,has joined Shrewsbury Town on loan for the rest of the season.,
29,u,0.0,0.0,has joined Hamburger permanently.,
30,i,0.0,0.0,Knee injury - Unknown return date,
266,a,,,,
662,i,0.0,50.0,Ankle injury - Unknown return date,
700,i,0.0,,Ankle injury - Unknown return date,
711,a,,,,
725,a,100.0,100.0,,
32,d,75.0,75.0,Back injury - 75% chance of playing,
33,a,,,,
34,u,0.0,0.0,Has joined Port Vale on loan for the rest of the season.,
35,u,0.0,0.0,Has joined Stevenage permanently.,
514,a,,,,
36,a,100.0,100.0,,
37,a,100.0,100.0,,
38,a,100.0,100.0,,
39,a,,,,
42,a,100.0,100.0,,
43,u,0.0,0.0,Has joined Girona permanently.,
44,a,100.0,100.0,,
47,a,100.0,100.0,,
50,a,100.0,100.0,,
53,a,,,,
54,a,,,,
55,i,0.0,0.0,Knee injury - Expected back 07 Feb,
56,u,0.0,0.0,Season-long loan to Benfica,
57,u,0.0,0.0,Has joined Preston North End on loan for the rest of the season.,
58,a,100.0,100.0,,
59,a,100.0,100.0,,
60,a,,,,
61,u,0.0,0.0,Has joined Real Oviedo permanently.,
62,a,,,,
63,a,,,,
64,a,100.0,100.0,,
65,u,0.0,0.0,has joined Huddersfield Town on loan for the rest of the season.,
389,a,100.0,100.0,,
456,a,100.0,100.0,,
677,a,100.0,,,
702,a,,,,
703,a,,,,
710,a,,,,
719,a,100.0,100.0,,
183,a,,,,
184,u,0.0,0.0,has joined FC Fredericia permanently.,
187,s,0.0,,Suspended until 20 Dec,
190,a,,,,
192,a,,,,
193,i,0.0,0.0,Muscle injury - Expected back 03 Jan,
194,i,0.0,0.0,Hamstring injury - Unknown return date,
195,s,0.0,,Suspended until 20 Dec,
196,u,0.0,0.0,Has joined Sparta Rotterdam on loan for the rest of the season.,
197,a,,,,
198,d,50.0,0.0,Knock - 50% chance of playing,
200,a,100.0,100.0,,
