id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
7,d,75.0,,Hip injury - 75% chance of playing,
8,a,,,,
9,u,0.0,0.0,has joined Porto on loan for the rest of the season.,
10,a,,,,
11,a,100.0,100.0,,
14,u,0.0,0.0,has joined Morecambe on loan for the rest of the season.,
16,a,100.0,100.0,,
17,d,50.0,0.0,Knee injury - 50% chance of playing,
18,d,50.0,0.0,Knee injury - 50% chance of playing,
19,d,50.0,25.0,Muscle injury - 50% chance of playing,
20,a,100.0,100.0,,
21,a,100.0,100.0,,
22,a,,,,
23,u,0.0,0.0,has joined Hamburger on loan for the rest of the season.,
24,a,100.0,100.0,,
25,a,,,,
26,a,100.0,75.0,,
662,a,,,,
666,d,50.0,25.0,Muscle injury - 50% chance of playing,
35,u,0.0,0.0,Has joined Stevenage permanently.,
37,a,100.0,100.0,,
38,d,75.0,100.0,Calf injury - 75% chance of playing,
39,a,,,,
43,u,0.0,0.0,Has joined Girona permanently.,
44,d,75.0,,Knock - 75% chance of playing,
45,a,,,,
46,u,0.0,0.0,has joined Anderlecht on loan for the rest of the season.,
47,a,100.0,100.0,,
48,a,100.0,100.0,,
49,u,0.0,0.0,Has joined AS Roma on loan for the rest of the season.,
50,a,100.0,100.0,,
51,u,0.0,0.0,has joined West Bromwich Albion on loan for the rest of the season,
53,a,,,,
54,a,,,,
55,a,100.0,100.0,,
56,u,0.0,0.0,Season-long loan to Benfica,
57,u,0.0,0.0,Has joined Preston North End on loan for the rest of the season.,
58,a,100.0,100.0,,
59,d,75.0,100.0,Knock - 75% chance of playing,
60,a,,,,
61,u,0.0,0.0,Has joined Real Oviedo permanently.,
62,a,,,,
63,a,,,,
64,a,100.0,100.0,,
65,u,0.0,0.0,has joined Huddersfield Town on loan for the rest of the season.,
389,a,100.0,100.0,,
456,a,100.0,100.0,,
677,a,,,,
688,a,,,,
701,u,0.0,0.0,has joined Annecy on loan for the rest of the season.,
702,a,,,,
703,a,,,,
710,a,,,,
719,a,100.0,100.0,,
194,i,0.0,0.0,Hamstring injury - Unknown return date,
195,a,,,,
196,u,0.0,0.0,Has joined Sparta Rotterdam on loan for the rest of the season.,
197,a,,,,
198,a,100.0,100.0,,
199,a,,,,
200,a,100.0,100.0,,
201,u,0.0,0.0,has joined Swansea City on loan for the rest of the season.,
202,a,100.0,100.0,,
203,a,,,,
204,u,0.0,0.0,has joined Kocaelispor  permanently.,
206,a,,,,
207,a,,,,
208,u,0.0,0.0,Has joined Espanyol on loan for the rest of the season.,
209,a,,,,
210,a,,,,
211,u,0.0,0.0,has joined Leicester City on loan for the rest of the season.,
212,u,0.0,0.0,Has joined Cercle Brugge on loan for the rest of the season.,
213,a,,,,
214,a,,,,
215,a,,,,
676,a,100.0,100.0,,
680,d,75.0,100.0,Ankle injury - 75% chance of playing,
67,a,,,,
69,a,,,,
70,u,0.0,0.0,Has joined Lechia Gdansk on loan for the rest of the season.,
71,u,0.0,0.0,Has joined Paris Saint-Germain permanently.,
72,a,,,,
73,a,100.0,100.0,,
74,a,,,,
75,d,25.0,25.0,Muscle injury - 25% chance of playing,
76,a,,,,
77,a,,,,
78,a,100.0,100.0,,
79,u,0.0,0.0,has joined West Bromwich Albion permanently.,
80,a,100.0,100.0,,
81,i,0.0,100.0,Muscle injury - Unknown return date,
85,a,100.0,,,
86,a,100.0,100.0,,
87,a,100.0,100.0,,
88,a,100.0,100.0,,
90,a,,,,
91,u,0.0,0.0,Has joined Cruzeiro on loan for the rest of the season.,
92,u,0.0,0.0,has joined Al Taawoun permanently.,
93,u,0.0,0.0,has joined Marseille on loan for the rest of the season.,
