id,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added
1,a,0.0,0.0,,
2,a,0.0,0.0,,
3,u,0.0,0.0,Has joined Werder Bremen on loan for the rest of the season.,
4,a,0.0,0.0,,
5,a,100.0,100.0,Thigh injury - 75% chance of playing,
6,a,100.0,100.0,,
281,a,0.0,0.0,,
715,a,0.0,0.0,,
534,a,0.0,0.0,,
740,a,0.0,0.0,,
742,a,0.0,0.0,,
7,a,0.0,0.0,Hip injury - 75% chance of playing,
8,a,0.0,0.0,,
9,u,0.0,0.0,has joined Porto on loan for the rest of the season.,
10,a,0.0,0.0,,
11,a,100.0,100.0,,
13,a,0.0,0.0,,
14,u,0.0,0.0,has joined Morecambe on loan for the rest of the season.,
15,a,0.0,0.0,,
16,a,100.0,100.0,,
17,i,0.0,0.0,Knee injury - Unknown return date,
18,i,0.0,0.0,Knee injury - Unknown return date,
19,a,0.0,0.0,Muscle injury - 50% chance of playing,
20,a,100.0,100.0,,
21,a,100.0,100.0,,
22,a,0.0,0.0,,
23,u,0.0,0.0,has joined Hamburger on loan for the rest of the season.,
24,a,100.0,100.0,,
25,a,0.0,0.0,,
26,a,0.0,0.0,,
28,u,0.0,0.0,has joined Shrewsbury Town on loan for the rest of the season.,
29,u,0.0,0.0,has joined Hamburger permanently.,
30,i,0.0,0.0,Knee injury - Unknown return date,
31,i,0.0,0.0,Knee injury - Expected back 30 Dec,
266,a,0.0,0.0,,
662,a,0.0,0.0,,
666,a,0.0,0.0,Muscle injury - 50% chance of playing,
700,a,0.0,0.0,,
711,a,0.0,0.0,,
725,a,100.0,100.0,,
32,a,100.0,100.0,,
33,a,0.0,0.0,,
34,u,0.0,0.0,Has joined Port Vale on loan for the rest of the season.,
35,u,0.0,0.0,Has joined Stevenage permanently.,
36,a,0.0,0.0,,
37,a,0.0,0.0,,
38,a,100.0,100.0,Calf injury - 75% chance of playing,
39,a,0.0,0.0,,
40,d,75.0,75.0,Lack of match fitness - 75% chance of playing,
41,a,0.0,0.0,,
42,a,100.0,100.0,Knock - Unknown return date,
43,u,0.0,0.0,Has joined Girona permanently.,
44,a,0.0,0.0,,
45,a,0.0,0.0,,
46,u,0.0,0.0,has joined Anderlecht on loan for the rest of the season.,
47,a,100.0,100.0,,
48,d,25.0,25.0,Calf injury - 25% chance of playing,
49,u,0.0,0.0,Has joined AS Roma on loan for the rest of the season.,
50,a,0.0,0.0,,
51,u,0.0,0.0,has joined West Bromwich Albion on loan for the rest of the season,
53,a,0.0,0.0,,
54,a,0.0,0.0,,
55,a,100.0,100.0,,
56,u,0.0,0.0,Season-long loan to Benfica,
57,u,0.0,0.0,Has joined Preston North End on loan for the rest of the season.,
58,a,100.0,100.0,,
59,a,100.0,100.0,,
60,a,0.0,0.0,,
61,u,0.0,0.0,Has joined Real Oviedo permanently.,
62,a,0.0,0.0,,
63,a,0.0,0.0,,
64,a,100.0,100.0,,
65,u,0.0,0.0,has joined Huddersfield Town on loan for the rest of the season.,
389,a,0.0,0.0,,
456,a,100.0,100.0,,
677,a,0.0,0.0,,
688,a,0.0,0.0,,
701,u,0.0,0.0,has joined Annecy on loan for the rest of the season.,
702,a,0.0,0.0,,
703,a,0.0,0.0,,
710,a,0.0,0.0,,
719,a,100.0,100.0,,
183,a,0.0,0.0,,
184,u,0.0,0.0,has joined FC Fredericia permanently.,
185,a,0.0,0.0,,
186,i,0.0,0.0,Achilles injury - Unknown return date,
187,a,0.0,0.0,,
188,a,0.0,0.0,,
189,u,0.0,0.0,Has joined Stockport County on loan for the rest of the season.,
190,a,0.0,0.0,,
191,a,0.0,0.0,,
192,a,0.0,0.0,,
193,a,100.0,100.0,,
194,i,0.0,0.0,Hamstring injury - Unknown return date,
195,a,0.0,0.0,,
196,u,0.0,0.0,Has joined Sparta Rotterdam on loan for the rest of the season.,
197,a,0.0,0.0,,
198,a,100.0,100.0,,
199,a,0.0,0.0,,
200,a,100.0,75.0,,
