,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,27,1990,35.5,,27,,,,,,,,,,,42,,,,Matches,5f09991f
2,Sergio Agüero,ar ARG,FW,Manchester City,30,1988,27.3,,10,,,,,,,,,,,8,,,,Matches,4d034881
3,Nathan Aké,nl NED,DF,Bournemouth,23,1995,37.9,,35,,,,,,,,,,,32,,,,Matches,eaeca114
4,Marc Albrighton,eng ENG,MFFW,Leicester City,28,1989,18.1,,23,,,,,,,,,,,22,,,,Matches,b827d5b3
5,Toby Alderweireld,be BEL,DF,Tottenham,29,1989,32.5,,25,,,,,,,,,,,25,,,,Matches,f7d50789
6,Trent Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,27.4,,42,,,,,,,,,,,35,,,,Matches,cd1acf9d
7,Alisson,br BRA,GK,Liverpool,25,1992,38.0,,1,,,,,,,,,,,1,,,,Matches,7a2e46a8
8,Dele Alli,eng ENG,MFFW,Tottenham,22,1996,20.3,,20,,,,,,,,,,,18,,,,Matches,cea4ee8f
9,Miguel Almirón,py PAR,MFFW,Newcastle,24,1994,8.4,,12,,,,,,,,,,,9,,,,Matches,862a1c15
10,Marcos Alonso,es ESP,DF,Chelsea,27,1990,30.7,,46,,,,,,,,,,,38,,,,Matches,f4290206
11,Daniel Amartey,gh GHA,DF,Leicester City,23,1994,7.1,,12,,,,,,,,,,,15,,,,Matches,1a4ef233
12,Luke Amos,eng ENG,MF,Tottenham,21,1997,0.0,,1,,,,,,,,,,,0,,,,Matches,77128f7e
13,Felipe Anderson,br BRA,MF,West Ham,25,1993,33.8,,46,,,,,,,,,,,45,,,,Matches,9f1893b9
14,Florin Andone,ro ROU,FW,Brighton,25,1993,9.8,,5,,,,,,,,,,,5,,,,Matches,dc008610
15,Frank Anguissa,cm CMR,MF,Fulham,22,1995,16.9,,29,,,,,,,,,,,30,,,,Matches,6bb2c084
16,Michail Antonio,jm JAM,MFFW,West Ham,28,1990,23.4,,14,,,,,,,,,,,19,,,,Matches,ac05f970
17,Stuart Armstrong,sct SCO,MFFW,Southampton,26,1992,15.9,,20,,,,,,,,,,,12,,,,Matches,97333cf5
18,Marko Arnautović,at AUT,FW,West Ham,29,1989,22.1,,6,,,,,,,,,,,3,,,,Matches,00459419
19,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36.0,,1,,,,,,,,,,,0,,,,Matches,28d596a0
