,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,24,2000,27.2,,27,,,,,,,,,,,17,,,,Matches,5bc43860
2,Jerome Abbey,eng ENG,MF,Wolves,15,2009,0.2,,0,,,,,,,,,,,1,,,,Matches,4f504fcc
3,Zach Abbott,eng ENG,DF,Nottingham,19,2006,1.8,,4,,,,,,,,,,,2,,,,Matches,c103921a
4,Tammy Abraham,eng ENG,FW,Aston Villa,27,1997,3.2,,1,,,,,,,,,,,0,,,,Matches,f586779e
5,Joshua Acheampong,eng ENG,DF,Chelsea,19,2006,7.4,,8,,,,,,,,,,,12,,,,Matches,b7e62e1d
6,Tyler Adams,us USA,MF,Bournemouth,26,1999,19.7,,24,,,,,,,,,,,30,,,,Matches,2b09d998
7,Tosin Adarabioyo,eng ENG,DF,Chelsea,27,1997,8.8,,6,,,,,,,,,,,9,,,,Matches,c81d773d
8,Simon Adingra,ci CIV,MFFW,Sunderland,23,2002,7.3,,8,,,,,,,,,,,2,,,,Matches,4dcec659
9,Amine Adli,ma MAR,MF,Bournemouth,25,2000,12.2,,17,,,,,,,,,,,6,,,,Matches,dcfb17f4
10,Emmanuel Agbadou,ci CIV,DF,Wolves,28,1997,12.2,,21,,,,,,,,,,,14,,,,Matches,75f1ed80
11,Nayef Aguerd,ma MAR,DF,West Ham,29,1996,2.0,,0,,,,,,,,,,,1,,,,Matches,288e1e13
12,Ola Aina,ng NGA,DF,Nottingham,28,1996,17.6,,21,,,,,,,,,,,26,,,,Matches,246d153b
13,Rayan Aït-Nouri,dz ALG,DF,Manchester City,24,2001,10.8,,21,,,,,,,,,,,13,,,,Matches,9b398aea
14,Kristoffer Ajer,no NOR,DF,Brentford,27,1998,20.1,,23,,,,,,,,,,,15,,,,Matches,a8c0acb7
15,Nathan Aké,nl NED,DF,Manchester City,30,1995,7.7,,6,,,,,,,,,,,5,,,,Matches,eaeca114
16,Carlos Alcaraz,ar ARG,MF,Everton,22,2002,7.7,,9,,,,,,,,,,,2,,,,Matches,4abac767
17,Omar Alderete,py PAR,DF,Sunderland,28,1996,31.1,,18,,,,,,,,,,,36,,,,Matches,bb08bce9
18,Alisson,br BRA,GK,Liverpool,32,1992,26.0,,0,,,,,,,,,,,0,,,,Matches,7a2e46a8
19,Max Alleyne,eng ENG,DF,Manchester City,20,2005,1.5,,3,,,,,,,,,,,3,,,,Matches,defcfd32
20,Alysson,br BRA,MF,Aston Villa,19,2006,0.5,,0,,,,,,,,,,,1,,,,Matches,99b63a82
21,Jaydon Amauri Banel,nl NED,FWMF,Burnley,20,2004,0.1,,0,,,,,,,,,,,0,,,,Matches,98e0d76c
22,Zeki Amdouni,ch SUI,FWMF,Burnley,24,2000,0.8,,0,,,,,,,,,,,0,,,,Matches,2ee5b0c9
23,Ethan Ampadu,wls WAL,MF,Leeds United,24,2000,34.7,,46,,,,,,,,,,,50,,,,Matches,10b9fa99
24,Joachim Andersen,dk DEN,DF,Fulham,29,1996,31.9,,26,,,,,,,,,,,34,,,,Matches,e34fc66d
25,Elliot Anderson,eng ENG,MF,Nottingham,22,2002,37.0,,60,,,,,,,,,,,41,,,,Matches,de31038e
26,André,br BRA,MF,Wolves,24,2001,30.7,,42,,,,,,,,,,,25,,,,Matches,ec604e2c
27,Nilson Angulo,ec ECU,MF,Sunderland,22,2003,4.5,,7,,,,,,,,,,,5,,,,Matches,a9b9d89c
28,Jaidon Anthony,eng ENG,MF,Burnley,25,1999,30.2,,21,,,,,,,,,,,16,,,,Matches,e4238fb1
29,Alphonse Areola,fr FRA,GK,West Ham,32,1993,20.0,,0,,,,,,,,,,,1,,,,Matches,2f965a72
30,Jhon Arias,co COL,FWMF,Wolves,27,1997,12.5,,27,,,,,,,,,,,7,,,,Matches,86d96066
31,Adam Armstrong,eng ENG,FWMF,Wolves,28,1997,12.7,,4,,,,,,,,,,,1,,,,Matches,68c720b5
32,Harrison Armstrong,eng ENG,MF,Everton,18,2007,5.9,,10,,,,,,,,,,,4,,,,Matches,de59e609
33,Tolu Arokodare,ng NGA,FW,Wolves,24,2000,15.8,,4,,,,,,,,,,,5,,,,Matches,a42760bc
34,Kepa Arrizabalaga,es ESP,GK,Arsenal,30,1994,1.0,,0,,,,,,,,,,,0,,,,Matches,28d596a0
35,Taiwo Awoniyi,ng NGA,FW,Nottingham,27,1997,5.5,,1,,,,,,,,,,,1,,,,Matches,e5478b87
36,Yasin Ayari,se SWE,MF,Brighton,21,2003,21.4,,25,,,,,,,,,,,26,,,,Matches,f173303a
37,Benoît Badiashile,fr FRA,DF,Chelsea,24,2001,5.2,,5,,,,,,,,,,,9,,,,Matches,06df8256
38,Leon Bailey,jm JAM,MF,Aston Villa,27,1997,5.1,,6,,,,,,,,,,,4,,,,Matches,3a233281
39,Dilane Bakwa,fr FRA,MF,Nottingham,22,2002,6.1,,3,,,,,,,,,,,0,,,,Matches,2b5a35e5
40,Carlos Baleba,cm CMR,MF,Brighton,21,2004,18.4,,21,,,,,,,,,,,28,,,,Matches,a1390d2f
41,Daniel Ballard,nir NIR,DF,Sunderland,25,1999,23.9,,17,,,,,,,,,,,20,,,,Matches,38f300f3
42,Ross Barkley,eng ENG,MF,Aston Villa,31,1993,9.5,,11,,,,,,,,,,,2,,,,Matches,3a24769f
43,Ashley Barnes,eng ENG,FWMF,Burnley,35,1989,0.5,,0,,,,,,,,,,,0,,,,Matches,2691c772
44,Harvey Barnes,eng ENG,FWMF,Newcastle,27,1997,21.8,,5,,,,,,,,,,,3,,,,Matches,3ea50f67
45,Thierno Barry,fr FRA,FW,Everton,22,2002,21.3,,4,,,,,,,,,,,5,,,,Matches,52c3244b
46,Calvin Bassey,ng NGA,DF,Fulham,25,1999,28.2,,32,,,,,,,,,,,22,,,,Matches,a36524bf
47,Altay Bayındır,tr TUR,GK,Manchester Utd,27,1998,6.0,,0,,,,,,,,,,,0,,,,Matches,072e68ed
48,Jean-Ricner Bellegarde,ht HAI,MFFW,Wolves,27,1998,13.9,,15,,,,,,,,,,,9,,,,Matches,10f0fdd3
49,Walter Benítez,ar ARG,GK,Crystal Palace,32,1993,1.0,,0,,,,,,,,,,,0,,,,Matches,8a2248b4
50,Rodrigo Bentancur,uy URU,MF,Tottenham,28,1997,20.9,,36,,,,,,,,,,,36,,,,Matches,3b8674e6
51,Daniel Bentley,eng ENG,GK,Wolves,32,1993,3.0,,0,,,,,,,,,,,0,,,,Matches,68db6358
