,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,,22,,,,,,,,,,,29,,,,Matches,5f09991f
2,Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,,6,,,,,,,,,,,4,,,,Matches,f586779e
3,Ché Adams,sct SCO,FW,Southampton,24,1996,29.6,,17,,,,,,,,,,,4,,,,Matches,f2bf1b0f
4,Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,,17,,,,,,,,,,,40,,,,Matches,c81d773d
5,Adrián,es ESP,GK,Liverpool,33,1987,3.0,,0,,,,,,,,,,,0,,,,Matches,f76e6b4e
6,Sergio Agüero,ar ARG,FWMF,Manchester City,32,1988,6.2,,1,,,,,,,,,,,2,,,,Matches,4d034881
7,Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,,21,,,,,,,,,,,46,,,,Matches,246d153b
8,Rayan Aït-Nouri,dz ALG,MFDF,Wolves,19,2001,15.6,,17,,,,,,,,,,,14,,,,Matches,9b398aea
9,Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,,17,,,,,,,,,,,43,,,,Matches,d6192210
10,Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,,5,,,,,,,,,,,8,,,,Matches,eaeca114
11,Marc Albrighton,eng ENG,MF,Leicester City,30,1989,19.4,,19,,,,,,,,,,,16,,,,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,,38,,,,,,,,,,,29,,,,Matches,77e84962
13,Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,,21,,,,,,,,,,,12,,,,Matches,f7d50789
14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,,0,,,,,,,,,,,0,,,,Matches,8fa8f8d2
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,,34,,,,,,,,,,,46,,,,Matches,cd1acf9d
16,Ezgjan Alioski,mk MKD,DFMF,Leeds United,28,1992,27.3,,34,,,,,,,,,,,21,,,,Matches,1a7fcf39
17,Alisson,br BRA,GK,Liverpool,27,1992,33.0,,2,,,,,,,,,,,2,,,,Matches,7a2e46a8
18,Allan,br BRA,MF,Everton,29,1991,22.8,,46,,,,,,,,,,,19,,,,Matches,cc700722
19,Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,,12,,,,,,,,,,,6,,,,Matches,cea4ee8f
20,Miguel Almirón,py PAR,MFFW,Newcastle,26,1994,27.0,,27,,,,,,,,,,,26,,,,Matches,862a1c15
21,Marcos Alonso,es ESP,MFDF,Chelsea,29,1990,10.7,,4,,,,,,,,,,,13,,,,Matches,f4290206
22,Steven Alzate,co COL,MF,Brighton,21,1998,10.0,,9,,,,,,,,,,,8,,,,Matches,ad1f61f3
23,Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8.0,,6,,,,,,,,,,,12,,,,Matches,1a4ef233
24,Ethan Ampadu,wls WAL,DFMF,Sheffield United,19,2000,23.2,,36,,,,,,,,,,,49,,,,Matches,10b9fa99
25,Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,,20,,,,,,,,,,,46,,,,Matches,e34fc66d
26,Elliot Anderson,eng ENG,MF,Newcastle,17,2002,0.0,,0,,,,,,,,,,,0,,,,Matches,de31038e
27,Felipe Anderson,br BRA,FWMF,West Ham,27,1993,0.0,,1,,,,,,,,,,,0,,,,Matches,9f1893b9
28,Frank Anguissa,cm CMR,MF,Fulham,24,1995,28.7,,39,,,,,,,,,,,51,,,,Matches,6bb2c084
29,Michail Antonio,jm JAM,FW,West Ham,30,1990,21.9,,5,,,,,,,,,,,8,,,,Matches,ac05f970
30,Alphonse Areola,fr FRA,GK,Fulham,27,1993,36.0,,0,,,,,,,,,,,0,,,,Matches,2f965a72
31,Stuart Armstrong,sct SCO,MF,Southampton,28,1992,30.7,,42,,,,,,,,,,,23,,,,Matches,97333cf5
32,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,,0,,,,,,,,,,,0,,,,Matches,28d596a0
33,Pierre-Emerick Aubameyang,ga GAB,FWMF,Arsenal,31,1989,25.9,,9,,,,,,,,,,,7,,,,Matches,d5dd5f1f
34,Serge Aurier,ci CIV,DFMF,Tottenham,27,1992,17.8,,36,,,,,,,,,,,17,,,,Matches,5c2b4f07
35,Charlie Austin,eng ENG,FW,West Brom,31,1989,1.5,,2,,,,,,,,,,,3,,,,Matches,8d228291
36,Jordan Ayew,gh GHA,FWMF,Crystal Palace,28,1991,23.3,,26,,,,,,,,,,,17,,,,Matches,da052c14
37,Luke Ayling,eng ENG,DF,Leeds United,28,1991,37.8,,62,,,,,,,,,,,41,,,,Matches,420d7c7d
38,César Azpilicueta,es ESP,DFMF,Chelsea,30,1989,24.3,,30,,,,,,,,,,,24,,,,Matches,53cad200
39,Eric Bailly,ci CIV,DF,Manchester Utd,26,1994,10.2,,5,,,,,,,,,,,13,,,,Matches,a1232f4e
40,Fabián Balbuena,py PAR,DF,West Ham,28,1991,13.3,,12,,,,,,,,,,,24,,,,Matches,3626f7d9
41,George Baldock,gr GRE,MFDF,Sheffield United,27,1993,31.0,,35,,,,,,,,,,,27,,,,Matches,394854c4
42,Gareth Bale,wls WAL,MF,Tottenham,31,1989,10.2,,10,,,,,,,,,,,10,,,,Matches,a58bb1e1
43,Patrick Bamford,eng ENG,FW,Leeds United,26,1993,33.9,,9,,,,,,,,,,,10,,,,Matches,93feac6e
44,Phil Bardsley,sct SCO,DF,Burnley,35,1985,3.0,,5,,,,,,,,,,,5,,,,Matches,1ae30132
45,Ross Barkley,eng ENG,MF,Aston Villa,26,1993,17.0,,2,,,,,,,,,,,5,,,,Matches,3a24769f
46,Ross Barkley,eng ENG,MF,Chelsea,26,1993,0.5,,0,,,,,,,,,,,0,,,,Matches,3a24769f
47,Ashley Barnes,eng ENG,FW,Burnley,30,1989,14.8,,5,,,,,,,,,,,8,,,,Matches,2691c772
