,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Brenden Aaronson,us USA,MF,Leeds United,21,2000,26.4,,18,,,,,,,,,,,4,,,,Matches,5bc43860
2,George Abbott,eng ENG,MF,Tottenham,16,2005,0.0,,0,,,,,,,,,,,1,,,,Matches,56628958
3,Ché Adams,sct SCO,FW,Southampton,26,1996,22.1,,13,,,,,,,,,,,4,,,,Matches,f2bf1b0f
4,Tyler Adams,us USA,MF,Leeds United,23,1999,24.0,,44,,,,,,,,,,,32,,,,Matches,2b09d998
5,Tosin Adarabioyo,eng ENG,DF,Fulham,24,1997,23.2,,14,,,,,,,,,,,25,,,,Matches,c81d773d
6,Nayef Aguerd,ma MAR,DF,West Ham,26,1996,17.7,,20,,,,,,,,,,,19,,,,Matches,288e1e13
7,Naouirou Ahamada,fr FRA,MF,Crystal Palace,20,2002,1.0,,3,,,,,,,,,,,0,,,,Matches,a6c58494
8,Rayan Aït-Nouri,dz ALG,DFMF,Wolves,21,2001,12.0,,19,,,,,,,,,,,11,,,,Matches,9b398aea
9,Kristoffer Ajer,no NOR,DF,Brentford,24,1998,8.5,,8,,,,,,,,,,,6,,,,Matches,a8c0acb7
10,Manuel Akanji,ch SUI,DFMF,Manchester City,27,1995,25.4,,24,,,,,,,,,,,15,,,,Matches,89ac64a6
11,Nathan Aké,nl NED,DF,Manchester City,27,1995,20.8,,12,,,,,,,,,,,19,,,,Matches,eaeca114
12,Marc Albrighton,eng ENG,MF,Leicester City,32,1989,2.6,,1,,,,,,,,,,,1,,,,Matches,b827d5b3
13,Thiago Alcántara,es ESP,MF,Liverpool,31,1991,13.9,,27,,,,,,,,,,,20,,,,Matches,77e84962
