,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
14,Carlos Alcaraz,ar ARG,MFFW,Southampton,19,2002,11.4,,5,,,,,,,,,,,1,,,,Matches,4abac767
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23,1998,32.5,,38,,,,,,,,,,,40,,,,Matches,cd1acf9d
16,Alisson,br BRA,GK,Liverpool,29,1992,37.0,,0,,,,,,,,,,,0,,,,Matches,7a2e46a8
17,Dele Alli,eng ENG,FWMF,Everton,26,1996,0.4,,0,,,,,,,,,,,0,,,,Matches,cea4ee8f
18,Miguel Almirón,py PAR,FW,Newcastle,28,1994,27.7,,29,,,,,,,,,,,10,,,,Matches,862a1c15
19,Julián Álvarez,ar ARG,MFFW,Manchester City,22,2000,16.3,,16,,,,,,,,,,,2,,,,Matches,15ab5a2b
20,Daniel Amartey,gh GHA,DF,Leicester City,27,1994,17.9,,8,,,,,,,,,,,9,,,,Matches,1a4ef233
21,Samuel Amo-Ameyaw,eng ENG,FWMF,Southampton,16,2006,0.0,,0,,,,,,,,,,,0,,,,Matches,9eedf0e0
22,Joachim Andersen,dk DEN,DF,Crystal Palace,26,1996,30.9,,21,,,,,,,,,,,27,,,,Matches,e34fc66d
23,Elliot Anderson,eng ENG,MF,Newcastle,19,2002,4.6,,5,,,,,,,,,,,5,,,,Matches,de31038e
24,Jaidon Anthony,eng ENG,MF,Bournemouth,22,1999,14.0,,17,,,,,,,,,,,10,,,,Matches,e4238fb1
25,Michail Antonio,jm JAM,FW,West Ham,32,1990,20.3,,7,,,,,,,,,,,5,,,,Matches,ac05f970
26,Antony,br BRA,MF,Manchester Utd,22,2000,20.0,,9,,,,,,,,,,,11,,,,Matches,99127249
27,Cameron Archer,eng ENG,FWMF,Aston Villa,21,2001,0.5,,0,,,,,,,,,,,0,,,,Matches,05e8ca6d
28,Alphonse Areola,fr FRA,GK,West Ham,29,1993,3.4,,0,,,,,,,,,,,0,,,,Matches,2f965a72
29,Joe Aribo,ng NGA,MFFW,Southampton,26,1996,13.6,,19,,,,,,,,,,,10,,,,Matches,328f7d51
30,Adam Armstrong,eng ENG,MFFW,Southampton,25,1997,14.8,,9,,,,,,,,,,,3,,,,Matches,68c720b5
31,Stuart Armstrong,sct SCO,MF,Southampton,30,1992,15.6,,21,,,,,,,,,,,10,,,,Matches,97333cf5
32,Kepa Arrizabalaga,es ESP,GK,Chelsea,27,1994,28.5,,2,,,,,,,,,,,1,,,,Matches,28d596a0
33,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33,1989,6.2,,0,,,,,,,,,,,2,,,,Matches,d5dd5f1f
34,Ludwig Augustinsson,se SWE,DF,Aston Villa,28,1994,0.9,,0,,,,,,,,,,,0,,,,Matches,9fec8860
35,Serge Aurier,ci CIV,DFMF,Nottingham,29,1992,21.6,,41,,,,,,,,,,,27,,,,Matches,5c2b4f07
36,Taiwo Awoniyi,ng NGA,FW,Nottingham,24,1997,15.6,,10,,,,,,,,,,,3,,,,Matches,e5478b87
37,Yasin Ayari,se SWE,MF,Brighton,18,2003,0.7,,2,,,,,,,,,,,0,,,,Matches,f173303a
38,André Ayew,gh GHA,FW,Nottingham,32,1989,3.5,,3,,,,,,,,,,,0,,,,Matches,5dbefa9d
39,Jordan Ayew,gh GHA,FWMF,Crystal Palace,30,1991,30.2,,41,,,,,,,,,,,15,,,,Matches,da052c14
40,Luke Ayling,eng ENG,DF,Leeds United,30,1991,22.8,,38,,,,,,,,,,,25,,,,Matches,420d7c7d
41,César Azpilicueta,es ESP,DFMF,Chelsea,32,1989,17.0,,25,,,,,,,,,,,19,,,,Matches,53cad200
42,Benoît Badiashile,fr FRA,DF,Chelsea,21,2001,10.1,,9,,,,,,,,,,,14,,,,Matches,06df8256
43,Leon Bailey,jm JAM,FWMF,Aston Villa,24,1997,21.9,,6,,,,,,,,,,,3,,,,Matches,3a233281
44,Stefan Bajcetic,es ESP,MF,Liverpool,17,2004,5.8,,8,,,,,,,,,,,6,,,,Matches,32e8417f
45,Dominic Ballard,eng ENG,FW,Southampton,17,2005,0.3,,0,,,,,,,,,,,1,,,,Matches,ed8d597c
46,Patrick Bamford,eng ENG,FW,Leeds United,28,1993,16.8,,6,,,,,,,,,,,5,,,,Matches,93feac6e
47,Shandon Baptiste,gd GRN,MF,Brentford,24,1998,6.9,,9,,,,,,,,,,,6,,,,Matches,2886c9b5
48,Harvey Barnes,eng ENG,MFFW,Leicester City,24,1997,30.1,,14,,,,,,,,,,,8,,,,Matches,3ea50f67
49,Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32.0,,0,,,,,,,,,,,1,,,,Matches,c91441dc
50,Mads Bech Sørensen,dk DEN,DF,Brentford,23,1999,0.2,,0,,,,,,,,,,,0,,,,Matches,30db8574
51,Jan Bednarek,pl POL,DF,Aston Villa,26,1996,1.1,,3,,,,,,,,,,,2,,,,Matches,4115ce4e
52,Jan Bednarek,pl POL,DF,Southampton,26,1996,18.6,,19,,,,,,,,,,,45,,,,Matches,4115ce4e
53,Donny van de Beek,nl NED,MF,Manchester Utd,25,1997,1.9,,0,,,,,,,,,,,1,,,,Matches,50dc94ce
54,Asmir Begović,ba BIH,GK,Everton,35,1987,1.0,,0,,,,,,,,,,,0,,,,Matches,7b4de647
55,Armel Bella Kotchap,de GER,DF,Southampton,20,2001,20.9,,18,,,,,,,,,,,44,,,,Matches,a39d11bc
56,Saïd Benrahma,dz ALG,MFFW,West Ham,26,1995,23.0,,13,,,,,,,,,,,9,,,,Matches,5a04fd92
57,Rodrigo Bentancur,uy URU,MF,Tottenham,25,1997,16.7,,28,,,,,,,,,,,19,,,,Matches,3b8674e6
58,Daniel Bentley,eng ENG,GK,Wolves,29,1993,2.0,,1,,,,,,,,,,,0,,,,Matches,68db6358
59,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,2002,9.9,,24,,,,,,,,,,,3,,,,Matches,505486d6
60,Owen Bevan,wls WAL,DF,Bournemouth,18,2003,0.1,,0,,,,,,,,,,,0,,,,Matches,87966294
61,Giulian Biancone,fr FRA,DFMF,Nottingham,22,2000,0.2,,1,,,,,,,,,,,1,,,,Matches,de40e38c
62,Philip Billing,dk DEN,MFFW,Bournemouth,26,1996,30.7,,40,,,,,,,,,,,32,,,,Matches,d328a254
63,Yves Bissouma,ml MLI,MF,Tottenham,25,1996,11.2,,13,,,,,,,,,,,12,,,,Matches,6c203af0
64,Willy Boly,ci CIV,DF,Nottingham,31,1991,7.6,,6,,,,,,,,,,,11,,,,Matches,a4ac4b8f
65,Sven Botman,nl NED,DF,Newcastle,22,2000,34.7,,26,,,,,,,,,,,34,,,,Matches,ccce7025
66,Jarrod Bowen,eng ENG,MFFW,West Ham,25,1996,35.9,,17,,,,,,,,,,,35,,,,Matches,79c84d1c
67,James Bree,eng ENG,DF,Southampton,24,1997,4.1,,3,,,,,,,,,,,6,,,,Matches,c07b7c5c
68,Armando Broja,al ALB,FW,Chelsea,20,2001,3.3,,1,,,,,,,,,,,1,,,,Matches,97220da2
69,David Brooks,wls WAL,MF,Bournemouth,25,1997,1.9,,0,,,,,,,,,,,2,,,,Matches,dc4cae05
70,Lewis Brunt,eng ENG,DFMF,Leicester City,21,2000,0.3,,0,,,,,,,,,,,0,,,,Matches,a2081c6b
71,Emi Buendía,ar ARG,MFFW,Aston Villa,25,1996,26.8,,24,,,,,,,,,,,19,,,,Matches,66b76d44
72,Hugo Bueno,es ESP,DF,Wolves,19,2002,14.6,,16,,,,,,,,,,,9,,,,Matches,bfc3b3a0
73,Facundo Buonanotte,ar ARG,MF,Brighton,17,2004,6.3,,1,,,,,,,,,,,4,,,,Matches,468a7a91
74,Dan Burn,eng ENG,DF,Newcastle,30,1992,34.6,,38,,,,,,,,,,,29,,,,Matches,b2d31e83
75,Cafú,pt POR,MF,Nottingham,29,1993,0.1,,0,,,,,,,,,,,0,,,,Matches,85322440
76,Moisés Caicedo,ec ECU,MF,Brighton,20,2001,34.9,,50,,,,,,,,,,,50,,,,Matches,16264a81
77,Tom Cairney,sct SCO,MF,Fulham,31,1991,11.0,,7,,,,,,,,,,,4,,,,Matches,a8748947
78,Duje Ćaleta-Car,hr CRO,DF,Southampton,25,1996,10.5,,11,,,,,,,,,,,15,,,,Matches,94f8d10c
79,Dominic Calvert-Lewin,eng ENG,FW,Everton,25,1997,12.9,,2,,,,,,,,,,,3,,,,Matches,59e6e5bf
80,Chem Campbell,wls WAL,FWMF,Wolves,19,2002,0.8,,1,,,,,,,,,,,1,,,,Matches,6f711f67
81,João Cancelo,pt POR,DF,Manchester City,28,1994,14.2,,18,,,,,,,,,,,19,,,,Matches,bd6351cd
82,Tom Cannon,ie IRL,FW,Everton,19,2002,0.3,,0,,,,,,,,,,,0,,,,Matches,4506aec5
83,Sergi Canós,es ESP,FWMF,Brentford,25,1997,0.9,,0,,,,,,,,,,,0,,,,Matches,1137759d
84,Diego Carlos,br BRA,DF,Aston Villa,29,1993,2.3,,0,,,,,,,,,,,1,,,,Matches,b4a014b1
85,Fabio Carvalho,pt POR,MFFW,Liverpool,19,2002,3.9,,8,,,,,,,,,,,6,,,,Matches,966e28d0
86,Casemiro,br BRA,MF,Manchester Utd,30,1992,23.6,,44,,,,,,,,,,,29,,,,Matches,4d224fe8
87,Matty Cash,pl POL,DF,Aston Villa,24,1997,20.2,,33,,,,,,,,,,,26,,,,Matches,2389cdc2
88,Timothy Castagne,be BEL,DFMF,Leicester City,26,1995,36.2,,42,,,,,,,,,,,43,,,,Matches,197640fd
89,Jonny Castro,es ESP,DF,Wolves,28,1994,14.0,,16,,,,,,,,,,,13,,,,Matches,e28868f3
90,Nathaniel Chalobah,eng ENG,MF,Fulham,27,1994,0.1,,1,,,,,,,,,,,0,,,,Matches,422862ea
91,Trevoh Chalobah,eng ENG,DF,Chelsea,23,1999,17.9,,19,,,,,,,,,,,25,,,,Matches,5515376c
92,Calum Chambers,eng ENG,DF,Aston Villa,27,1995,3.9,,7,,,,,,,,,,,7,,,,Matches,dc6f5bdd
93,Shea Charles,nir NIR,DFMF,Manchester City,18,2003,0.3,,0,,,,,,,,,,,1,,,,Matches,5cc3ce65
94,Ben Chilwell,eng ENG,MFDF,Chelsea,25,1996,15.6,,18,,,,,,,,,,,17,,,,Matches,d2424d1b
95,Ryan Christie,sct SCO,MF,Bournemouth,27,1995,20.4,,22,,,,,,,,,,,26,,,,Matches,26ce2263
96,Carney Chukwuemeka,at AUT,MF,Chelsea,18,2003,3.9,,7,,,,,,,,,,,6,,,,Matches,b2f9c73e
97,Bobby Clark,eng ENG,MF,Liverpool,17,2005,0.1,,0,,,,,,,,,,,0,,,,Matches,73341ace
98,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,1991,18.2,,14,,,,,,,,,,,19,,,,Matches,0442183b
99,Conor Coady,eng ENG,DF,Everton,29,1993,23.3,,10,,,,,,,,,,,13,,,,Matches,2928dca2
100,Jack Colback,eng ENG,MF,Nottingham,32,1989,5.5,,14,,,,,,,,,,,2,,,,Matches,963a9201
101,Séamus Coleman,ie IRL,DFMF,Everton,33,1988,18.4,,26,,,,,,,,,,,22,,,,Matches,0420d84f
102,Nathan Collins,ie IRL,DF,Wolves,21,2001,20.2,,14,,,,,,,,,,,21,,,,Matches,a8c19eb8
103,Levi Colwill,eng ENG,DF,Brighton,19,2003,13.6,,7,,,,,,,,,,,14,,,,Matches,700783e7
104,Lewis Cook,eng ENG,MF,Bournemouth,25,1997,19.1,,23,,,,,,,,,,,22,,,,Matches,2afc7272
105,Steve Cook,eng ENG,DF,Nottingham,31,1991,10.6,,4,,,,,,,,,,,12,,,,Matches,3e5e4e63
106,Liam Cooper,sct SCO,DF,Leeds United,30,1991,15.8,,24,,,,,,,,,,,34,,,,Matches,dc64b8b3
107,Maxwel Cornet,ci CIV,MF,West Ham,25,1996,2.7,,3,,,,,,,,,,,2,,,,Matches,beb391dd
108,Diego Costa,es ESP,FW,Wolves,33,1988,13.8,,1,,,,,,,,,,,1,,,,Matches,a190d597
109,Vladimír Coufal,cz CZE,DFMF,West Ham,29,1992,23.7,,30,,,,,,,,,,,36,,,,Matches,fdf3cb77
110,Philippe Coutinho,br BRA,FWMF,Aston Villa,30,1992,8.8,,14,,,,,,,,,,,4,,,,Matches,0ef89a37
111,Conor Coventry,ie IRL,MF,West Ham,22,2000,0.0,,0,,,,,,,,,,,0,,,,Matches,a5ca9127
112,Matthew Craig,sct SCO,MF,Tottenham,19,2003,0.2,,1,,,,,,,,,,,0,,,,Matches,bc914523
113,Aaron Cresswell,eng ENG,DF,West Ham,32,1989,24.8,,12,,,,,,,,,,,27,,,,Matches,4f974391
114,Marc Cucurella,es ESP,DFMF,Chelsea,24,1998,18.6,,35,,,,,,,,,,,16,,,,Matches,1daec722
115,Matheus Cunha,br BRA,FW,Wolves,23,1999,10.7,,3,,,,,,,,,,,8,,,,Matches,dc62b55d
116,Patson Daka,zm ZAM,FW,Leicester City,23,1998,13.2,,9,,,,,,,,,,,7,,,,Matches,ca45605e
117,Diogo Dalot,pt POR,DF,Manchester Utd,23,1999,23.9,,40,,,,,,,,,,,37,,,,Matches,d9565625
118,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22,2000,11.0,,20,,,,,,,,,,,9,,,,Matches,215f3907
119,Arnaut Danjuma,nl NED,MF,Tottenham,25,1997,1.9,,0,,,,,,,,,,,0,,,,Matches,f08490a6
120,Josh Dasilva,eng ENG,MF,Brentford,23,1998,15.4,,8,,,,,,,,,,,5,,,,Matches,60344e4f
121,David Datro Fofana,ci CIV,FW,Chelsea,19,2002,0.8,,1,,,,,,,,,,,0,,,,Matches,e82900ef
122,Ben Davies,wls WAL,DFMF,Tottenham,29,1993,25.4,,12,,,,,,,,,,,19,,,,Matches,44781702
123,Tom Davies,eng ENG,MF,Everton,24,1998,6.0,,9,,,,,,,,,,,3,,,,Matches,9228b07c
124,Craig Dawson,eng ENG,DF,Wolves,32,1990,15.7,,6,,,,,,,,,,,13,,,,Matches,3e9e06cb
125,Craig Dawson,eng ENG,DF,West Ham,32,1990,8.0,,6,,,,,,,,,,,6,,,,Matches,3e9e06cb
126,Kevin De Bruyne,be BEL,MF,Manchester City,31,1991,26.9,,13,,,,,,,,,,,8,,,,Matches,e46012d4
127,Bobby De Cordova-Reid,jm JAM,MFDF,Fulham,29,1993,27.5,,24,,,,,,,,,,,18,,,,Matches,0f7533cd
128,Siriki Dembélé,ci CIV,FWMF,Bournemouth,25,1996,1.2,,1,,,,,,,,,,,1,,,,Matches,11f54bd5
129,Leander Dendoncker,be BEL,MF,Aston Villa,27,1995,7.7,,10,,,,,,,,,,,8,,,,Matches,5a7301ae
130,Leander Dendoncker,be BEL,MF,Wolves,27,1995,2.4,,2,,,,,,,,,,,9,,,,Matches,5a7301ae
131,Emmanuel Dennis,ng NGA,MFFW,Nottingham,24,1997,8.0,,12,,,,,,,,,,,2,,,,Matches,2c44a35d
132,Halil Dervişoğlu,tr TUR,FW,Brentford,22,1999,0.1,,0,,,,,,,,,,,0,,,,Matches,9d8cf204
133,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,23,1998,25.6,,28,,,,,,,,,,,28,,,,Matches,5c74c0f5
134,Ibrahima Diallo,fr FRA,MF,Southampton,23,1999,9.1,,15,,,,,,,,,,,7,,,,Matches,11ff3d56
135,Rúben Dias,pt POR,DFMF,Manchester City,25,1997,22.2,,14,,,,,,,,,,,18,,,,Matches,31c69ef1
136,Luis Díaz,co COL,FW,Liverpool,25,1997,11.1,,11,,,,,,,,,,,5,,,,Matches,4a1a9578
137,Eric Dier,eng ENG,DF,Tottenham,28,1994,31.3,,20,,,,,,,,,,,33,,,,Matches,ac861941
138,Lucas Digne,fr FRA,DF,Aston Villa,29,1993,16.7,,13,,,,,,,,,,,18,,,,Matches,1b84dbe1
139,Issa Diop,ma MAR,DF,Fulham,25,1997,22.4,,18,,,,,,,,,,,31,,,,Matches,a712ca2b
140,Moussa Djenepo,ml MLI,DFMF,Southampton,24,1998,7.9,,11,,,,,,,,,,,12,,,,Matches,254147d4
141,Matt Doherty,ie IRL,MF,Tottenham,30,1992,7.4,,11,,,,,,,,,,,7,,,,Matches,d557d734
142,Abdoulaye Doucouré,ml MLI,MF,Everton,29,1993,17.0,,20,,,,,,,,,,,12,,,,Matches,02b29014
143,Cheick Doucouré,ml MLI,MF,Crystal Palace,22,2000,30.8,,48,,,,,,,,,,,56,,,,Matches,ce4f40c7
144,Flynn Downes,eng ENG,MF,West Ham,23,1999,8.5,,8,,,,,,,,,,,7,,,,Matches,69fdb896
145,Kami Doyle,eng ENG,MF,Southampton,16,2005,0.1,,0,,,,,,,,,,,0,,,,Matches,65983e4d
146,Cody Drameh,eng ENG,DF,Leeds United,20,2001,0.8,,4,,,,,,,,,,,1,,,,Matches,e0d1510a
147,Martin Dúbravka,sk SVK,GK,Newcastle,33,1989,1.7,,0,,,,,,,,,,,0,,,,Matches,3a949a25
148,Shane Duffy,ie IRL,DFMF,Fulham,30,1992,0.2,,0,,,,,,,,,,,0,,,,Matches,7314bba4
149,Lewis Dunk,eng ENG,DF,Brighton,30,1991,36.0,,18,,,,,,,,,,,30,,,,Matches,282f75f3
150,Jáder Durán,co COL,FW,Aston Villa,18,2003,1.5,,1,,,,,,,,,,,1,,,,Matches,414184f7
151,Malcolm Ebiowei,eng ENG,MF,Crystal Palace,18,2003,0.4,,1,,,,,,,,,,,0,,,,Matches,fa9fa773
152,Odsonne Édouard,fr FRA,FW,Crystal Palace,24,1998,20.0,,11,,,,,,,,,,,1,,,,Matches,0562b7f1
153,Samuel Edozie,eng ENG,MFFW,Southampton,19,2003,6.3,,11,,,,,,,,,,,5,,,,Matches,007414dd
154,Anthony Elanga,se SWE,MF,Manchester Utd,20,2002,4.7,,0,,,,,,,,,,,2,,,,Matches,2fba6108
155,Harvey Elliott,eng ENG,MF,Liverpool,19,2003,17.9,,20,,,,,,,,,,,14,,,,Matches,b9e1436c
156,Mohamed Elneny,eg EGY,MF,Arsenal,30,1992,1.3,,1,,,,,,,,,,,0,,,,Matches,47a34c4f
157,Mohamed Elyounoussi,no NOR,MF,Southampton,27,1994,24.1,,30,,,,,,,,,,,25,,,,Matches,68dc0dac
158,Emerson,br BRA,MFDF,Tottenham,23,1999,19.3,,36,,,,,,,,,,,18,,,,Matches,df8b52a5
159,Julio Enciso,py PAR,MFFW,Brighton,18,2004,9.0,,4,,,,,,,,,,,3,,,,Matches,9cfbad36
160,Christian Eriksen,dk DEN,MF,Manchester Utd,30,1992,22.8,,19,,,,,,,,,,,10,,,,Matches,980522ec
161,Pervis Estupiñán,ec ECU,DFMF,Brighton,24,1998,29.7,,33,,,,,,,,,,,33,,,,Matches,d38fdf53
162,Jonny Evans,nir NIR,DF,Leicester City,34,1988,11.7,,5,,,,,,,,,,,17,,,,Matches,f8fcd2a5
163,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24,1998,29.3,,24,,,,,,,,,,,10,,,,Matches,ae4fc6a4
164,Łukasz Fabiański,pl POL,GK,West Ham,37,1985,34.6,,0,,,,,,,,,,,0,,,,Matches,9328b835
165,Fabinho,br BRA,MF,Liverpool,28,1993,29.7,,37,,,,,,,,,,,36,,,,Matches,7f3b388c
166,Wout Faes,be BEL,DF,Leicester City,24,1998,31.0,,31,,,,,,,,,,,42,,,,Matches,9c221d14
167,Felipe,br BRA,DF,Nottingham,33,1989,15.8,,23,,,,,,,,,,,38,,,,Matches,51a3c4c8
168,João Félix,pt POR,FWMF,Chelsea,22,1999,10.5,,7,,,,,,,,,,,1,,,,Matches,8aafd64f
169,Evan Ferguson,ie IRL,FW,Brighton,17,2004,10.6,,3,,,,,,,,,,,2,,,,Matches,4596da74
170,Bruno Fernandes,pt POR,MF,Manchester Utd,27,1994,36.8,,42,,,,,,,,,,,25,,,,Matches,507c7bdf
171,Enzo Fernández,ar ARG,MF,Chelsea,21,2001,17.2,,26,,,,,,,,,,,12,,,,Matches,5ff4ab71
172,Roberto Firmino,br BRA,FW,Liverpool,30,1991,13.5,,13,,,,,,,,,,,7,,,,Matches,4c370d81
173,Junior Firpo,do DOM,DF,Leeds United,25,1996,15.2,,23,,,,,,,,,,,24,,,,Matches,24f59bb2
174,Phil Foden,eng ENG,FWMF,Manchester City,22,2000,20.5,,10,,,,,,,,,,,5,,,,Matches,ed1e53f3
175,Wesley Fofana,fr FRA,DF,Leicester City,21,2000,2.0,,2,,,,,,,,,,,9,,,,Matches,132a82f1
176,Wesley Fofana,fr FRA,DF,Chelsea,21,2000,13.1,,18,,,,,,,,,,,18,,,,Matches,132a82f1
177,Pablo Fornals,es ESP,MF,West Ham,26,1996,16.7,,14,,,,,,,,,,,14,,,,Matches,82927de4
178,Adam Forshaw,eng ENG,MF,Leeds United,30,1991,5.3,,9,,,,,,,,,,,4,,,,Matches,9f1938ab
179,Fraser Forster,eng ENG,GK,Tottenham,34,1988,13.5,,0,,,,,,,,,,,0,,,,Matches,c3e39f12
180,Tyrese Francois,au AUS,MF,Fulham,22,2000,0.0,,0,,,,,,,,,,,0,,,,Matches,6722d4f0
181,Ryan Fraser,sct SCO,FW,Newcastle,28,1994,3.5,,2,,,,,,,,,,,0,,,,Matches,d56543a0
182,Fred,br BRA,MF,Manchester Utd,29,1993,13.9,,31,,,,,,,,,,,19,,,,Matches,b853e0ad
183,Ryan Fredericks,eng ENG,DF,Bournemouth,29,1992,5.9,,3,,,,,,,,,,,1,,,,Matches,c067631c
184,Remo Freuler,ch SUI,MF,Nottingham,30,1992,24.0,,26,,,,,,,,,,,29,,,,Matches,98d2c2c4
185,Cody Gakpo,nl NED,FW,Liverpool,23,1999,16.2,,15,,,,,,,,,,,4,,,,Matches,1971591f
186,Conor Gallagher,eng ENG,MF,Chelsea,22,2000,18.0,,32,,,,,,,,,,,23,,,,Matches,c2731c10
187,Ben Gannon-Doak,sct SCO,MF,Liverpool,16,2005,0.3,,2,,,,,,,,,,,0,,,,Matches,733f1a7d
188,Alejandro Garnacho,ar ARG,MF,Manchester Utd,18,2004,6.3,,2,,,,,,,,,,,4,,,,Matches,7aa8adfe
189,James Garner,eng ENG,MF,Everton,21,2001,8.9,,13,,,,,,,,,,,12,,,,Matches,4e015693
190,David de Gea,es ESP,GK,Manchester Utd,31,1990,38.0,,0,,,,,,,,,,,0,,,,Matches,7ba6d84e
191,Joe Gelhardt,eng ENG,FW,Leeds United,20,2002,2.4,,2,,,,,,,,,,,0,,,,Matches,01962d0d
192,Saman Ghoddos,ir IRN,FWMF,Brentford,28,1993,1.5,,1,,,,,,,,,,,3,,,,Matches,f7b1d4e0
193,Morgan Gibbs-White,eng ENG,MF,Wolves,22,2000,2.0,,1,,,,,,,,,,,1,,,,Matches,32f60ed8
194,Morgan Gibbs-White,eng ENG,MFFW,Nottingham,22,2000,33.0,,14,,,,,,,,,,,13,,,,Matches,32f60ed8
195,Bryan Gil,es ESP,MFFW,Tottenham,21,2001,1.6,,1,,,,,,,,,,,1,,,,Matches,7b5ab7f2
196,Billy Gilmour,sct SCO,MF,Brighton,21,2001,5.6,,2,,,,,,,,,,,5,,,,Matches,df10e27c
197,Wilfried Gnonto,it ITA,MFFW,Leeds United,18,2003,15.0,,16,,,,,,,,,,,4,,,,Matches,75fdd638
198,Ben Godfrey,eng ENG,DF,Everton,24,1998,8.9,,11,,,,,,,,,,,8,,,,Matches,9f7c837d
199,João Gomes,br BRA,MF,Wolves,21,2001,7.3,,14,,,,,,,,,,,3,,,,Matches,8b57ad2c
200,Toti Gomes,pt POR,DF,Wolves,23,1999,10.9,,9,,,,,,,,,,,10,,,,Matches,f0caab96
201,Joe Gomez,eng ENG,DF,Liverpool,25,1997,16.3,,21,,,,,,,,,,,22,,,,Matches,7a11550b
202,Sergio Gómez,es ESP,MFFW,Manchester City,21,2000,3.9,,4,,,,,,,,,,,2,,,,Matches,01e5f06e
203,Anthony Gordon,eng ENG,FWMF,Newcastle,21,2001,5.4,,11,,,,,,,,,,,1,,,,Matches,2bd83368
204,Anthony Gordon,eng ENG,FWMF,Everton,21,2001,12.2,,21,,,,,,,,,,,5,,,,Matches,2bd83368
205,Demarai Gray,jm JAM,FWMF,Everton,26,1996,27.9,,24,,,,,,,,,,,12,,,,Matches,4468ec10
206,Jack Grealish,eng ENG,FWMF,Manchester City,26,1995,22.8,,16,,,,,,,,,,,8,,,,Matches,b0b4fd3e
207,Sam Greenwood,eng ENG,MF,Leeds United,20,2002,4.7,,7,,,,,,,,,,,1,,,,Matches,f3354c07
208,Pascal Groß,de GER,MFDF,Brighton,31,1991,36.0,,36,,,,,,,,,,,13,,,,Matches,8aec0537
209,Vicente Guaita,es ESP,GK,Crystal Palace,35,1987,27.0,,0,,,,,,,,,,,0,,,,Matches,ab13a5aa
210,Gonçalo Guedes,pt POR,FWMF,Wolves,25,1996,7.9,,6,,,,,,,,,,,1,,,,Matches,e6bc67d7
211,Marc Guéhi,eng ENG,DF,Crystal Palace,22,2000,37.0,,27,,,,,,,,,,,42,,,,Matches,d0706b27
212,Idrissa Gueye,sn SEN,MF,Everton,32,1989,28.6,,57,,,,,,,,,,,56,,,,Matches,72c812f3
213,Bruno Guimarães,br BRA,MF,Newcastle,24,1997,30.3,,43,,,,,,,,,,,36,,,,Matches,82518f62
214,İlkay Gündoğan,de GER,MF,Manchester City,31,1990,26.1,,19,,,,,,,,,,,20,,,,Matches,819b3158
215,Darko Gyabi,eng ENG,MF,Leeds United,18,2004,0.1,,2,,,,,,,,,,,0,,,,Matches,56d838f7
216,Erling Haaland,no NOR,FWMF,Manchester City,22,2000,30.8,,2,,,,,,,,,,,3,,,,Matches,1f44ac21
