,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
48,Sander Berge,no NOR,MF,Sheffield United,21,1998,10.5,,16,,,,,,,,,,,10,,,,Matches,d0b6129f
49,Steven Bergwijn,nl NED,MFFW,Tottenham,21,1997,7.8,,5,,,,,,,,,,,3,,,,Matches,a29b1131
50,Bernard,br BRA,MF,Everton,26,1992,14.2,,19,,,,,,,,,,,16,,,,Matches,ab4b3e35
51,Bernardo,br BRA,DFMF,Brighton,24,1995,7.5,,17,,,,,,,,,,,7,,,,Matches,17370b95
52,Ryan Bertrand,eng ENG,DFMF,Southampton,29,1989,30.5,,30,,,,,,,,,,,31,,,,Matches,01226327
53,Muhamed Bešić,ba BIH,MF,Sheffield United,26,1992,2.8,,6,,,,,,,,,,,2,,,,Matches,7ca9f0f0
54,Philip Billing,dk DEN,MF,Bournemouth,23,1996,28.1,,47,,,,,,,,,,,71,,,,Matches,d328a254
55,Yves Bissouma,ml MLI,MF,Brighton,22,1996,14.0,,37,,,,,,,,,,,22,,,,Matches,6c203af0
56,Willy Boly,ci CIV,DF,Wolves,28,1991,22.0,,36,,,,,,,,,,,39,,,,Matches,a4ac4b8f
57,Gaëtan Bong,cm CMR,DF,Brighton,31,1988,0.7,,0,,,,,,,,,,,0,,,,Matches,cfd5e123
58,Sofiane Boufal,ma MAR,MF,Southampton,25,1993,8.5,,7,,,,,,,,,,,3,,,,Matches,b0c71810
59,Jarrod Bowen,eng ENG,MF,West Ham,22,1996,10.2,,16,,,,,,,,,,,13,,,,Matches,79c84d1c
60,Robbie Brady,ie IRL,MF,Burnley,27,1992,5.0,,8,,,,,,,,,,,5,,,,Matches,96bb8cc2
61,Jarrad Branthwaite,eng ENG,DF,Everton,17,2002,3.3,,8,,,,,,,,,,,1,,,,Matches,c1949191
62,Claudio Bravo,cl CHI,GK,Manchester City,36,1983,3.9,,0,,,,,,,,,,,0,,,,Matches,10072610
63,Armando Broja,al ALB,FW,Chelsea,17,2001,0.1,,0,,,,,,,,,,,0,,,,Matches,97220da2
64,David Brooks,wls WAL,MF,Bournemouth,22,1997,5.6,,4,,,,,,,,,,,3,,,,Matches,dc4cae05
65,Josh Brownhill,eng ENG,MF,Burnley,23,1995,8.9,,10,,,,,,,,,,,13,,,,Matches,47369df8
66,Emi Buendía,ar ARG,MF,Norwich City,22,1996,27.4,,36,,,,,,,,,,,22,,,,Matches,66b76d44
67,Dan Burn,eng ENG,DF,Brighton,27,1992,32.0,,44,,,,,,,,,,,37,,,,Matches,b2d31e83
68,Sam Byram,eng ENG,DF,Norwich City,25,1993,14.4,,21,,,,,,,,,,,24,,,,Matches,1bf811d4
69,Willy Caballero,ar ARG,GK,Chelsea,37,1981,5.0,,0,,,,,,,,,,,0,,,,Matches,a179d516
70,Gary Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,,8,,,,,,,,,,,18,,,,Matches,7914b9fe
71,Dominic Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,,4,,,,,,,,,,,6,,,,Matches,59e6e5bf
72,Víctor Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,,0,,,,,,,,,,,0,,,,Matches,b2d03887
73,João Cancelo,pt POR,DF,Manchester City,25,1994,13.4,,24,,,,,,,,,,,22,,,,Matches,bd6351cd
74,Todd Cantwell,eng ENG,MF,Norwich City,21,1998,27.7,,31,,,,,,,,,,,16,,,,Matches,f63d8a4b
75,Étienne Capoue,fr FRA,MF,Watford,31,1988,29.2,,41,,,,,,,,,,,62,,,,Matches,5acc4a10
76,Andy Carroll,eng ENG,FW,Newcastle,30,1989,7.0,,4,,,,,,,,,,,1,,,,Matches,b581987a
77,Jonny Castro,es ESP,MF,Wolves,25,1994,32.1,,53,,,,,,,,,,,52,,,,Matches,e28868f3
78,Craig Cathcart,nir NIR,DF,Watford,30,1989,27.6,,25,,,,,,,,,,,22,,,,Matches,89e4b358
79,Dani Ceballos,es ESP,MF,Arsenal,22,1996,18.8,,25,,,,,,,,,,,30,,,,Matches,c0617e2b
80,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,10.3,,9,,,,,,,,,,,16,,,,Matches,422862ea
81,Calum Chambers,eng ENG,DF,Arsenal,24,1995,12.2,,10,,,,,,,,,,,15,,,,Matches,dc6f5bdd
82,Ben Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,,26,,,,,,,,,,,28,,,,Matches,d2424d1b
83,Tahith Chong,cw CUW,FWMF,Manchester Utd,19,1999,0.4,,0,,,,,,,,,,,0,,,,Matches,2696b6a9
84,Hamza Choudhury,bd BAN,MF,Leicester City,21,1997,9.9,,8,,,,,,,,,,,27,,,,Matches,7d2d3329
85,Andreas Christensen,dk DEN,DF,Chelsea,23,1996,19.5,,23,,,,,,,,,,,31,,,,Matches,1cb49278
86,Ciaran Clark,ie IRL,DF,Newcastle,29,1989,13.2,,12,,,,,,,,,,,13,,,,Matches,2b91cf8e
87,Leon Clarke,eng ENG,FW,Sheffield United,34,1985,0.4,,0,,,,,,,,,,,0,,,,Matches,91c975a0
88,Tom Cleverley,eng ENG,MF,Watford,29,1989,10.8,,16,,,,,,,,,,,9,,,,Matches,6cdd8245
89,Conor Coady,eng ENG,DF,Wolves,26,1993,38.0,,23,,,,,,,,,,,27,,,,Matches,2928dca2
90,Séamus Coleman,ie IRL,DF,Everton,30,1988,20.4,,31,,,,,,,,,,,24,,,,Matches,0420d84f
91,Aaron Connolly,ie IRL,FW,Brighton,19,2000,14.0,,7,,,,,,,,,,,0,,,,Matches,27c01749
92,Lewis Cook,eng ENG,MF,Bournemouth,22,1997,15.0,,14,,,,,,,,,,,21,,,,Matches,2afc7272
93,Steve Cook,eng ENG,DF,Bournemouth,28,1991,27.0,,11,,,,,,,,,,,45,,,,Matches,3e5e4e63
94,Jack Cork,eng ENG,MF,Burnley,30,1989,29.0,,24,,,,,,,,,,,29,,,,Matches,74e12f1e
95,Aaron Cresswell,eng ENG,DF,West Ham,29,1989,30.3,,24,,,,,,,,,,,35,,,,Matches,4f974391
96,Patrick Cutrone,it ITA,FW,Wolves,21,1998,3.3,,2,,,,,,,,,,,2,,,,Matches,a4fe8cda
97,Diogo Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,,2,,,,,,,,,,,2,,,,Matches,d9565625
98,Charlie Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,,1,,,,,,,,,,,1,,,,Matches,9d107085
99,Arnaut Danjuma,nl NED,MF,Bournemouth,22,1997,7.0,,2,,,,,,,,,,,8,,,,Matches,f08490a6
100,Scott Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,,4,,,,,,,,,,,14,,,,Matches,52105203
101,Kevin Danso,at AUT,DF,Southampton,20,1998,3.1,,3,,,,,,,,,,,3,,,,Matches,6e33125f
102,Ben Davies,wls WAL,DF,Tottenham,26,1993,15.9,,16,,,,,,,,,,,24,,,,Matches,44781702
103,Tom Davies,eng ENG,MF,Everton,21,1998,22.5,,17,,,,,,,,,,,34,,,,Matches,9228b07c
104,Keinan Davis,eng ENG,FW,Aston Villa,21,1998,6.1,,1,,,,,,,,,,,0,,,,Matches,9deaf2c8
105,Craig Dawson,eng ENG,DF,Watford,29,1990,26.2,,17,,,,,,,,,,,34,,,,Matches,3e9e06cb
106,Kevin De Bruyne,be BEL,MF,Manchester City,28,1991,31.0,,24,,,,,,,,,,,19,,,,Matches,e46012d4
107,Troy Deeney,eng ENG,FW,Watford,31,1988,24.7,,12,,,,,,,,,,,11,,,,Matches,82e34b69
108,Fabian Delph,eng ENG,MF,Everton,29,1989,13.2,,12,,,,,,,,,,,16,,,,Matches,111c3236
109,Leander Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,,29,,,,,,,,,,,38,,,,Matches,5a7301ae
110,Gerard Deulofeu,es ESP,MFFW,Watford,25,1994,23.3,,15,,,,,,,,,,,24,,,,Matches,39583cfd
111,Eric Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,,12,,,,,,,,,,,19,,,,Matches,ac861941
112,Lucas Digne,fr FRA,DF,Everton,26,1993,33.7,,52,,,,,,,,,,,46,,,,Matches,1b84dbe1
113,Issa Diop,ma MAR,DF,West Ham,22,1997,30.7,,16,,,,,,,,,,,46,,,,Matches,a712ca2b
114,Moussa Djenepo,ml MLI,MFFW,Southampton,21,1998,10.3,,21,,,,,,,,,,,10,,,,Matches,254147d4
115,Matt Doherty,ie IRL,MF,Wolves,27,1992,31.5,,28,,,,,,,,,,,38,,,,Matches,d557d734
116,Abdoulaye Doucouré,ml MLI,MF,Watford,26,1993,35.1,,33,,,,,,,,,,,32,,,,Matches,02b29014
117,Tommy Doyle,eng ENG,MF,Manchester City,17,2001,0.2,,0,,,,,,,,,,,0,,,,Matches,5526deb1
118,Danny Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,,2,,,,,,,,,,,5,,,,Matches,2649ff32
119,Danny Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,,1,,,,,,,,,,,1,,,,Matches,2649ff32
120,Josip Drmić,ch SUI,FW,Norwich City,26,1992,7.2,,2,,,,,,,,,,,1,,,,Matches,15ea94de
121,Martin Dúbravka,sk SVK,GK,Newcastle,30,1989,38.0,,1,,,,,,,,,,,1,,,,Matches,3a949a25
122,Ondrej Duda,sk SVK,MF,Norwich City,24,1994,8.0,,11,,,,,,,,,,,6,,,,Matches,79ca3e23
123,Shane Duffy,ie IRL,DF,Brighton,27,1992,13.8,,9,,,,,,,,,,,21,,,,Matches,7314bba4
124,Paul Dummett,wls WAL,DF,Newcastle,27,1991,13.6,,17,,,,,,,,,,,19,,,,Matches,3fe6bd8c
125,Lewis Dunk,eng ENG,DF,Brighton,27,1991,35.9,,25,,,,,,,,,,,54,,,,Matches,282f75f3
126,John Egan,ie IRL,DF,Sheffield United,26,1992,35.4,,24,,,,,,,,,,,56,,,,Matches,debe38a0
127,Harvey Elliott,eng ENG,FWMF,Liverpool,16,2003,0.1,,0,,,,,,,,,,,0,,,,Matches,b9e1436c
128,Ahmed Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,,9,,,,,,,,,,,13,,,,Matches,615ef733
129,Björn Engels,be BEL,DF,Aston Villa,24,1994,16.1,,5,,,,,,,,,,,29,,,,Matches,4fdf1fd9
130,Christian Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,,9,,,,,,,,,,,11,,,,Matches,980522ec
131,Jonny Evans,nir NIR,DF,Leicester City,31,1988,37.6,,32,,,,,,,,,,,58,,,,Matches,f8fcd2a5
132,Łukasz Fabiański,pl POL,GK,West Ham,34,1985,23.5,,2,,,,,,,,,,,1,,,,Matches,9328b835
