,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Max Aarons,eng ENG,DF,Bournemouth,24,2000,1.0,,2,,,,,,,,,,,1,,,,Matches,774cf58b
2,Joshua Acheampong,eng ENG,DF,Chelsea,18,2006,1.9,,1,,,,,,,,,,,1,,,,Matches,b7e62e1d
3,Tyler Adams,us USA,MF,Bournemouth,25,1999,21.8,,56,,,,,,,,,,,30,,,,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,26,1997,15.7,,13,,,,,,,,,,,10,,,,Matches,c81d773d
5,Simon Adingra,ci CIV,MF,Brighton,22,2002,12.2,,16,,,,,,,,,,,9,,,,Matches,4dcec659
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27,1997,15.7,,19,,,,,,,,,,,12,,,,Matches,75f1ed80
7,Asher Agbinone,eng ENG,MF,Crystal Palace,18,2005,0.1,,1,,,,,,,,,,,0,,,,Matches,6a10efb3
8,Ola Aina,ng NGA,DF,Nottingham,27,1996,33.3,,41,,,,,,,,,,,31,,,,Matches,246d153b
9,Rayan Aït-Nouri,dz ALG,MFDF,Wolves,23,2001,34.5,,55,,,,,,,,,,,24,,,,Matches,9b398aea
10,Kristoffer Ajer,no NOR,DF,Brentford,26,1998,16.0,,19,,,,,,,,,,,11,,,,Matches,a8c0acb7
11,Manuel Akanji,ch SUI,DFMF,Manchester City,29,1995,22.4,,11,,,,,,,,,,,9,,,,Matches,89ac64a6
12,Nathan Aké,nl NED,DF,Manchester City,29,1995,7.5,,6,,,,,,,,,,,3,,,,Matches,eaeca114
13,Carlos Alcaraz,ar ARG,MF,Southampton,21,2002,0.1,,0,,,,,,,,,,,1,,,,Matches,4abac767
14,Carlos Alcaraz,ar ARG,MF,Everton,21,2002,8.5,,4,,,,,,,,,,,5,,,,Matches,4abac767
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,25,1998,26.3,,49,,,,,,,,,,,31,,,,Matches,cd1acf9d
16,Alisson,br BRA,GK,Liverpool,31,1992,27.9,,0,,,,,,,,,,,0,,,,Matches,7a2e46a8
17,Miguel Almirón,py PAR,FW,Newcastle,30,1994,1.7,,2,,,,,,,,,,,0,,,,Matches,862a1c15
18,Olabade Aluko,,DF,Leicester City,,,0.0,,1,,,,,,,,,,,0,,,,Matches,12bb637a
19,Edson Álvarez,mx MEX,MF,West Ham,26,1997,19.7,,26,,,,,,,,,,,18,,,,Matches,8b3ab7ad
20,Will Alves,eng ENG,MF,Leicester City,19,2005,0.0,,0,,,,,,,,,,,0,,,,Matches,39ef5a7b
21,Harry Amass,eng ENG,MF,Manchester Utd,17,2007,3.8,,2,,,,,,,,,,,2,,,,Matches,7b47100c
22,Samuel Amo-Ameyaw,eng ENG,FWMF,Southampton,18,2006,0.3,,0,,,,,,,,,,,0,,,,Matches,9eedf0e0
23,Mathis Amougou,fr FRA,MF,Chelsea,18,2006,0.1,,0,,,,,,,,,,,0,,,,Matches,f93cca97
24,Joachim Andersen,dk DEN,DF,Crystal Palace,28,1996,1.0,,1,,,,,,,,,,,0,,,,Matches,e34fc66d
25,Joachim Andersen,dk DEN,DF,Fulham,28,1996,28.7,,16,,,,,,,,,,,33,,,,Matches,e34fc66d
26,Elliot Anderson,eng ENG,MF,Nottingham,21,2002,30.3,,55,,,,,,,,,,,29,,,,Matches,de31038e
27,André,br BRA,MF,Wolves,23,2001,27.5,,55,,,,,,,,,,,37,,,,Matches,ec604e2c
28,Michail Antonio,jm JAM,FW,West Ham,34,1990,9.3,,2,,,,,,,,,,,0,,,,Matches,ac05f970
29,Antony,br BRA,FWMF,Manchester Utd,24,2000,1.6,,3,,,,,,,,,,,2,,,,Matches,99127249
30,Julian Araujo,mx MEX,DF,Bournemouth,22,2001,5.5,,5,,,,,,,,,,,5,,,,Matches,8f4541c2
31,Cameron Archer,eng ENG,FW,Southampton,23,2001,16.0,,9,,,,,,,,,,,1,,,,Matches,05e8ca6d
32,Alphonse Areola,fr FRA,GK,West Ham,31,1993,25.1,,2,,,,,,,,,,,0,,,,Matches,2f965a72
33,Joe Aribo,ng NGA,MF,Southampton,28,1996,22.4,,34,,,,,,,,,,,20,,,,Matches,328f7d51
34,Adam Armstrong,eng ENG,FWMF,Southampton,27,1997,13.9,,3,,,,,,,,,,,4,,,,Matches,68c720b5
35,Harrison Armstrong,eng ENG,MF,Everton,17,2007,0.5,,0,,,,,,,,,,,0,,,,Matches,de59e609
36,Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31.0,,0,,,,,,,,,,,0,,,,Matches,28d596a0
37,Marco Asensio,es ESP,MF,Aston Villa,28,1996,8.3,,5,,,,,,,,,,,2,,,,Matches,45af8a54
38,Brandon Austin,eng ENG,GK,Tottenham,25,1999,1.0,,0,,,,,,,,,,,0,,,,Matches,5e253986
39,Taiwo Awoniyi,ng NGA,FW,Nottingham,26,1997,4.6,,4,,,,,,,,,,,0,,,,Matches,e5478b87
40,Yasin Ayari,se SWE,MF,Brighton,20,2003,21.8,,32,,,,,,,,,,,20,,,,Matches,f173303a
41,Jordan Ayew,gh GHA,FWMF,Crystal Palace,32,1991,0.2,,0,,,,,,,,,,,0,,,,Matches,da052c14
42,Jordan Ayew,gh GHA,MF,Leicester City,32,1991,18.2,,14,,,,,,,,,,,11,,,,Matches,da052c14
43,Benoît Badiashile,fr FRA,DF,Chelsea,23,2001,3.7,,6,,,,,,,,,,,6,,,,Matches,06df8256
44,Leon Bailey,jm JAM,MF,Aston Villa,26,1997,12.7,,4,,,,,,,,,,,4,,,,Matches,3a233281
45,Carlos Baleba,cm CMR,MF,Brighton,20,2004,29.6,,44,,,,,,,,,,,49,,,,Matches,a1390d2f
46,Ross Barkley,eng ENG,MF,Aston Villa,30,1993,6.5,,4,,,,,,,,,,,10,,,,Matches,3a24769f
47,Harvey Barnes,eng ENG,FWMF,Newcastle,26,1997,19.5,,9,,,,,,,,,,,6,,,,Matches,3ea50f67
48,Calvin Bassey,ng NGA,DF,Fulham,24,1999,34.2,,33,,,,,,,,,,,19,,,,Matches,a36524bf
49,Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4.0,,0,,,,,,,,,,,0,,,,Matches,072e68ed
50,Jan Bednarek,pl POL,DF,Southampton,28,1996,28.1,,19,,,,,,,,,,,55,,,,Matches,4115ce4e
51,Armel Bella Kotchap,de GER,DF,Southampton,22,2001,3.7,,5,,,,,,,,,,,5,,,,Matches,a39d11bc
52,Jean-Ricner Bellegarde,ht HAI,MF,Wolves,26,1998,18.6,,23,,,,,,,,,,,8,,,,Matches,10f0fdd3
53,Rodrigo Bentancur,uy URU,MF,Tottenham,27,1997,18.3,,22,,,,,,,,,,,38,,,,Matches,3b8674e6
54,Daniel Bentley,eng ENG,GK,Wolves,31,1993,2.0,,0,,,,,,,,,,,0,,,,Matches,68db6358
55,Sander Berge,no NOR,MF,Fulham,26,1998,24.7,,32,,,,,,,,,,,21,,,,Matches,d0b6129f
56,Lucas Bergvall,se SWE,MF,Tottenham,18,2006,13.5,,18,,,,,,,,,,,21,,,,Matches,a109e5c8
57,Victor Bernth Kristiansen,dk DEN,DFMF,Leicester City,21,2002,27.6,,51,,,,,,,,,,,37,,,,Matches,505486d6
58,Beto,gw GNB,FW,Everton,26,1998,17.0,,7,,,,,,,,,,,4,,,,Matches,ed5c0319
59,Philip Billing,dk DEN,MF,Bournemouth,28,1996,2.0,,6,,,,,,,,,,,5,,,,Matches,d328a254
60,Yves Bissouma,ml MLI,MF,Tottenham,27,1996,15.6,,29,,,,,,,,,,,16,,,,Matches,6c203af0
61,Oscar Bobb,no NOR,FWMF,Manchester City,21,2003,0.2,,0,,,,,,,,,,,0,,,,Matches,eed2427e
62,Lamare Bogarde,nl NED,DFMF,Aston Villa,20,2004,5.3,,6,,,,,,,,,,,1,,,,Matches,bca5c4a7
63,Willy Boly,ci CIV,DF,Nottingham,33,1991,1.7,,1,,,,,,,,,,,3,,,,Matches,a4ac4b8f
64,Sven Botman,nl NED,DF,Newcastle,24,2000,4.6,,8,,,,,,,,,,,5,,,,Matches,ccce7025
65,Jarrod Bowen,eng ENG,MFFW,West Ham,27,1996,33.0,,25,,,,,,,,,,,16,,,,Matches,79c84d1c
66,Conor Bradley,nir NIR,DF,Liverpool,21,2003,8.4,,10,,,,,,,,,,,3,,,,Matches,bbd67769
67,Jarrad Branthwaite,eng ENG,DF,Everton,22,2002,27.9,,21,,,,,,,,,,,24,,,,Matches,c1949191
68,James Bree,eng ENG,DFMF,Southampton,26,1997,11.9,,13,,,,,,,,,,,5,,,,Matches,c07b7c5c
69,Ben Brereton Díaz,cl CHI,FWMF,Southampton,25,1999,5.0,,2,,,,,,,,,,,0,,,,Matches,57827369
70,Nathan Broadhead,wls WAL,MF,Ipswich Town,26,1998,7.8,,4,,,,,,,,,,,4,,,,Matches,43309491
71,Armando Broja,al ALB,FW,Everton,22,2001,3.7,,1,,,,,,,,,,,1,,,,Matches,97220da2
72,David Brooks,wls WAL,MF,Bournemouth,27,1997,10.7,,6,,,,,,,,,,,5,,,,Matches,dc4cae05
73,Emi Buendía,ar ARG,FWMF,Aston Villa,27,1996,1.1,,5,,,,,,,,,,,0,,,,Matches,66b76d44
74,Santiago Bueno,uy URU,DF,Wolves,25,1998,18.7,,20,,,,,,,,,,,13,,,,Matches,edc98fac
75,Facundo Buonanotte,ar ARG,MFFW,Leicester City,19,2004,16.9,,33,,,,,,,,,,,13,,,,Matches,468a7a91
76,Cameron Burgess,au AUS,DF,Ipswich Town,28,1995,17.1,,13,,,,,,,,,,,10,,,,Matches,da61ca98
77,Dan Burn,eng ENG,DF,Newcastle,32,1992,37.0,,25,,,,,,,,,,,27,,,,Matches,b2d31e83
78,Wes Burns,wls WAL,MF,Ipswich Town,29,1994,10.3,,11,,,,,,,,,,,10,,,,Matches,b3fe23c6
79,Nathan Butler-Oyedeji,eng ENG,FWMF,Arsenal,21,2003,0.1,,0,,,,,,,,,,,0,,,,Matches,3a686640
80,Moisés Caicedo,ec ECU,MFDF,Chelsea,22,2001,37.2,,74,,,,,,,,,,,47,,,,Matches,16264a81
81,Tom Cairney,sct SCO,MF,Fulham,33,1991,7.0,,4,,,,,,,,,,,4,,,,Matches,a8748947
82,Jens Cajuste,se SWE,MF,Ipswich Town,24,1999,21.8,,22,,,,,,,,,,,29,,,,Matches,928a4a61
83,Riccardo Calafiori,it ITA,DF,Arsenal,22,2002,10.9,,18,,,,,,,,,,,8,,,,Matches,aded8e6f
84,Dominic Calvert-Lewin,eng ENG,FW,Everton,27,1997,17.9,,7,,,,,,,,,,,7,,,,Matches,59e6e5bf
85,Diego Carlos,br BRA,DF,Aston Villa,31,1993,9.2,,2,,,,,,,,,,,5,,,,Matches,b4a014b1
86,Fabio Carvalho,pt POR,FWMF,Brentford,21,2002,5.1,,9,,,,,,,,,,,3,,,,Matches,966e28d0
87,Casemiro,br BRA,MF,Manchester Utd,32,1992,16.6,,52,,,,,,,,,,,15,,,,Matches,4d224fe8
88,Kaelan Casey,eng ENG,DF,West Ham,19,2004,0.0,,0,,,,,,,,,,,0,,,,Matches,cd4b2c5f
89,Matty Cash,pl POL,DF,Aston Villa,26,1997,23.0,,31,,,,,,,,,,,22,,,,Matches,2389cdc2
90,Eiran Cashin,ie IRL,DF,Brighton,22,2001,0.2,,0,,,,,,,,,,,0,,,,Matches,f557c3b8
91,Timothy Castagne,be BEL,DFMF,Fulham,28,1995,18.3,,31,,,,,,,,,,,23,,,,Matches,197640fd
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25,1999,10.1,,7,,,,,,,,,,,9,,,,Matches,5515376c
93,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25,1999,11.8,,15,,,,,,,,,,,20,,,,Matches,5515376c
94,Conor Chaplin,eng ENG,MFFW,Ipswich Town,27,1997,9.5,,5,,,,,,,,,,,3,,,,Matches,4ec55b87
95,Youssef Chermiti,pt POR,FW,Everton,20,2004,0.5,,0,,,,,,,,,,,0,,,,Matches,890f108d
96,Federico Chiesa,it ITA,FW,Liverpool,26,1997,1.2,,0,,,,,,,,,,,0,,,,Matches,b0f7e36c
97,Ben Chilwell,eng ENG,MF,Crystal Palace,27,1996,2.9,,6,,,,,,,,,,,6,,,,Matches,d2424d1b
98,Chiquinho,pt POR,FWMF,Wolves,24,2000,0.1,,0,,,,,,,,,,,0,,,,Matches,dc6c2f02
99,Hamza Choudhury,bd BAN,MF,Leicester City,26,1997,1.5,,1,,,,,,,,,,,5,,,,Matches,7d2d3329
100,Ryan Christie,sct SCO,MF,Bournemouth,29,1995,23.5,,33,,,,,,,,,,,30,,,,Matches,26ce2263
101,Harry Clarke,eng ENG,DF,Ipswich Town,23,2001,4.2,,3,,,,,,,,,,,3,,,,Matches,a64f2573
102,Jack Clarke,eng ENG,MF,Ipswich Town,23,2000,13.1,,18,,,,,,,,,,,7,,,,Matches,e16932d8
103,Nathaniel Clyne,eng ENG,DFMF,Crystal Palace,33,1991,5.4,,8,,,,,,,,,,,3,,,,Matches,0442183b
104,Conor Coady,eng ENG,DF,Leicester City,31,1993,19.0,,9,,,,,,,,,,,12,,,,Matches,2928dca2
105,Séamus Coleman,ie IRL,DF,Everton,35,1988,2.4,,2,,,,,,,,,,,1,,,,Matches,0420d84f
106,Nathan Collins,ie IRL,DF,Brentford,23,2001,38.0,,24,,,,,,,,,,,34,,,,Matches,a8c19eb8
107,Toby Collyer,eng ENG,MF,Manchester Utd,20,2004,2.0,,9,,,,,,,,,,,3,,,,Matches,4f9091bc
108,Levi Colwill,eng ENG,DF,Chelsea,21,2003,35.0,,35,,,,,,,,,,,32,,,,Matches,700783e7
109,Lewis Cook,eng ENG,MFDF,Bournemouth,27,1997,33.1,,42,,,,,,,,,,,45,,,,Matches,2afc7272
110,Maxwel Cornet,ci CIV,MF,Southampton,27,1996,0.8,,5,,,,,,,,,,,0,,,,Matches,beb391dd
111,Vladimír Coufal,cz CZE,DFMF,West Ham,31,1992,11.9,,16,,,,,,,,,,,8,,,,Matches,fdf3cb77
112,Woyo Coulibaly,ml MLI,DF,Leicester City,25,1999,1.2,,4,,,,,,,,,,,5,,,,Matches,beb6e3a6
113,Aaron Cresswell,eng ENG,DF,West Ham,34,1989,9.2,,8,,,,,,,,,,,8,,,,Matches,4f974391
114,Marc Cucurella,es ESP,DF,Chelsea,26,1998,33.2,,46,,,,,,,,,,,26,,,,Matches,1daec722
115,Jorge Cuenca,es ESP,DF,Fulham,24,1999,3.9,,2,,,,,,,,,,,2,,,,Matches,0abc51f2
116,Matheus Cunha,br BRA,MF,Wolves,25,1999,28.9,,23,,,,,,,,,,,14,,,,Matches,dc62b55d
117,Patson Daka,zm ZAM,MFFW,Leicester City,25,1998,8.2,,10,,,,,,,,,,,1,,,,Matches,ca45605e
