,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Patrick van Aanholt,nl NED,DFMF,Sunderland,25,1990,19.8,,28,,,,,,,,,,,46,,,,Matches,5f09991f
2,Patrick van Aanholt,nl NED,DFMF,Crystal Palace,25,1990,7.9,,5,,,,,,,,,,,14,,,,Matches,5f09991f
3,Charlie Adam,sct SCO,MF,Stoke City,30,1985,16.6,,17,,,,,,,,,,,24,,,,Matches,aff418dc
4,Albert Adomah,gh GHA,MF,Middlesbrough,28,1987,1.4,,4,,,,,,,,,,,2,,,,Matches,c7174e81
5,Adrián,es ESP,GK,West Ham,29,1987,16.0,,0,,,,,,,,,,,0,,,,Matches,f76e6b4e
6,Ibrahim Afellay,nl NED,MF,Stoke City,30,1986,4.3,,2,,,,,,,,,,,5,,,,Matches,9a8c6673
7,Benik Afobe,cd COD,FW,Bournemouth,23,1993,16.2,,9,,,,,,,,,,,6,,,,Matches,b63f4077
8,Sergio Agüero,ar ARG,FW,Manchester City,28,1988,26.7,,14,,,,,,,,,,,4,,,,Matches,4d034881
9,Dan Agyei,gh GHA,FWMF,Burnley,19,1997,0.3,,,,,,,,,,,,,,,,,Matches,5c374509
10,Ola Aina,ng NGA,DFMF,Chelsea,19,1996,0.3,,0,,,,,,,,,,,0,,,,Matches,246d153b
11,Nathan Aké,nl NED,DF,Chelsea,21,1995,1.1,,3,,,,,,,,,,,2,,,,Matches,eaeca114
12,Nathan Aké,nl NED,DF,Bournemouth,21,1995,8.2,,14,,,,,,,,,,,9,,,,Matches,eaeca114
13,Marc Albrighton,eng ENG,MF,Leicester City,26,1989,26.8,,45,,,,,,,,,,,38,,,,Matches,b827d5b3
14,Toby Alderweireld,be BEL,DF,Tottenham,27,1989,28.9,,35,,,,,,,,,,,26,,,,Matches,f7d50789
15,Trent Alexander-Arnold,eng ENG,MFDF,Liverpool,17,1998,1.9,,2,,,,,,,,,,,2,,,,Matches,cd1acf9d
16,Joe Allen,wls WAL,MF,Stoke City,26,1990,32.6,,52,,,,,,,,,,,63,,,,Matches,9feb8f24
17,Dele Alli,eng ENG,MF,Tottenham,20,1996,33.7,,40,,,,,,,,,,,13,,,,Matches,cea4ee8f
18,Ryan Allsop,eng ENG,GK,Bournemouth,24,1992,1.0,,0,,,,,,,,,,,0,,,,Matches,af615123
19,Marcos Alonso,es ESP,MF,Chelsea,25,1990,29.9,,38,,,,,,,,,,,43,,,,Matches,f4290206
20,Daniel Amartey,gh GHA,MF,Leicester City,21,1994,18.6,,29,,,,,,,,,,,27,,,,Matches,1a4ef233
21,Jordi Amat,id IDN,DF,Swansea City,24,1992,15.7,,23,,,,,,,,,,,31,,,,Matches,d70a2141
22,Nordin Amrabat,ma MAR,MFFW,Watford,29,1987,23.2,,35,,,,,,,,,,,27,,,,Matches,7c2a398c
23,Victor Anichebe,ng NGA,FWMF,Sunderland,28,1988,13.5,,8,,,,,,,,,,,9,,,,Matches,4aed5c19
24,Michail Antonio,jm JAM,MFFW,West Ham,26,1990,27.0,,28,,,,,,,,,,,28,,,,Matches,ac05f970
25,Ikechi Anya,sct SCO,FWMF,Watford,28,1988,0.1,,0,,,,,,,,,,,0,,,,Matches,c55e973d
26,Álvaro Arbeloa,es ESP,DF,West Ham,33,1983,2.9,,4,,,,,,,,,,,9,,,,Matches,6dc73abd
27,Scott Arfield,ca CAN,MF,Burnley,27,1988,23.4,,27,,,,,,,,,,,34,,,,Matches,b1313ec4
28,Marko Arnautović,at AUT,MFFW,Stoke City,27,1989,30.2,,27,,,,,,,,,,,29,,,,Matches,00459419
29,Harry Arter,ie IRL,MF,Bournemouth,26,1989,32.8,,66,,,,,,,,,,,50,,,,Matches,2f4c5a52
30,Joel Asoro,se SWE,FWMF,Sunderland,17,1999,0.1,,0,,,,,,,,,,,0,,,,Matches,13e827f8
31,Charlie Austin,eng ENG,FW,Southampton,27,1989,10.4,,12,,,,,,,,,,,4,,,,Matches,8d228291
32,Daniel Ayala,es ESP,DF,Middlesbrough,25,1990,10.2,,8,,,,,,,,,,,27,,,,Matches,302560a0
