,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
42,Michy Batshuayi,be BEL,FW,Chelsea,23,1993,4.0,,4,,,,,,,,,,,1,,,,Matches,2973d8ff
43,Moritz Bauer,at AUT,DFMF,Stoke City,25,1992,14.5,,20,,,,,,,,,,,10,,,,Matches,cfe6238d
44,Jan Bednarek,pl POL,DF,Southampton,21,1996,4.7,,3,,,,,,,,,,,5,,,,Matches,4115ce4e
45,Asmir Begović,ba BIH,GK,Bournemouth,30,1987,38.0,,0,,,,,,,,,,,1,,,,Matches,7b4de647
46,Héctor Bellerín,es ESP,MFDF,Arsenal,22,1995,33.9,,45,,,,,,,,,,,27,,,,Matches,f874dd44
47,Yohan Benalouane,tn TUN,DF,Leicester City,30,1987,1.0,,3,,,,,,,,,,,2,,,,Matches,8309b068
48,Christian Benteke,be BEL,FW,Crystal Palace,26,1990,24.9,,7,,,,,,,,,,,7,,,,Matches,ab070c55
49,Saido Berahino,bi BDI,FW,Stoke City,23,1993,5.5,,2,,,,,,,,,,,2,,,,Matches,25b166d0
50,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,26,1990,31.5,,27,,,,,,,,,,,35,,,,Matches,f72293fc
51,Ryan Bertrand,eng ENG,DFMF,Southampton,27,1989,34.8,,36,,,,,,,,,,,41,,,,Matches,01226327
52,Muhamed Bešić,ba BIH,DFMF,Everton,24,1992,0.5,,2,,,,,,,,,,,1,,,,Matches,7ca9f0f0
53,Philip Billing,dk DEN,MF,Huddersfield,21,1996,8.5,,17,,,,,,,,,,,19,,,,Matches,d328a254
54,Mame Biram Diouf,sn SEN,MFFW,Stoke City,29,1987,28.8,,35,,,,,,,,,,,16,,,,Matches,7f4f3e49
55,Daley Blind,nl NED,DFMF,Manchester Utd,27,1990,4.0,,4,,,,,,,,,,,6,,,,Matches,691bef82
56,Jeremie Boga,ci CIV,MF,Chelsea,20,1997,0.2,,0,,,,,,,,,,,0,,,,Matches,fe012aca
57,Yannick Bolasie,cd COD,MFFW,Everton,28,1989,9.5,,7,,,,,,,,,,,5,,,,Matches,715fc0fe
58,Gaëtan Bong,cm CMR,DF,Brighton,29,1988,24.8,,35,,,,,,,,,,,46,,,,Matches,cfd5e123
59,Wilfried Bony,ci CIV,FW,Swansea City,28,1988,7.9,,4,,,,,,,,,,,2,,,,Matches,61abe9b6
60,Sofiane Boufal,ma MAR,MF,Southampton,23,1993,13.5,,25,,,,,,,,,,,7,,,,Matches,b0c71810
61,Robbie Brady,ie IRL,MF,Burnley,25,1992,14.2,,22,,,,,,,,,,,11,,,,Matches,96bb8cc2
62,Claudio Bravo,cl CHI,GK,Manchester City,34,1983,2.5,,0,,,,,,,,,,,0,,,,Matches,10072610
63,Miguel Britos,uy URU,DF,Watford,32,1985,8.9,,12,,,,,,,,,,,12,,,,Matches,356a9a62
64,Leon Britton,eng ENG,MF,Swansea City,34,1982,3.4,,5,,,,,,,,,,,2,,,,Matches,b92dd711
65,Izzy Brown,eng ENG,MFFW,Brighton,20,1997,3.5,,3,,,,,,,,,,,3,,,,Matches,bf54c8cc
66,Bruno,es ESP,DF,Brighton,36,1980,22.4,,17,,,,,,,,,,,40,,,,Matches,78803d03
67,Chris Brunt,nir NIR,MFDF,West Brom,32,1984,21.3,,26,,,,,,,,,,,22,,,,Matches,ec7e6ad1
68,Oliver Burke,sct SCO,FW,West Brom,20,1997,4.1,,4,,,,,,,,,,,7,,,,Matches,f631c17f
69,Jack Butland,eng ENG,GK,Stoke City,24,1993,35.0,,1,,,,,,,,,,,1,,,,Matches,cc70a1d5
70,Sam Byram,eng ENG,MF,West Ham,23,1993,2.8,,6,,,,,,,,,,,9,,,,Matches,1bf811d4
71,Willy Caballero,ar ARG,GK,Chelsea,35,1981,3.0,,0,,,,,,,,,,,0,,,,Matches,a179d516
72,Yohan Cabaye,fr FRA,MF,Crystal Palace,31,1986,26.4,,42,,,,,,,,,,,77,,,,Matches,ad7b19ef
73,Gary Cahill,eng ENG,DF,Chelsea,31,1985,23.2,,22,,,,,,,,,,,30,,,,Matches,7914b9fe
74,Dominic Calvert-Lewin,eng ENG,FWMF,Everton,20,1997,20.9,,10,,,,,,,,,,,12,,,,Matches,59e6e5bf
75,Geoff Cameron,us USA,MFDF,Stoke City,32,1985,16.9,,21,,,,,,,,,,,38,,,,Matches,1a160ea3
76,Tyrese Campbell,eng ENG,FWMF,Stoke City,17,1999,0.9,,1,,,,,,,,,,,1,,,,Matches,38aefb74
77,Emre Can,de GER,MF,Liverpool,23,1994,23.2,,57,,,,,,,,,,,35,,,,Matches,a65ce836
78,Étienne Capoue,fr FRA,MF,Watford,29,1988,17.1,,27,,,,,,,,,,,40,,,,Matches,5acc4a10
79,Michael Carrick,eng ENG,MF,Manchester Utd,36,1981,1.2,,1,,,,,,,,,,,2,,,,Matches,ab7263c1
80,André Carrillo,pe PER,MFFW,Watford,26,1991,17.1,,23,,,,,,,,,,,15,,,,Matches,7527558b
81,Guido Carrillo,ar ARG,FW,Southampton,26,1991,5.0,,4,,,,,,,,,,,0,,,,Matches,8f898ba8
82,Andy Carroll,eng ENG,FW,West Ham,28,1989,8.3,,3,,,,,,,,,,,2,,,,Matches,b581987a
83,Tom Carroll,eng ENG,MF,Swansea City,25,1992,28.6,,35,,,,,,,,,,,34,,,,Matches,5a1900a4
84,Craig Cathcart,nir NIR,DF,Watford,28,1989,5.8,,6,,,,,,,,,,,4,,,,Matches,89e4b358
85,Petr Čech,cz CZE,GK,Arsenal,35,1982,33.8,,1,,,,,,,,,,,0,,,,Matches,71672fa0
86,Nacer Chadli,be BEL,MFFW,West Brom,27,1989,2.4,,0,,,,,,,,,,,0,,,,Matches,5b54bf3b
87,Nathaniel Chalobah,eng ENG,MF,Watford,22,1994,5.0,,6,,,,,,,,,,,7,,,,Matches,422862ea
88,Calum Chambers,eng ENG,DF,Arsenal,22,1995,9.6,,12,,,,,,,,,,,19,,,,Matches,dc6f5bdd
89,Ben Chilwell,eng ENG,DFMF,Leicester City,20,1996,20.6,,29,,,,,,,,,,,28,,,,Matches,d2424d1b
90,Hamza Choudhury,bd BAN,MF,Leicester City,19,1997,4.2,,6,,,,,,,,,,,13,,,,Matches,7d2d3329
91,Andreas Christensen,dk DEN,DF,Chelsea,21,1996,23.0,,12,,,,,,,,,,,39,,,,Matches,1cb49278
92,Lee Chung-yong,kr KOR,FW,Crystal Palace,29,1988,1.5,,1,,,,,,,,,,,2,,,,Matches,49b05a83
93,Ciaran Clark,ie IRL,DF,Newcastle,27,1989,19.4,,18,,,,,,,,,,,20,,,,Matches,2b91cf8e
94,Tom Cleverley,eng ENG,MF,Watford,27,1989,21.1,,28,,,,,,,,,,,28,,,,Matches,6cdd8245
95,Sam Clucas,eng ENG,MF,Swansea City,26,1990,22.7,,18,,,,,,,,,,,28,,,,Matches,987718f5
96,Nathaniel Clyne,eng ENG,DF,Liverpool,26,1991,1.9,,1,,,,,,,,,,,1,,,,Matches,0442183b
97,Séamus Coleman,ie IRL,DF,Everton,28,1988,11.5,,16,,,,,,,,,,,16,,,,Matches,0420d84f
98,James Collins,wls WAL,DF,West Ham,33,1983,11.7,,9,,,,,,,,,,,18,,,,Matches,c61f1719
99,Lewis Cook,eng ENG,MF,Bournemouth,20,1997,24.9,,35,,,,,,,,,,,38,,,,Matches,2afc7272
100,Steve Cook,eng ENG,DF,Bournemouth,26,1991,30.7,,22,,,,,,,,,,,62,,,,Matches,3e5e4e63
101,Francis Coquelin,fr FRA,DF,Arsenal,26,1991,1.8,,4,,,,,,,,,,,4,,,,Matches,a6951bf8
102,Jack Cork,eng ENG,MF,Burnley,28,1989,38.0,,48,,,,,,,,,,,38,,,,Matches,74e12f1e
103,Thibaut Courtois,be BEL,GK,Chelsea,25,1992,35.0,,0,,,,,,,,,,,0,,,,Matches,1840e36d
104,Philippe Coutinho,br BRA,MFFW,Liverpool,25,1992,12.3,,13,,,,,,,,,,,9,,,,Matches,0ef89a37
105,Martin Cranie,eng ENG,DF,Huddersfield,30,1986,2.0,,2,,,,,,,,,,,3,,,,Matches,9e53837d
106,Aaron Cresswell,eng ENG,DFMF,West Ham,27,1989,34.1,,23,,,,,,,,,,,49,,,,Matches,4f974391
107,Peter Crouch,eng ENG,FW,Stoke City,36,1981,17.4,,0,,,,,,,,,,,3,,,,Matches,73d9bdc7
108,Josh Cullen,ie IRL,DFMF,West Ham,21,1996,0.1,,0,,,,,,,,,,,2,,,,Matches,f6d7d690
109,Charlie Daniels,eng ENG,DFMF,Bournemouth,30,1986,33.4,,33,,,,,,,,,,,33,,,,Matches,9d107085
110,Danilo,br BRA,DF,Manchester City,26,1991,15.0,,30,,,,,,,,,,,20,,,,Matches,94b2001f
111,Scott Dann,eng ENG,DF,Crystal Palace,30,1987,15.9,,7,,,,,,,,,,,24,,,,Matches,52105203
112,Karl Darlow,wls WAL,GK,Newcastle,26,1990,10.0,,0,,,,,,,,,,,0,,,,Matches,cde3309f
113,Matteo Darmian,it ITA,DF,Manchester Utd,27,1989,4.9,,13,,,,,,,,,,,8,,,,Matches,96e0490d
114,Ben Davies,wls WAL,DFMF,Tottenham,24,1993,25.8,,35,,,,,,,,,,,27,,,,Matches,44781702
115,Tom Davies,eng ENG,MF,Everton,19,1998,21.1,,20,,,,,,,,,,,25,,,,Matches,9228b07c
116,Steven Davis,nir NIR,MF,Southampton,32,1985,16.9,,23,,,,,,,,,,,16,,,,Matches,cf15bbb1
117,Craig Dawson,eng ENG,DF,West Brom,27,1990,27.9,,30,,,,,,,,,,,52,,,,Matches,3e9e06cb
118,Kevin De Bruyne,be BEL,MF,Manchester City,26,1991,34.1,,44,,,,,,,,,,,27,,,,Matches,e46012d4
119,Troy Deeney,eng ENG,FW,Watford,29,1988,20.5,,15,,,,,,,,,,,5,,,,Matches,82e34b69
120,Jermain Defoe,eng ENG,FW,Bournemouth,34,1982,12.1,,10,,,,,,,,,,,5,,,,Matches,f1e8372d
121,Steven Defour,be BEL,MF,Burnley,29,1988,22.2,,25,,,,,,,,,,,44,,,,Matches,73489527
122,Damien Delaney,ie IRL,DF,Crystal Palace,36,1981,1.1,,1,,,,,,,,,,,3,,,,Matches,210d9ecb
123,Fabian Delph,eng ENG,DF,Manchester City,27,1989,19.3,,34,,,,,,,,,,,35,,,,Matches,111c3236
124,Mousa Dembélé,be BEL,MF,Tottenham,30,1987,20.9,,26,,,,,,,,,,,32,,,,Matches,f7ee69fb
125,Laurent Depoitre,be BEL,FW,Huddersfield,28,1988,20.2,,9,,,,,,,,,,,11,,,,Matches,aa5859cb
126,Mike van der Hoorn,nl NED,DF,Swansea City,24,1992,21.6,,22,,,,,,,,,,,40,,,,Matches,25f50295
127,Gerard Deulofeu,es ESP,MFFW,Watford,23,1994,4.8,,4,,,,,,,,,,,6,,,,Matches,39583cfd
128,Fousseni Diabaté,ml MLI,MFFW,Leicester City,21,1995,6.5,,5,,,,,,,,,,,8,,,,Matches,d07e3b41
129,Mohamed Diamé,sn SEN,MF,Newcastle,30,1987,22.7,,65,,,,,,,,,,,52,,,,Matches,b7d082af
130,Brahim Díaz,ma MAR,FWMF,Manchester City,17,1999,0.6,,0,,,,,,,,,,,2,,,,Matches,407feb71
131,Eric Dier,eng ENG,MFDF,Tottenham,23,1994,31.4,,46,,,,,,,,,,,47,,,,Matches,ac861941
132,Abdoulaye Doucouré,ml MLI,MF,Watford,24,1993,36.9,,51,,,,,,,,,,,59,,,,Matches,02b29014
133,Aleksandar Dragović,at AUT,DF,Leicester City,26,1991,8.5,,11,,,,,,,,,,,13,,,,Matches,6fd8a334
134,Danny Drinkwater,eng ENG,MF,Chelsea,27,1990,5.9,,12,,,,,,,,,,,8,,,,Matches,2649ff32
135,Martin Dúbravka,sk SVK,GK,Newcastle,28,1989,12.0,,0,,,,,,,,,,,0,,,,Matches,3a949a25
136,Shane Duffy,ie IRL,DF,Brighton,25,1992,36.6,,21,,,,,,,,,,,51,,,,Matches,7314bba4
137,Paul Dummett,wls WAL,DF,Newcastle,25,1991,17.8,,18,,,,,,,,,,,28,,,,Matches,3fe6bd8c
138,Lewis Dunk,eng ENG,DF,Brighton,25,1991,38.0,,33,,,,,,,,,,,72,,,,Matches,282f75f3
139,Nathan Dyer,eng ENG,FWMF,Swansea City,29,1987,14.5,,14,,,,,,,,,,,16,,,,Matches,6dfd5af0
140,Tom Edwards,eng ENG,DFMF,Stoke City,18,1999,5.3,,10,,,,,,,,,,,9,,,,Matches,1b780599
141,Rob Elliot,ie IRL,GK,Newcastle,31,1986,16.0,,0,,,,,,,,,,,1,,,,Matches,b1b25949
142,Mohamed Elneny,eg EGY,MF,Arsenal,25,1992,9.6,,8,,,,,,,,,,,11,,,,Matches,47a34c4f
143,Christian Eriksen,dk DEN,MF,Tottenham,25,1992,35.8,,31,,,,,,,,,,,32,,,,Matches,980522ec
144,Jonny Evans,nir NIR,DF,West Brom,29,1988,25.2,,22,,,,,,,,,,,52,,,,Matches,f8fcd2a5
145,Patrice Evra,fr FRA,DFMF,West Ham,36,1981,2.5,,4,,,,,,,,,,,7,,,,Matches,51a3caf1
146,Łukasz Fabiański,pl POL,GK,Swansea City,32,1985,38.0,,0,,,,,,,,,,,1,,,,Matches,9328b835
147,Cesc Fàbregas,es ESP,MF,Chelsea,30,1987,25.6,,51,,,,,,,,,,,21,,,,Matches,33508c78
148,Marouane Fellaini,be BEL,MF,Manchester Utd,29,1987,6.9,,8,,,,,,,,,,,14,,,,Matches,87575fd9
149,Kiko Femenía,es ESP,MFDF,Watford,26,1991,19.0,,29,,,,,,,,,,,36,,,,Matches,e5d01ecf
150,Leroy Fer,nl NED,MF,Swansea City,27,1990,15.5,,32,,,,,,,,,,,14,,,,Matches,3cefa66a
151,Edimilson Fernandes,ch SUI,MF,West Ham,21,1996,9.4,,10,,,,,,,,,,,18,,,,Matches,3bb625ac
152,Federico Fernández,ar ARG,DF,Swansea City,28,1989,29.7,,30,,,,,,,,,,,48,,,,Matches,f25b010f
153,Fernandinho,br BRA,MF,Manchester City,32,1985,32.0,,38,,,,,,,,,,,48,,,,Matches,101da2b5
154,Sam Field,eng ENG,MF,West Brom,19,1998,6.0,,10,,,,,,,,,,,9,,,,Matches,bd8a7d05
155,Roberto Firmino,br BRA,FW,Liverpool,25,1991,30.7,,52,,,,,,,,,,,16,,,,Matches,4c370d81
156,Darren Fletcher,sct SCO,MF,Stoke City,33,1984,24.7,,30,,,,,,,,,,,27,,,,Matches,184e4970
157,Phil Foden,eng ENG,FWMF,Manchester City,17,2000,0.5,,0,,,,,,,,,,,1,,,,Matches,ed1e53f3
158,José Fonte,pt POR,DF,West Ham,33,1983,7.6,,7,,,,,,,,,,,14,,,,Matches,90f87966
159,Fraser Forster,eng ENG,GK,Southampton,29,1988,20.0,,0,,,,,,,,,,,0,,,,Matches,c3e39f12
160,Ben Foster,eng ENG,GK,West Brom,34,1983,37.0,,1,,,,,,,,,,,2,,,,Matches,d0b3ceb9
161,Timothy Fosu-Mensah,nl NED,DF,Crystal Palace,19,1998,17.7,,34,,,,,,,,,,,33,,,,Matches,a9142dc3
162,Simon Francis,eng ENG,DF,Bournemouth,32,1985,30.0,,37,,,,,,,,,,,48,,,,Matches,1e0b6a73
163,Ryan Fraser,sct SCO,MF,Bournemouth,23,1994,22.3,,8,,,,,,,,,,,16,,,,Matches,d56543a0
164,Christian Fuchs,at AUT,DF,Leicester City,31,1986,21.3,,33,,,,,,,,,,,53,,,,Matches,a67a09fb
165,Jay Fulton,sct SCO,MF,Swansea City,23,1994,0.2,,0,,,,,,,,,,,0,,,,Matches,434ad289
166,Ramiro Funes Mori,ar ARG,DF,Everton,26,1991,1.3,,0,,,,,,,,,,,3,,,,Matches,89cbc961
167,Manolo Gabbiadini,it ITA,FW,Southampton,25,1991,12.0,,2,,,,,,,,,,,4,,,,Matches,8f866fe8
168,Jesús Gámez,es ESP,DF,Newcastle,32,1985,1.1,,2,,,,,,,,,,,2,,,,Matches,bd1d1cbb
169,Dwight Gayle,eng ENG,FW,Newcastle,26,1990,21.8,,11,,,,,,,,,,,6,,,,Matches,e58a03c6
170,Paulo Gazzaniga,ar ARG,GK,Tottenham,25,1992,1.0,,0,,,,,,,,,,,0,,,,Matches,63d17038
171,David de Gea,es ESP,GK,Manchester Utd,26,1990,37.0,,0,,,,,,,,,,,0,,,,Matches,7ba6d84e
172,Kieran Gibbs,eng ENG,DFMF,West Brom,27,1989,31.4,,28,,,,,,,,,,,48,,,,Matches,46ee5234
173,Olivier Giroud,fr FRA,FW,Arsenal,30,1986,4.3,,4,,,,,,,,,,,1,,,,Matches,16ceb862
174,Olivier Giroud,fr FRA,FW,Chelsea,30,1986,6.8,,3,,,,,,,,,,,1,,,,Matches,16ceb862
175,Connor Goldson,eng ENG,DF,Brighton,24,1992,2.2,,2,,,,,,,,,,,2,,,,Matches,56f6f826
176,Heurelho Gomes,br BRA,GK,Watford,36,1981,23.6,,0,,,,,,,,,,,2,,,,Matches,d596e193
177,Joe Gomez,eng ENG,DF,Liverpool,20,1997,21.1,,42,,,,,,,,,,,35,,,,Matches,7a11550b
178,Dan Gosling,eng ENG,MF,Bournemouth,27,1990,21.6,,24,,,,,,,,,,,27,,,,Matches,7fec31a0
179,Lee Grant,eng ENG,GK,Stoke City,34,1983,3.0,,1,,,,,,,,,,,0,,,,Matches,9dab6e3b
180,Andre Gray,jm JAM,FW,Watford,26,1991,16.6,,1,,,,,,,,,,,4,,,,Matches,c24dba2a
181,Demarai Gray,jm JAM,MF,Leicester City,21,1996,18.9,,16,,,,,,,,,,,12,,,,Matches,4468ec10
182,Pascal Groß,de GER,MFFW,Brighton,26,1991,32.5,,26,,,,,,,,,,,15,,,,Matches,8aec0537
183,Marko Grujić,rs SRB,MF,Liverpool,21,1996,0.2,,2,,,,,,,,,,,0,,,,Matches,8b8e759d
184,Idrissa Gueye,sn SEN,MF,Everton,27,1989,30.6,,93,,,,,,,,,,,65,,,,Matches,72c812f3
185,İlkay Gündoğan,de GER,MF,Manchester City,26,1990,16.9,,16,,,,,,,,,,,15,,,,Matches,819b3158
186,Florent Hadergjonaj,xk KVX,DFMF,Huddersfield,23,1994,18.6,,18,,,,,,,,,,,18,,,,Matches,9aa186b2
187,Massadio Haïdara,ml MLI,DFMF,Newcastle,24,1992,0.0,,0,,,,,,,,,,,0,,,,Matches,5167c97e
188,Ben Hamer,eng ENG,GK,Leicester City,29,1987,3.1,,0,,,,,,,,,,,0,,,,Matches,d822a850
189,Rekeem Harper,eng ENG,MF,West Brom,17,2000,0.2,,1,,,,,,,,,,,0,,,,Matches,3c066877
190,Joe Hart,eng ENG,GK,West Ham,30,1987,19.0,,1,,,,,,,,,,,0,,,,Matches,cb4f24c6
191,Isaac Hayden,jm JAM,MF,Newcastle,22,1995,15.3,,23,,,,,,,,,,,22,,,,Matches,c951a6df
192,Eden Hazard,be BEL,FWMF,Chelsea,26,1991,26.9,,3,,,,,,,,,,,4,,,,Matches,a39bb753
193,Tom Heaton,eng ENG,GK,Burnley,31,1986,3.4,,0,,,,,,,,,,,0,,,,Matches,a6de6361
194,Michael Hefele,de GER,DF,Huddersfield,26,1990,0.4,,0,,,,,,,,,,,2,,,,Matches,91bdc54a
195,Ahmed Hegazi,eg EGY,DF,West Brom,26,1991,37.6,,38,,,,,,,,,,,63,,,,Matches,5540c9dc
196,Tomer Hemed,il ISR,FW,Brighton,30,1987,9.4,,4,,,,,,,,,,,2,,,,Matches,27d7453c
197,Jordan Henderson,eng ENG,MF,Liverpool,27,1990,24.1,,33,,,,,,,,,,,32,,,,Matches,935e6b8f
198,Jeff Hendrick,ie IRL,MF,Burnley,25,1992,25.9,,11,,,,,,,,,,,12,,,,Matches,989d5705
199,Wayne Hennessey,wls WAL,GK,Crystal Palace,30,1987,27.0,,0,,,,,,,,,,,3,,,,Matches,76eca7e2
200,Javier Hernández,mx MEX,FW,West Ham,29,1988,17.2,,6,,,,,,,,,,,7,,,,Matches,189cee7b
201,Ander Herrera,es ESP,MF,Manchester Utd,27,1989,14.1,,31,,,,,,,,,,,39,,,,Matches,436a9dd0
202,Son Heung-min,kr KOR,MFFW,Tottenham,25,1992,25.6,,12,,,,,,,,,,,12,,,,Matches,92e7e919
203,Wesley Hoedt,nl NED,DF,Southampton,23,1994,28.0,,52,,,,,,,,,,,42,,,,Matches,875898c7
204,Jonathan Hogg,eng ENG,MF,Huddersfield,28,1988,26.6,,63,,,,,,,,,,,68,,,,Matches,9306d5ea
205,Rob Holding,eng ENG,DF,Arsenal,21,1995,9.1,,14,,,,,,,,,,,22,,,,Matches,d79a8c87
206,José Holebas,gr GRE,DFMF,Watford,33,1984,26.5,,32,,,,,,,,,,,36,,,,Matches,12aa7661
207,Mason Holgate,jm JAM,DFMF,Everton,20,1996,13.2,,17,,,,,,,,,,,24,,,,Matches,d0042ab9
208,Callum Hudson-Odoi,eng ENG,FWMF,Chelsea,16,2000,0.3,,0,,,,,,,,,,,0,,,,Matches,15f3ec41
209,Will Hughes,eng ENG,MF,Watford,22,1995,11.0,,19,,,,,,,,,,,15,,,,Matches,a0666d3e
210,Jordan Hugill,eng ENG,FW,West Ham,25,1992,0.3,,0,,,,,,,,,,,0,,,,Matches,a36d4785
211,Uwe Hünemeier,de GER,DF,Brighton,31,1986,0.2,,0,,,,,,,,,,,0,,,,Matches,f42456eb
212,Emerson Hyndman,us USA,MF,Bournemouth,21,1996,0.6,,0,,,,,,,,,,,2,,,,Matches,3be1a627
213,Pierre Højbjerg,dk DEN,MF,Southampton,21,1995,18.6,,30,,,,,,,,,,,39,,,,Matches,8b04d6c1
214,Jordon Ibe,eng ENG,MF,Bournemouth,21,1995,22.2,,13,,,,,,,,,,,10,,,,Matches,9f736ed2
215,Vicente Iborra,es ESP,MF,Leicester City,29,1988,15.7,,19,,,,,,,,,,,20,,,,Matches,ad1ffcfd
216,Zlatan Ibrahimović,se SWE,MF,Manchester Utd,35,1981,1.2,,1,,,,,,,,,,,0,,,,Matches,4cde5509
217,Kelechi Iheanacho,ng NGA,MFFW,Leicester City,20,1996,9.2,,8,,,,,,,,,,,4,,,,Matches,c92e1a31
