,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Patrick van Aanholt,nl NED,DFMF,Crystal Palace,26,1990,24.3,,33,,,,,,,,,,,54,,,,Matches,5f09991f
2,Rolando Aarons,eng ENG,MF,Newcastle,21,1995,1.5,,4,,,,,,,,,,,1,,,,Matches,c5942695
3,Tammy Abraham,eng ENG,FW,Swansea City,19,1997,19.2,,9,,,,,,,,,,,1,,,,Matches,f586779e
4,Charlie Adam,sct SCO,MF,Stoke City,31,1985,4.6,,5,,,,,,,,,,,8,,,,Matches,aff418dc
5,Adrián,es ESP,GK,West Ham,30,1987,19.0,,0,,,,,,,,,,,1,,,,Matches,f76e6b4e
6,Ibrahim Afellay,nl NED,MF,Stoke City,31,1986,1.8,,3,,,,,,,,,,,1,,,,Matches,9a8c6673
7,Benik Afobe,cd COD,FW,Bournemouth,24,1993,6.8,,4,,,,,,,,,,,1,,,,Matches,b63f4077
8,Sergio Agüero,ar ARG,FW,Manchester City,29,1988,21.8,,7,,,,,,,,,,,8,,,,Matches,4d034881
9,Nathan Aké,nl NED,DF,Bournemouth,22,1995,37.3,,31,,,,,,,,,,,52,,,,Matches,eaeca114
10,Marc Albrighton,eng ENG,MF,Leicester City,27,1989,28.2,,35,,,,,,,,,,,35,,,,Matches,b827d5b3
11,Toby Alderweireld,be BEL,DF,Tottenham,28,1989,13.1,,13,,,,,,,,,,,4,,,,Matches,f7d50789
12,Trent Alexander-Arnold,eng ENG,DFMF,Liverpool,18,1998,17.5,,26,,,,,,,,,,,30,,,,Matches,cd1acf9d
13,Joe Allen,wls WAL,MF,Stoke City,27,1990,34.9,,66,,,,,,,,,,,62,,,,Matches,9feb8f24
14,Dele Alli,eng ENG,MF,Tottenham,21,1996,32.9,,28,,,,,,,,,,,27,,,,Matches,cea4ee8f
15,Marcos Alonso,es ESP,MF,Chelsea,26,1990,31.7,,34,,,,,,,,,,,51,,,,Matches,f4290206
16,Daniel Amartey,gh GHA,DF,Leicester City,22,1994,5.4,,3,,,,,,,,,,,4,,,,Matches,1a4ef233
17,Ethan Ampadu,wls WAL,DFMF,Chelsea,16,2000,0.1,,1,,,,,,,,,,,0,,,,Matches,10b9fa99
18,Nordin Amrabat,ma MAR,FW,Watford,30,1987,2.2,,4,,,,,,,,,,,0,,,,Matches,7c2a398c
19,Michail Antonio,jm JAM,MFFW,West Ham,27,1990,15.0,,9,,,,,,,,,,,13,,,,Matches,ac05f970
20,Scott Arfield,ca CAN,MF,Burnley,28,1988,14.8,,26,,,,,,,,,,,15,,,,Matches,b1313ec4
21,Marko Arnautović,at AUT,FWMF,West Ham,28,1989,25.7,,18,,,,,,,,,,,16,,,,Matches,00459419
22,Harry Arter,ie IRL,MF,Bournemouth,27,1989,10.7,,17,,,,,,,,,,,10,,,,Matches,2f4c5a52
23,Christian Atsu,gh GHA,MF,Newcastle,25,1992,19.8,,18,,,,,,,,,,,11,,,,Matches,8816329f
24,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,28,1989,11.7,,4,,,,,,,,,,,5,,,,Matches,d5dd5f1f
25,Serge Aurier,ci CIV,DFMF,Tottenham,24,1992,15.9,,29,,,,,,,,,,,32,,,,Matches,5c2b4f07
26,Charlie Austin,eng ENG,FW,Southampton,28,1989,11.5,,7,,,,,,,,,,,2,,,,Matches,8d228291
27,André Ayew,gh GHA,FWMF,Swansea City,27,1989,10.6,,11,,,,,,,,,,,6,,,,Matches,5dbefa9d
28,André Ayew,gh GHA,MFFW,West Ham,27,1989,9.9,,14,,,,,,,,,,,5,,,,Matches,5dbefa9d
29,Jordan Ayew,gh GHA,FWMF,Swansea City,25,1991,31.7,,60,,,,,,,,,,,26,,,,Matches,da052c14
30,César Azpilicueta,es ESP,DF,Chelsea,27,1989,37.0,,63,,,,,,,,,,,54,,,,Matches,53cad200
31,Eric Bailly,ci CIV,DF,Manchester Utd,23,1994,11.1,,9,,,,,,,,,,,23,,,,Matches,a1232f4e
32,Leighton Baines,eng ENG,DFMF,Everton,32,1984,21.2,,13,,,,,,,,,,,28,,,,Matches,b18095b6
33,Tiemoué Bakayoko,fr FRA,MF,Chelsea,22,1994,23.6,,43,,,,,,,,,,,38,,,,Matches,59bf127b
34,Sam Baldock,eng ENG,FWMF,Brighton,28,1989,0.4,,0,,,,,,,,,,,0,,,,Matches,9d597f08
35,Beni Baningime,,MF,Everton,18,1998,2.2,,2,,,,,,,,,,,3,,,,Matches,ca9178af
36,Phil Bardsley,sct SCO,DF,Burnley,32,1985,12.5,,18,,,,,,,,,,,23,,,,Matches,1ae30132
37,Ross Barkley,eng ENG,MF,Chelsea,23,1993,1.4,,0,,,,,,,,,,,0,,,,Matches,3a24769f
38,Ashley Barnes,eng ENG,FW,Burnley,27,1989,24.1,,14,,,,,,,,,,,2,,,,Matches,2691c772
39,Harvey Barnes,eng ENG,FWMF,Leicester City,19,1997,0.1,,0,,,,,,,,,,,0,,,,Matches,3ea50f67
40,Gareth Barry,eng ENG,MF,West Brom,36,1981,21.4,,22,,,,,,,,,,,20,,,,Matches,7dbbe367
41,Kyle Bartley,eng ENG,DF,Swansea City,26,1991,2.6,,2,,,,,,,,,,,3,,,,Matches,18e96f64
