,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Max Aarons,eng ENG,DF,Bournemouth,23,2000,13.7,,19,,,,,,,,,,,8,,,,Matches,774cf58b
2,Joshua Acheampong,eng ENG,DF,Chelsea,17,2006,0.1,,0,,,,,,,,,,,0,,,,Matches,b7e62e1d
3,Tyler Adams,us USA,MF,Bournemouth,24,1999,1.3,,3,,,,,,,,,,,4,,,,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25,1997,18.0,,12,,,,,,,,,,,24,,,,Matches,c81d773d
5,Elijah Adebayo,eng ENG,FW,Luton Town,25,1998,15.8,,1,,,,,,,,,,,4,,,,Matches,0480ebc7
6,Simon Adingra,ci CIV,MF,Brighton,21,2002,24.7,,20,,,,,,,,,,,21,,,,Matches,4dcec659
7,Nayef Aguerd,ma MAR,DF,West Ham,27,1996,20.6,,14,,,,,,,,,,,16,,,,Matches,288e1e13
8,Brandon Aguilera,cr CRC,MF,Nottingham,20,2003,0.1,,0,,,,,,,,,,,0,,,,Matches,938fa024
9,Naouirou Ahamada,fr FRA,MF,Crystal Palace,21,2002,3.9,,9,,,,,,,,,,,2,,,,Matches,a6c58494
10,Anel Ahmedhodžić,ba BIH,DF,Sheffield United,24,1999,29.4,,35,,,,,,,,,,,33,,,,Matches,eab957a3
11,Ola Aina,ng NGA,DFMF,Nottingham,26,1996,18.8,,29,,,,,,,,,,,17,,,,Matches,246d153b
12,Rayan Aït-Nouri,dz ALG,MFDF,Wolves,22,2001,25.9,,45,,,,,,,,,,,16,,,,Matches,9b398aea
13,Kristoffer Ajer,no NOR,DF,Brentford,25,1998,20.4,,23,,,,,,,,,,,21,,,,Matches,a8c0acb7
14,Manuel Akanji,ch SUI,DFMF,Manchester City,28,1995,27.9,,28,,,,,,,,,,,22,,,,Matches,89ac64a6
15,Nathan Aké,nl NED,DF,Manchester City,28,1995,22.7,,16,,,,,,,,,,,15,,,,Matches,eaeca114
16,Thiago Alcántara,es ESP,MF,Liverpool,32,1991,0.1,,0,,,,,,,,,,,0,,,,Matches,77e84962
17,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24,1998,23.9,,27,,,,,,,,,,,29,,,,Matches,cd1acf9d
18,Alisson,br BRA,GK,Liverpool,30,1992,28.0,,0,,,,,,,,,,,0,,,,Matches,7a2e46a8
