,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
19,Miguel Almirón,py PAR,FW,Newcastle,29,1994,21.5,,24,,,,,,,,,,,10,,,,Matches,862a1c15
20,Edson Álvarez,mx MEX,MF,West Ham,25,1997,26.4,,40,,,,,,,,,,,43,,,,Matches,8b3ab7ad
21,Julián Álvarez,ar ARG,MFFW,Manchester City,23,2000,29.4,,13,,,,,,,,,,,2,,,,Matches,15ab5a2b
22,Zeki Amdouni,ch SUI,FW,Burnley,22,2000,21.7,,19,,,,,,,,,,,10,,,,Matches,2ee5b0c9
23,Sofyan Amrabat,ma MAR,MFDF,Manchester Utd,26,1996,10.4,,15,,,,,,,,,,,8,,,,Matches,5a2cb25d
24,Joachim Andersen,dk DEN,DF,Crystal Palace,27,1996,37.9,,36,,,,,,,,,,,42,,,,Matches,e34fc66d
25,Elliot Anderson,eng ENG,MFFW,Newcastle,20,2002,11.4,,18,,,,,,,,,,,9,,,,Matches,de31038e
26,Jaidon Anthony,eng ENG,MF,Bournemouth,23,1999,1.7,,1,,,,,,,,,,,0,,,,Matches,e4238fb1
27,Michail Antonio,jm JAM,FW,West Ham,33,1990,18.8,,8,,,,,,,,,,,2,,,,Matches,ac05f970
28,Antony,br BRA,MF,Manchester Utd,23,2000,14.7,,22,,,,,,,,,,,11,,,,Matches,99127249
29,Oliver Arblaster,eng ENG,MF,Sheffield United,19,2004,10.5,,17,,,,,,,,,,,15,,,,Matches,afe1a491
30,Cameron Archer,eng ENG,FWMF,Sheffield United,22,2001,20.4,,12,,,,,,,,,,,1,,,,Matches,05e8ca6d
31,Cameron Archer,eng ENG,FWMF,Aston Villa,22,2001,0.1,,0,,,,,,,,,,,0,,,,Matches,05e8ca6d
32,Alphonse Areola,fr FRA,GK,West Ham,30,1993,30.0,,1,,,,,,,,,,,1,,,,Matches,2f965a72
33,Lorenz Assignon,tg TOG,DF,Burnley,23,2000,13.7,,17,,,,,,,,,,,17,,,,Matches,b026bbf6
34,Serge Aurier,ci CIV,DFMF,Nottingham,30,1992,9.3,,14,,,,,,,,,,,8,,,,Matches,5c2b4f07
35,Taiwo Awoniyi,ng NGA,FW,Nottingham,25,1997,11.6,,6,,,,,,,,,,,1,,,,Matches,e5478b87
36,Jordan Ayew,gh GHA,MFFW,Crystal Palace,31,1991,28.3,,37,,,,,,,,,,,17,,,,Matches,da052c14
37,Benoît Badiashile,fr FRA,DF,Chelsea,22,2001,14.9,,15,,,,,,,,,,,18,,,,Matches,06df8256
38,Leon Bailey,jm JAM,MF,Aston Villa,25,1997,23.0,,8,,,,,,,,,,,9,,,,Matches,3a233281
39,Stefan Bajcetic,es ESP,MF,Liverpool,18,2004,0.3,,1,,,,,,,,,,,0,,,,Matches,32e8417f
40,George Baldock,gr GRE,DFMF,Sheffield United,30,1993,10.8,,9,,,,,,,,,,,10,,,,Matches,394854c4
41,Carlos Baleba,cm CMR,MF,Brighton,19,2004,14.7,,21,,,,,,,,,,,18,,,,Matches,a1390d2f
42,Fodé Ballo-Touré,sn SEN,DFMF,Fulham,26,1997,0.8,,2,,,,,,,,,,,3,,,,Matches,f449640d
43,Shandon Baptiste,gd GRN,MF,Brentford,25,1998,2.5,,3,,,,,,,,,,,3,,,,Matches,2886c9b5
44,Valentín Barco,ar ARG,DF,Brighton,19,2004,3.4,,5,,,,,,,,,,,4,,,,Matches,b9f282ec
45,Ross Barkley,eng ENG,MF,Luton Town,29,1993,29.1,,20,,,,,,,,,,,25,,,,Matches,3a24769f
46,Harvey Barnes,eng ENG,FWMF,Newcastle,25,1997,8.9,,1,,,,,,,,,,,3,,,,Matches,3ea50f67
47,Chris Basham,eng ENG,DFMF,Sheffield United,35,1988,3.6,,2,,,,,,,,,,,4,,,,Matches,1aa84968
48,Calvin Bassey,ng NGA,DF,Fulham,23,1999,25.6,,29,,,,,,,,,,,27,,,,Matches,a36524bf
49,Owen Beck,wls WAL,DFMF,Liverpool,20,2002,0.1,,1,,,,,,,,,,,0,,,,Matches,a011a1e9
50,Donny van de Beek,nl NED,MF,Manchester Utd,26,1997,0.0,,0,,,,,,,,,,,0,,,,Matches,50dc94ce
51,Amari'i Bell,jm JAM,DF,Luton Town,29,1994,19.1,,31,,,,,,,,,,,26,,,,Matches,399e9474
52,Jean-Ricner Bellegarde,ht HAI,MFFW,Wolves,25,1998,10.6,,9,,,,,,,,,,,8,,,,Matches,10f0fdd3
53,Anis Ben Slimane,tn TUN,MF,Sheffield United,22,2001,4.7,,6,,,,,,,,,,,5,,,,Matches,9ade9ce1
54,Saïd Benrahma,dz ALG,MF,West Ham,27,1995,6.9,,4,,,,,,,,,,,5,,,,Matches,5a04fd92
55,Rodrigo Bentancur,uy URU,MF,Tottenham,26,1997,11.2,,16,,,,,,,,,,,16,,,,Matches,3b8674e6
56,Daniel Bentley,eng ENG,GK,Wolves,30,1993,4.3,,0,,,,,,,,,,,0,,,,Matches,68db6358
57,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,32,1990,13.2,,4,,,,,,,,,,,15,,,,Matches,f72293fc
58,Sander Berge,no NOR,MF,Burnley,25,1998,33.4,,47,,,,,,,,,,,24,,,,Matches,d0b6129f
59,Luke Berry,eng ENG,MF,Luton Town,31,1992,3.6,,2,,,,,,,,,,,0,,,,Matches,2aaadf33
60,Beto,gw GNB,FW,Everton,25,1998,10.6,,6,,,,,,,,,,,1,,,,Matches,ed5c0319
61,Jordan Beyer,de GER,DF,Burnley,23,2000,13.7,,19,,,,,,,,,,,17,,,,Matches,9af1f9ff
62,Philip Billing,dk DEN,MF,Bournemouth,27,1996,15.5,,19,,,,,,,,,,,18,,,,Matches,d328a254
63,Yves Bissouma,ml MLI,MF,Tottenham,26,1996,23.0,,51,,,,,,,,,,,34,,,,Matches,6c203af0
64,Benicio Boaitey,eng ENG,FW,Brighton,19,2004,0.4,,0,,,,,,,,,,,0,,,,Matches,4c5835e6
65,Oscar Bobb,no NOR,MF,Manchester City,20,2003,3.4,,3,,,,,,,,,,,5,,,,Matches,eed2427e
66,Jayden Bogle,eng ENG,MFDF,Sheffield United,23,2000,31.0,,37,,,,,,,,,,,32,,,,Matches,ae5019e6
67,Willy Boly,ci CIV,DF,Nottingham,32,1991,16.0,,30,,,,,,,,,,,24,,,,Matches,a4ac4b8f
68,Sven Botman,nl NED,DF,Newcastle,23,2000,15.3,,13,,,,,,,,,,,9,,,,Matches,ccce7025
69,Jarrod Bowen,eng ENG,MFFW,West Ham,26,1996,33.5,,29,,,,,,,,,,,19,,,,Matches,79c84d1c
70,Conor Bradley,nir NIR,DF,Liverpool,20,2003,8.4,,25,,,,,,,,,,,10,,,,Matches,bbd67769
71,Jarrad Branthwaite,eng ENG,DF,Everton,21,2002,34.6,,33,,,,,,,,,,,48,,,,Matches,c1949191
72,Ben Brereton Díaz,cl CHI,FWMF,Sheffield United,24,1999,12.3,,4,,,,,,,,,,,3,,,,Matches,57827369
73,Rhian Brewster,eng ENG,FW,Sheffield United,23,2000,3.8,,1,,,,,,,,,,,1,,,,Matches,30e81a88
74,Armando Broja,al ALB,FW,Chelsea,21,2001,5.0,,0,,,,,,,,,,,0,,,,Matches,97220da2
75,Armando Broja,al ALB,FW,Fulham,21,2001,1.0,,0,,,,,,,,,,,0,,,,Matches,97220da2
76,Andre Brooks,jm JAM,MF,Sheffield United,19,2003,10.4,,10,,,,,,,,,,,15,,,,Matches,5f346071
77,David Brooks,wls WAL,MF,Bournemouth,26,1997,3.1,,4,,,,,,,,,,,2,,,,Matches,dc4cae05
78,Jacob Brown,sct SCO,MFFW,Luton Town,25,1998,11.3,,12,,,,,,,,,,,9,,,,Matches,ca18c8f1
79,Josh Brownhill,eng ENG,MF,Burnley,27,1995,25.0,,35,,,,,,,,,,,33,,,,Matches,47369df8
80,Jacob Bruun Larsen,dk DEN,MF,Burnley,24,1998,13.9,,4,,,,,,,,,,,8,,,,Matches,4e204552
81,Hugo Bueno,es ESP,MFDF,Wolves,20,2002,8.2,,14,,,,,,,,,,,5,,,,Matches,bfc3b3a0
82,Santiago Bueno,uy URU,DF,Wolves,24,1998,9.1,,7,,,,,,,,,,,6,,,,Matches,edc98fac
83,Facundo Buonanotte,ar ARG,MFFW,Brighton,18,2004,15.2,,22,,,,,,,,,,,7,,,,Matches,468a7a91
84,Reece Burke,eng ENG,DF,Luton Town,26,1996,18.4,,24,,,,,,,,,,,21,,,,Matches,a681b7b7
85,Dan Burn,eng ENG,DF,Newcastle,31,1992,30.3,,34,,,,,,,,,,,35,,,,Matches,b2d31e83
86,Mason Burstow,eng ENG,FW,Chelsea,19,2003,0.1,,0,,,,,,,,,,,0,,,,Matches,dab84ad2
87,Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,31.8,,46,,,,,,,,,,,34,,,,Matches,16264a81
88,Tom Cairney,sct SCO,MF,Fulham,32,1991,16.5,,17,,,,,,,,,,,12,,,,Matches,a8748947
89,Dominic Calvert-Lewin,eng ENG,FW,Everton,26,1997,24.1,,6,,,,,,,,,,,4,,,,Matches,59e6e5bf
90,Tom Cannon,ie IRL,FW,Everton,20,2002,0.0,,0,,,,,,,,,,,0,,,,Matches,4506aec5
91,Diego Carlos,br BRA,DF,Aston Villa,30,1993,20.2,,16,,,,,,,,,,,12,,,,Matches,b4a014b1
92,Cesare Casadei,it ITA,MF,Chelsea,20,2003,0.9,,3,,,,,,,,,,,0,,,,Matches,fb920f3a
93,Casemiro,br BRA,MFDF,Manchester Utd,31,1992,22.0,,54,,,,,,,,,,,18,,,,Matches,4d224fe8
94,Kaelan Casey,eng ENG,DF,West Ham,18,2004,0.0,,0,,,,,,,,,,,0,,,,Matches,cd4b2c5f
95,Matty Cash,pl POL,DFMF,Aston Villa,25,1997,23.8,,30,,,,,,,,,,,18,,,,Matches,2389cdc2
96,Timothy Castagne,be BEL,DF,Fulham,27,1995,29.3,,25,,,,,,,,,,,37,,,,Matches,197640fd
97,Jonny Castro,es ESP,DFMF,Wolves,29,1994,0.1,,0,,,,,,,,,,,0,,,,Matches,e28868f3
98,Trevoh Chalobah,eng ENG,DF,Chelsea,24,1999,10.6,,12,,,,,,,,,,,8,,,,Matches,5515376c
99,Calum Chambers,eng ENG,MF,Aston Villa,28,1995,1.7,,0,,,,,,,,,,,2,,,,Matches,dc6f5bdd
100,Youssef Chermiti,pt POR,FW,Everton,19,2004,2.3,,2,,,,,,,,,,,1,,,,Matches,890f108d
101,Ben Chilwell,eng ENG,MFDF,Chelsea,26,1996,8.4,,10,,,,,,,,,,,4,,,,Matches,d2424d1b
102,Tawanda Chirewa,zw ZIM,FW,Wolves,19,2003,1.6,,3,,,,,,,,,,,1,,,,Matches,34721c11
103,Leon Chiwome,eng ENG,FW,Wolves,17,2006,1.9,,1,,,,,,,,,,,0,,,,Matches,a2852b4f
104,Tahith Chong,cw CUW,MFFW,Luton Town,23,1999,22.0,,20,,,,,,,,,,,7,,,,Matches,2696b6a9
105,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,32.3,,43,,,,,,,,,,,51,,,,Matches,26ce2263
106,Carney Chukwuemeka,at AUT,MF,Chelsea,19,2003,2.5,,4,,,,,,,,,,,0,,,,Matches,b2f9c73e
107,Bobby Clark,eng ENG,MF,Liverpool,18,2005,1.0,,1,,,,,,,,,,,1,,,,Matches,73341ace
108,Jordan Clark,eng ENG,MF,Luton Town,29,1993,14.5,,16,,,,,,,,,,,10,,,,Matches,7c5fa6cf
109,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32,1991,14.9,,15,,,,,,,,,,,9,,,,Matches,0442183b
110,Séamus Coleman,ie IRL,DF,Everton,34,1988,7.4,,14,,,,,,,,,,,7,,,,Matches,0420d84f
111,Nathan Collins,ie IRL,DF,Brentford,22,2001,29.5,,20,,,,,,,,,,,43,,,,Matches,a8c19eb8
112,Levi Colwill,eng ENG,DF,Chelsea,20,2003,20.0,,33,,,,,,,,,,,25,,,,Matches,700783e7
113,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,31.0,,42,,,,,,,,,,,67,,,,Matches,2afc7272
114,Jack Cork,eng ENG,DFMF,Burnley,34,1989,0.3,,0,,,,,,,,,,,1,,,,Matches,74e12f1e
115,Maxwel Cornet,ci CIV,MF,West Ham,26,1996,1.2,,2,,,,,,,,,,,2,,,,Matches,beb391dd
116,Vladimír Coufal,cz CZE,DF,West Ham,30,1992,34.8,,42,,,,,,,,,,,38,,,,Matches,fdf3cb77
117,Philippe Coutinho,br BRA,FWMF,Aston Villa,31,1992,0.3,,0,,,,,,,,,,,0,,,,Matches,0ef89a37
118,Aaron Cresswell,eng ENG,DF,West Ham,33,1989,4.8,,2,,,,,,,,,,,4,,,,Matches,4f974391
119,Marc Cucurella,es ESP,DF,Chelsea,25,1998,19.8,,39,,,,,,,,,,,21,,,,Matches,1daec722
120,Josh Cullen,ie IRL,MF,Burnley,27,1996,22.9,,26,,,,,,,,,,,14,,,,Matches,f6d7d690
121,Matheus Cunha,br BRA,FWMF,Wolves,24,1999,27.1,,15,,,,,,,,,,,11,,,,Matches,dc62b55d
122,Sam Curtis,ie IRL,DF,Sheffield United,17,2005,0.3,,0,,,,,,,,,,,0,,,,Matches,7d42865e
123,Mahmoud Dahoud,de GER,MF,Brighton,27,1996,5.0,,4,,,,,,,,,,,1,,,,Matches,db4ed67b
124,Ameen Al-Dakhil,be BEL,DF,Burnley,21,2002,11.7,,5,,,,,,,,,,,11,,,,Matches,93e08bce
125,Diogo Dalot,pt POR,DF,Manchester Utd,24,1999,35.3,,50,,,,,,,,,,,38,,,,Matches,d9565625
126,Mikkel Damsgaard,dk DEN,MF,Brentford,23,2000,9.4,,18,,,,,,,,,,,12,,,,Matches,215f3907
127,Arnaut Danjuma,nl NED,MFFW,Everton,26,1997,6.6,,4,,,,,,,,,,,3,,,,Matches,f08490a6
128,Jayden Danns,eng ENG,FW,Liverpool,17,2006,0.1,,0,,,,,,,,,,,0,,,,Matches,003cf4d1
129,Josh Dasilva,eng ENG,MF,Brentford,24,1998,0.3,,1,,,,,,,,,,,0,,,,Matches,60344e4f
130,David Datro Fofana,ci CIV,FW,Burnley,20,2002,9.8,,5,,,,,,,,,,,1,,,,Matches,e82900ef
131,Ben Davies,wls WAL,DF,Tottenham,30,1993,12.1,,16,,,,,,,,,,,10,,,,Matches,44781702
132,Tom Davies,eng ENG,MF,Sheffield United,25,1998,2.5,,5,,,,,,,,,,,3,,,,Matches,9228b07c
133,Craig Dawson,eng ENG,DF,Wolves,33,1990,24.5,,19,,,,,,,,,,,16,,,,Matches,3e9e06cb
134,Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,13.6,,9,,,,,,,,,,,3,,,,Matches,e46012d4
135,Bobby De Cordova-Reid,jm JAM,MFFW,Fulham,30,1993,15.8,,14,,,,,,,,,,,5,,,,Matches,0f7533cd
136,Hannes Delcroix,ht HAI,DF,Burnley,24,1999,6.5,,6,,,,,,,,,,,12,,,,Matches,b737f944
137,Leander Dendoncker,be BEL,MF,Aston Villa,28,1995,1.3,,4,,,,,,,,,,,2,,,,Matches,5a7301ae
138,Moussa Diaby,fr FRA,MFFW,Aston Villa,24,1999,24.2,,5,,,,,,,,,,,9,,,,Matches,aeed5c06
139,Amad Diallo,ci CIV,MF,Manchester Utd,21,2002,4.3,,4,,,,,,,,,,,1,,,,Matches,9dc96f10
140,Amadou Diallo,eng ENG,FW,Newcastle,20,2003,0.0,,0,,,,,,,,,,,0,,,,Matches,e31708b2
141,Rúben Dias,pt POR,DFMF,Manchester City,26,1997,28.4,,21,,,,,,,,,,,30,,,,Matches,31c69ef1
142,Luis Díaz,co COL,FW,Liverpool,26,1997,29.2,,26,,,,,,,,,,,3,,,,Matches,4a1a9578
143,Eric Dier,eng ENG,DF,Tottenham,29,1994,2.2,,1,,,,,,,,,,,1,,,,Matches,ac861941
144,Lucas Digne,fr FRA,DF,Aston Villa,30,1993,26.8,,21,,,,,,,,,,,25,,,,Matches,1b84dbe1
145,Issa Diop,ma MAR,DF,Fulham,26,1997,15.8,,14,,,,,,,,,,,17,,,,Matches,a712ca2b
146,Axel Disasi,fr FRA,DF,Chelsea,25,1998,28.7,,19,,,,,,,,,,,17,,,,Matches,ad82197c
147,Lewis Dobbin,eng ENG,MF,Everton,20,2003,2.6,,7,,,,,,,,,,,1,,,,Matches,e814e1cf
148,Matt Doherty,ie IRL,MFDF,Wolves,31,1992,12.8,,18,,,,,,,,,,,7,,,,Matches,d557d734
149,Jeremy Doku,be BEL,MFFW,Manchester City,21,2002,17.7,,22,,,,,,,,,,,9,,,,Matches,fffea3e5
150,Nicolás Domínguez,ar ARG,MF,Nottingham,25,1998,16.6,,35,,,,,,,,,,,18,,,,Matches,20b3a502
151,Jamie Donley,nir NIR,MF,Tottenham,18,2005,0.0,,0,,,,,,,,,,,0,,,,Matches,5e4d9b48
152,Abdoulaye Doucouré,ml MLI,MF,Everton,30,1993,29.2,,28,,,,,,,,,,,16,,,,Matches,02b29014
153,Cheick Doucouré,ml MLI,MF,Crystal Palace,23,2000,10.2,,16,,,,,,,,,,,19,,,,Matches,ce4f40c7
154,Alfie Doughty,eng ENG,MFDF,Luton Town,23,1999,32.5,,37,,,,,,,,,,,30,,,,Matches,bf33b257
155,Tommy Doyle,eng ENG,MF,Wolves,21,2001,13.6,,13,,,,,,,,,,,13,,,,Matches,5526deb1
156,Radu Drăgușin,ro ROU,DF,Tottenham,21,2002,4.8,,3,,,,,,,,,,,8,,,,Matches,620922ed
157,Martin Dúbravka,sk SVK,GK,Newcastle,34,1989,22.1,,0,,,,,,,,,,,0,,,,Matches,3a949a25
158,Paul Dummett,wls WAL,DF,Newcastle,31,1991,0.2,,0,,,,,,,,,,,0,,,,Matches,3fe6bd8c
159,Lewis Dunk,eng ENG,DF,Brighton,31,1991,31.9,,16,,,,,,,,,,,31,,,,Matches,282f75f3
160,Jáder Durán,co COL,FW,Aston Villa,19,2003,5.3,,5,,,,,,,,,,,1,,,,Matches,414184f7
161,George Earthy,eng ENG,MF,West Ham,18,2004,0.4,,0,,,,,,,,,,,1,,,,Matches,123d2733
162,Odsonne Édouard,fr FRA,FWMF,Crystal Palace,25,1998,17.3,,12,,,,,,,,,,,5,,,,Matches,0562b7f1
163,John Egan,ie IRL,DF,Sheffield United,30,1992,5.4,,3,,,,,,,,,,,13,,,,Matches,debe38a0
164,Hjalmar Ekdal,se SWE,DF,Burnley,24,1998,4.9,,2,,,,,,,,,,,6,,,,Matches,3d554589
165,Anthony Elanga,se SWE,MFFW,Nottingham,21,2002,27.0,,19,,,,,,,,,,,8,,,,Matches,2fba6108
166,Harvey Elliott,eng ENG,MFFW,Liverpool,20,2003,15.0,,17,,,,,,,,,,,5,,,,Matches,b9e1436c
167,Mohamed Elneny,eg EGY,MF,Arsenal,31,1992,0.3,,0,,,,,,,,,,,1,,,,Matches,47a34c4f
168,Emerson,br BRA,DF,Tottenham,24,1999,12.9,,24,,,,,,,,,,,18,,,,Matches,df8b52a5
169,Julio Enciso,py PAR,MF,Brighton,19,2004,5.3,,2,,,,,,,,,,,0,,,,Matches,9cfbad36
170,Wataru Endo,jp JPN,MF,Liverpool,30,1993,19.1,,28,,,,,,,,,,,19,,,,Matches,c149016b
171,Christian Eriksen,dk DEN,MF,Manchester Utd,31,1992,12.7,,14,,,,,,,,,,,4,,,,Matches,980522ec
172,Maxime Estève,fr FRA,DF,Burnley,21,2002,14.5,,11,,,,,,,,,,,28,,,,Matches,1a066e69
173,Pervis Estupiñán,ec ECU,DFMF,Brighton,25,1998,13.8,,13,,,,,,,,,,,20,,,,Matches,d38fdf53
174,Jonny Evans,nir NIR,DF,Manchester Utd,35,1988,15.5,,15,,,,,,,,,,,23,,,,Matches,f8fcd2a5
175,Eberechi Eze,eng ENG,MFFW,Crystal Palace,25,1998,22.8,,17,,,,,,,,,,,11,,,,Matches,ae4fc6a4
176,Łukasz Fabiański,pl POL,GK,West Ham,38,1985,8.0,,0,,,,,,,,,,,1,,,,Matches,9328b835
177,Romain Faivre,fr FRA,MF,Bournemouth,25,1998,0.5,,1,,,,,,,,,,,0,,,,Matches,745ca0a3
178,Ansu Fati,es ESP,MFFW,Brighton,20,2002,5.8,,3,,,,,,,,,,,2,,,,Matches,0ba976e4
179,Felipe,br BRA,DF,Nottingham,34,1989,4.2,,9,,,,,,,,,,,4,,,,Matches,51a3c4c8
180,Evan Ferguson,ie IRL,FW,Brighton,18,2004,15.2,,7,,,,,,,,,,,2,,,,Matches,4596da74
181,Bruno Fernandes,pt POR,MF,Manchester Utd,28,1994,34.6,,37,,,,,,,,,,,25,,,,Matches,507c7bdf
182,Enzo Fernández,ar ARG,MF,Chelsea,22,2001,24.5,,24,,,,,,,,,,,17,,,,Matches,5ff4ab71
183,John Fleck,sct SCO,MF,Sheffield United,31,1991,1.0,,0,,,,,,,,,,,0,,,,Matches,b63e789d
184,Mark Flekken,nl NED,GK,Brentford,30,1993,36.5,,1,,,,,,,,,,,0,,,,Matches,a92ab7be
185,Phil Foden,eng ENG,MF,Manchester City,23,2000,31.7,,20,,,,,,,,,,,12,,,,Matches,ed1e53f3
186,Wes Foderingham,eng ENG,GK,Sheffield United,32,1991,29.4,,5,,,,,,,,,,,0,,,,Matches,96cf7b61
187,Pablo Fornals,es ESP,MF,West Ham,27,1996,4.7,,6,,,,,,,,,,,6,,,,Matches,82927de4
188,Omari Forson,eng ENG,MF,Manchester Utd,19,2004,0.8,,0,,,,,,,,,,,0,,,,Matches,1b9728b0
189,Lyle Foster,za RSA,FWMF,Burnley,22,2000,21.1,,10,,,,,,,,,,,1,,,,Matches,f84a807c
190,Matheus França,br BRA,MF,Crystal Palace,19,2004,2.6,,3,,,,,,,,,,,1,,,,Matches,077faf72
191,Nathan Fraser,ie IRL,FW,Wolves,18,2005,2.1,,2,,,,,,,,,,,1,,,,Matches,00b77ecf
192,Cody Gakpo,nl NED,FWMF,Liverpool,24,1999,18.3,,18,,,,,,,,,,,11,,,,Matches,1971591f
193,Conor Gallagher,eng ENG,MF,Chelsea,23,2000,34.8,,49,,,,,,,,,,,40,,,,Matches,c2731c10
194,Ben Gannon-Doak,sct SCO,MF,Liverpool,17,2005,0.2,,0,,,,,,,,,,,0,,,,Matches,733f1a7d
195,Alejandro Garnacho,ar ARG,MF,Manchester Utd,19,2004,28.5,,15,,,,,,,,,,,18,,,,Matches,7aa8adfe
196,James Garner,eng ENG,MF,Everton,22,2001,33.4,,42,,,,,,,,,,,46,,,,Matches,4e015693
197,Saman Ghoddos,ir IRN,DFMF,Brentford,29,1993,8.2,,21,,,,,,,,,,,5,,,,Matches,f7b1d4e0
198,Morgan Gibbs-White,eng ENG,MFFW,Nottingham,23,2000,35.1,,24,,,,,,,,,,,18,,,,Matches,32f60ed8
199,Bryan Gil,es ESP,MF,Tottenham,22,2001,2.3,,0,,,,,,,,,,,2,,,,Matches,7b5ab7f2
200,Alfie Gilchrist,eng ENG,DF,Chelsea,19,2003,2.3,,0,,,,,,,,,,,3,,,,Matches,d91f104d
201,Ryan Giles,eng ENG,MFDF,Luton Town,23,2000,5.6,,6,,,,,,,,,,,4,,,,Matches,73b1d65b
202,Billy Gilmour,sct SCO,MF,Brighton,22,2001,23.6,,18,,,,,,,,,,,10,,,,Matches,df10e27c
203,Ben Godfrey,eng ENG,DF,Everton,25,1998,12.4,,21,,,,,,,,,,,16,,,,Matches,9f7c837d
204,André Gomes,pt POR,MF,Everton,30,1993,5.6,,4,,,,,,,,,,,3,,,,Matches,1961b2aa
205,João Gomes,br BRA,MF,Wolves,22,2001,29.4,,75,,,,,,,,,,,18,,,,Matches,8b57ad2c
206,Toti Gomes,pt POR,DF,Wolves,24,1999,30.8,,23,,,,,,,,,,,23,,,,Matches,f0caab96
207,Joe Gomez,eng ENG,DF,Liverpool,26,1997,19.8,,30,,,,,,,,,,,19,,,,Matches,7a11550b
208,Sergio Gómez,es ESP,DFMF,Manchester City,22,2000,0.6,,0,,,,,,,,,,,1,,,,Matches,01e5f06e
209,Enso Gonzalez,py PAR,FW,Wolves,18,2005,0.0,,0,,,,,,,,,,,0,,,,Matches,7e5bebeb
210,Anthony Gordon,eng ENG,FW,Newcastle,22,2001,32.1,,33,,,,,,,,,,,6,,,,Matches,2bd83368
211,Kaide Gordon,eng ENG,FW,Liverpool,18,2004,0.0,,0,,,,,,,,,,,0,,,,Matches,19a9cb70
212,Daniel Gore,eng ENG,MF,Manchester Utd,18,2004,0.0,,1,,,,,,,,,,,1,,,,Matches,861e9b3b
213,Ryan Gravenberch,nl NED,MF,Liverpool,21,2002,12.5,,12,,,,,,,,,,,15,,,,Matches,b8e740fb
214,Ivo Grbić,hr CRO,GK,Sheffield United,27,1996,8.6,,0,,,,,,,,,,,0,,,,Matches,3f034750
215,Jack Grealish,eng ENG,MFFW,Manchester City,27,1995,11.2,,8,,,,,,,,,,,6,,,,Matches,b0b4fd3e
216,Pascal Groß,de GER,MFDF,Brighton,32,1991,34.6,,46,,,,,,,,,,,21,,,,Matches,8aec0537
