,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
173,Dwight Gayle,eng ENG,FW,Newcastle,30,1990,0.4,,0,,,,,,,,,,,1,,,,Matches,e58a03c6
174,Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,0.7,,1,,,,,,,,,,,1,,,,Matches,6bd603db
175,David de Gea,es ESP,GK,Manchester Utd,30,1990,38.0,,0,,,,,,,,,,,0,,,,Matches,7ba6d84e
176,Joe Gelhardt,eng ENG,FW,Leeds United,19,2002,8.3,,3,,,,,,,,,,,0,,,,Matches,01962d0d
177,Anwar El Ghazi,nl NED,MFFW,Aston Villa,26,1995,4.3,,4,,,,,,,,,,,1,,,,Matches,ffa90327
178,Anwar El Ghazi,nl NED,FWMF,Everton,26,1995,0.1,,1,,,,,,,,,,,0,,,,Matches,ffa90327
179,Saman Ghoddos,ir IRN,FWMF,Brentford,27,1993,6.0,,9,,,,,,,,,,,3,,,,Matches,f7b1d4e0
180,Dimitris Giannoulis,gr GRE,DFMF,Norwich City,25,1995,13.0,,21,,,,,,,,,,,19,,,,Matches,112c495e
181,Morgan Gibbs-White,eng ENG,FWMF,Wolves,21,2000,0.1,,0,,,,,,,,,,,0,,,,Matches,32f60ed8
182,Ben Gibson,eng ENG,DF,Norwich City,28,1993,27.7,,17,,,,,,,,,,,28,,,,Matches,bcfb0142
183,Bryan Gil,es ESP,FWMF,Tottenham,20,2001,1.0,,0,,,,,,,,,,,0,,,,Matches,7b5ab7f2
184,Billy Gilmour,sct SCO,MF,Norwich City,20,2001,20.6,,21,,,,,,,,,,,16,,,,Matches,df10e27c
185,Ben Godfrey,eng ENG,DF,Everton,23,1998,22.5,,32,,,,,,,,,,,14,,,,Matches,9f7c837d
186,André Gomes,pt POR,MF,Everton,28,1993,6.9,,4,,,,,,,,,,,1,,,,Matches,1961b2aa
187,Toti Gomes,pt POR,DF,Wolves,22,1999,4.0,,7,,,,,,,,,,,7,,,,Matches,f0caab96
188,Joe Gomez,eng ENG,DF,Liverpool,24,1997,3.7,,6,,,,,,,,,,,6,,,,Matches,7a11550b
189,Charlie Goode,eng ENG,DF,Brentford,25,1995,5.0,,5,,,,,,,,,,,2,,,,Matches,7aee4dd3
190,Anthony Gordon,eng ENG,MFFW,Everton,20,2001,25.4,,30,,,,,,,,,,,20,,,,Matches,2bd83368
191,Kaide Gordon,eng ENG,FW,Liverpool,16,2004,0.1,,0,,,,,,,,,,,0,,,,Matches,19a9cb70
192,Dan Gosling,eng ENG,MF,Watford,31,1990,1.8,,1,,,,,,,,,,,1,,,,Matches,7fec31a0
193,Demarai Gray,jm JAM,MFFW,Everton,25,1996,26.0,,20,,,,,,,,,,,15,,,,Matches,4468ec10
194,Jack Grealish,eng ENG,FWMF,Manchester City,25,1995,21.3,,16,,,,,,,,,,,7,,,,Matches,b0b4fd3e
195,Mason Greenwood,eng ENG,MFFW,Manchester Utd,19,2001,14.1,,8,,,,,,,,,,,1,,,,Matches,58eee997
196,Sam Greenwood,eng ENG,MF,Leeds United,19,2002,2.6,,5,,,,,,,,,,,2,,,,Matches,f3354c07
197,Pascal Groß,de GER,MF,Brighton,30,1991,22.6,,13,,,,,,,,,,,16,,,,Matches,8aec0537
198,Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,29.5,,0,,,,,,,,,,,2,,,,Matches,ab13a5aa
199,Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,35.8,,20,,,,,,,,,,,30,,,,Matches,d0706b27
200,Bruno Guimarães,br BRA,MF,Newcastle,23,1997,11.5,,27,,,,,,,,,,,11,,,,Matches,82518f62
201,İlkay Gündoğan,de GER,MF,Manchester City,30,1990,20.6,,11,,,,,,,,,,,14,,,,Matches,819b3158
202,Angus Gunn,sct SCO,GK,Norwich City,25,1996,9.0,,0,,,,,,,,,,,0,,,,Matches,e082af5b
203,Grant Hanley,sct SCO,DF,Norwich City,29,1991,32.2,,26,,,,,,,,,,,56,,,,Matches,e9254eec
204,Jack Harrison,eng ENG,MF,Leeds United,24,1996,29.3,,38,,,,,,,,,,,21,,,,Matches,aa849a12
205,Kortney Hause,eng ENG,DF,Aston Villa,26,1995,4.4,,3,,,,,,,,,,,6,,,,Matches,bf8fad51
206,Kai Havertz,de GER,FWMF,Chelsea,22,1999,20.1,,9,,,,,,,,,,,5,,,,Matches,fed7cb61
207,Isaac Hayden,jm JAM,MFDF,Newcastle,26,1995,11.1,,14,,,,,,,,,,,13,,,,Matches,c951a6df
208,Hwang Hee-chan,kr KOR,FWMF,Wolves,25,1996,20.2,,12,,,,,,,,,,,13,,,,Matches,169fd162
209,Jordan Henderson,eng ENG,MF,Liverpool,31,1990,28.9,,20,,,,,,,,,,,25,,,,Matches,935e6b8f
210,Jeff Hendrick,ie IRL,MF,Newcastle,29,1992,0.8,,0,,,,,,,,,,,0,,,,Matches,989d5705
211,Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2.0,,0,,,,,,,,,,,1,,,,Matches,76eca7e2
212,Rico Henry,jm JAM,MFDF,Brentford,24,1997,30.8,,19,,,,,,,,,,,27,,,,Matches,8a3c1dc7
213,Son Heung-min,kr KOR,MFFW,Tottenham,29,1992,33.4,,7,,,,,,,,,,,12,,,,Matches,92e7e919
214,Ki-Jana Hoever,nl NED,MF,Wolves,19,2002,3.4,,8,,,,,,,,,,,5,,,,Matches,9a71e978
215,Rob Holding,eng ENG,DF,Arsenal,25,1995,9.4,,9,,,,,,,,,,,11,,,,Matches,d79a8c87
216,Mason Holgate,jm JAM,DF,Everton,24,1996,23.7,,19,,,,,,,,,,,27,,,,Matches,d0042ab9
