,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,,45,,,,,,,,,,,26,,,,Matches,774cf58b
2,Ché Adams,sct SCO,FW,Southampton,25,1996,22.7,,6,,,,,,,,,,,8,,,,Matches,f2bf1b0f
3,Rayan Aït-Nouri,dz ALG,MF,Wolves,20,2001,20.3,,37,,,,,,,,,,,19,,,,Matches,9b398aea
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,,18,,,,,,,,,,,25,,,,Matches,a8c0acb7
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,,9,,,,,,,,,,,7,,,,Matches,eaeca114
6,Marc Albrighton,eng ENG,MFFW,Leicester City,31,1989,12.6,,21,,,,,,,,,,,14,,,,Matches,b827d5b3
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,,26,,,,,,,,,,,27,,,,Matches,77e84962
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,,24,,,,,,,,,,,44,,,,Matches,cd1acf9d
9,Alisson,br BRA,GK,Liverpool,28,1992,36.0,,1,,,,,,,,,,,0,,,,Matches,7a2e46a8
10,Allan,br BRA,MF,Everton,30,1991,24.3,,46,,,,,,,,,,,23,,,,Matches,cc700722
11,Dele Alli,eng ENG,MF,Everton,25,1996,3.8,,2,,,,,,,,,,,6,,,,Matches,cea4ee8f
12,Dele Alli,eng ENG,MF,Tottenham,25,1996,7.3,,8,,,,,,,,,,,6,,,,Matches,cea4ee8f
13,Miguel Almirón,py PAR,MFFW,Newcastle,27,1994,19.1,,29,,,,,,,,,,,20,,,,Matches,862a1c15
14,Marcos Alonso,es ESP,MF,Chelsea,30,1990,24.1,,28,,,,,,,,,,,37,,,,Matches,f4290206
15,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,,5,,,,,,,,,,,11,,,,Matches,ad1f61f3
16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,,14,,,,,,,,,,,22,,,,Matches,1a4ef233
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,,22,,,,,,,,,,,41,,,,Matches,e34fc66d
18,Michail Antonio,jm JAM,FW,West Ham,31,1990,33.0,,17,,,,,,,,,,,4,,,,Matches,ac05f970
19,Cameron Archer,eng ENG,FWMF,Aston Villa,20,2001,0.3,,0,,,,,,,,,,,0,,,,Matches,05e8ca6d
20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,,0,,,,,,,,,,,0,,,,Matches,2f965a72
21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,,3,,,,,,,,,,,3,,,,Matches,68c720b5
22,Stuart Armstrong,sct SCO,MFFW,Southampton,29,1992,16.4,,18,,,,,,,,,,,8,,,,Matches,97333cf5
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4.0,,0,,,,,,,,,,,0,,,,Matches,28d596a0
24,Harrison Ashby,sct SCO,DFMF,West Ham,19,2001,0.1,,0,,,,,,,,,,,1,,,,Matches,b391383a
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,,5,,,,,,,,,,,0,,,,Matches,d5dd5f1f
26,Jordan Ayew,gh GHA,FWMF,Crystal Palace,29,1991,22.4,,30,,,,,,,,,,,16,,,,Matches,da052c14
27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,,45,,,,,,,,,,,26,,,,Matches,420d7c7d
28,César Azpilicueta,es ESP,DFMF,Chelsea,31,1989,23.0,,30,,,,,,,,,,,22,,,,Matches,53cad200
29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12.0,,0,,,,,,,,,,,1,,,,Matches,1c0eea98
30,Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,,11,,,,,,,,,,,2,,,,Matches,3a233281
31,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,,4,,,,,,,,,,,3,,,,Matches,a1232f4e
32,Folarin Balogun,us USA,FW,Arsenal,20,2001,0.8,,1,,,,,,,,,,,0,,,,Matches,31822f8c
33,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,,0,,,,,,,,,,,1,,,,Matches,93feac6e
34,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,,3,,,,,,,,,,,10,,,,Matches,2886c9b5
35,Ross Barkley,eng ENG,MF,Chelsea,27,1993,2.0,,0,,,,,,,,,,,1,,,,Matches,3a24769f
36,Ashley Barnes,eng ENG,FW,Burnley,31,1989,9.0,,2,,,,,,,,,,,2,,,,Matches,2691c772
37,Harvey Barnes,eng ENG,MFFW,Leicester City,23,1997,23.3,,15,,,,,,,,,,,4,,,,Matches,3ea50f67
38,Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,,0,,,,,,,,,,,1,,,,Matches,cd4256d3
39,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,,6,,,,,,,,,,,5,,,,Matches,30db8574
40,Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,,16,,,,,,,,,,,73,,,,Matches,4115ce4e
41,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,,5,,,,,,,,,,,2,,,,Matches,50dc94ce
42,Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,,7,,,,,,,,,,,6,,,,Matches,50dc94ce
43,Asmir Begović,ba BIH,GK,Everton,34,1987,3.0,,0,,,,,,,,,,,0,,,,Matches,7b4de647
44,Saïd Benrahma,dz ALG,MF,West Ham,25,1995,24.1,,17,,,,,,,,,,,8,,,,Matches,5a04fd92
45,Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,,19,,,,,,,,,,,21,,,,Matches,3b8674e6
46,Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,,2,,,,,,,,,,,2,,,,Matches,ab070c55
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,,6,,,,,,,,,,,11,,,,Matches,f72293fc
48,Steven Bergwijn,nl NED,MFFW,Tottenham,23,1997,6.3,,3,,,,,,,,,,,1,,,,Matches,a29b1131
49,Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,,5,,,,,,,,,,,1,,,,Matches,01226327
50,Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,,0,,,,,,,,,,,1,,,,Matches,407db0d5
51,Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,,48,,,,,,,,,,,47,,,,Matches,6c203af0
52,Willy Boly,ci CIV,DF,Wolves,30,1991,10.0,,18,,,,,,,,,,,15,,,,Matches,a4ac4b8f
53,Jarrod Bowen,eng ENG,MF,West Ham,24,1996,33.1,,20,,,,,,,,,,,20,,,,Matches,79c84d1c
54,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,,2,,,,,,,,,,,1,,,,Matches,c1949191
55,Armando Broja,al ALB,FW,Southampton,19,2001,21.9,,7,,,,,,,,,,,3,,,,Matches,97220da2
56,Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,,36,,,,,,,,,,,67,,,,Matches,47369df8
57,Lewis Brunt,eng ENG,DFMF,Leicester City,20,2000,0.3,,0,,,,,,,,,,,0,,,,Matches,a2081c6b
58,Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,21.1,,18,,,,,,,,,,,11,,,,Matches,66b76d44
59,Dan Burn,eng ENG,DF,Newcastle,29,1992,16.0,,11,,,,,,,,,,,18,,,,Matches,b2d31e83
60,Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,,12,,,,,,,,,,,23,,,,Matches,b2d31e83
61,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,,0,,,,,,,,,,,0,,,,Matches,cc70a1d5
62,Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,,15,,,,,,,,,,,21,,,,Matches,1bf811d4
63,Willy Caballero,ar ARG,GK,Southampton,39,1981,2.0,,0,,,,,,,,,,,0,,,,Matches,a179d516
64,Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,,10,,,,,,,,,,,11,,,,Matches,16264a81
65,Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,,8,,,,,,,,,,,3,,,,Matches,59e6e5bf
66,Chem Campbell,wls WAL,FWMF,Wolves,18,2002,0.1,,1,,,,,,,,,,,0,,,,Matches,6f711f67
67,João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,,53,,,,,,,,,,,56,,,,Matches,bd6351cd
68,Sergi Canós,es ESP,MF,Brentford,24,1997,23.1,,27,,,,,,,,,,,21,,,,Matches,1137759d
69,Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,,13,,,,,,,,,,,3,,,,Matches,f63d8a4b
70,Matty Cash,pl POL,DFMF,Aston Villa,23,1997,37.5,,50,,,,,,,,,,,44,,,,Matches,2389cdc2
71,Timothy Castagne,be BEL,DFMF,Leicester City,25,1995,23.6,,33,,,,,,,,,,,28,,,,Matches,197640fd
72,Jonny Castro,es ESP,MFDF,Wolves,27,1994,11.4,,14,,,,,,,,,,,11,,,,Matches,e28868f3
73,Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,,15,,,,,,,,,,,25,,,,Matches,89e4b358
74,Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,,1,,,,,,,,,,,2,,,,Matches,527f063d
75,Kayky Chagas,br BRA,MF,Manchester City,18,2003,0.1,,0,,,,,,,,,,,0,,,,Matches,17734ea0
76,Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,,28,,,,,,,,,,,19,,,,Matches,5515376c
77,Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,,3,,,,,,,,,,,0,,,,Matches,dc6f5bdd
78,Calum Chambers,eng ENG,DFMF,Aston Villa,26,1995,9.2,,8,,,,,,,,,,,5,,,,Matches,dc6f5bdd
79,Daniel Chesters,eng ENG,MF,West Ham,19,2002,0.0,,0,,,,,,,,,,,0,,,,Matches,240c8ab6
80,Ben Chilwell,eng ENG,MF,Chelsea,24,1996,6.0,,3,,,,,,,,,,,4,,,,Matches,d2424d1b
81,Chiquinho,pt POR,MF,Wolves,21,2000,2.3,,6,,,,,,,,,,,1,,,,Matches,dc6c2f02
82,Hamza Choudhury,bd BAN,MFDF,Leicester City,23,1997,3.2,,2,,,,,,,,,,,12,,,,Matches,7d2d3329
83,Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,,9,,,,,,,,,,,32,,,,Matches,1cb49278
84,Carney Chukwuemeka,at AUT,MF,Aston Villa,17,2003,3.3,,0,,,,,,,,,,,2,,,,Matches,b2f9c73e
85,Ciaran Clark,ie IRL,DF,Newcastle,31,1989,11.3,,9,,,,,,,,,,,15,,,,Matches,2b91cf8e
86,Tom Cleverley,eng ENG,MF,Watford,31,1989,18.0,,22,,,,,,,,,,,18,,,,Matches,6cdd8245
87,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15.0,,10,,,,,,,,,,,16,,,,Matches,0442183b
88,Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,,14,,,,,,,,,,,29,,,,Matches,2928dca2
89,Séamus Coleman,ie IRL,DFMF,Everton,32,1988,29.5,,36,,,,,,,,,,,32,,,,Matches,0420d84f
90,Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,,15,,,,,,,,,,,24,,,,Matches,a8c19eb8
91,Aaron Connolly,ie IRL,FW,Brighton,21,2000,1.7,,0,,,,,,,,,,,0,,,,Matches,27c01749
92,Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,,25,,,,,,,,,,,41,,,,Matches,dc64b8b3
93,Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,,8,,,,,,,,,,,17,,,,Matches,74e12f1e
94,Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,,9,,,,,,,,,,,10,,,,Matches,beb391dd
95,Hélder Costa,ao ANG,FWMF,Leeds United,27,1994,0.2,,0,,,,,,,,,,,0,,,,Matches,f13d02a6
96,Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,,25,,,,,,,,,,,21,,,,Matches,fdf3cb77
97,Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,,11,,,,,,,,,,,6,,,,Matches,0ef89a37
98,Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,,19,,,,,,,,,,,32,,,,Matches,4f974391
99,Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,,2,,,,,,,,,,,2,,,,Matches,4654e5f5
100,Cucho,co COL,MFFW,Watford,22,1999,12.7,,5,,,,,,,,,,,7,,,,Matches,71b47ab9
101,Marc Cucurella,es ESP,DFMF,Brighton,23,1998,34.3,,61,,,,,,,,,,,30,,,,Matches,1daec722
102,Luke Cundle,eng ENG,MF,Wolves,19,2002,2.0,,3,,,,,,,,,,,1,,,,Matches,cc3b8e78
103,Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,,10,,,,,,,,,,,2,,,,Matches,ca45605e
104,Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,,61,,,,,,,,,,,55,,,,Matches,67ca8566
105,Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20.0,,39,,,,,,,,,,,28,,,,Matches,d9565625
106,Karl Darlow,wls WAL,GK,Newcastle,30,1990,8.0,,0,,,,,,,,,,,1,,,,Matches,cde3309f
107,Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,2.9,,1,,,,,,,,,,,1,,,,Matches,60344e4f
108,Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,,21,,,,,,,,,,,30,,,,Matches,44781702
109,Tom Davies,eng ENG,MF,Everton,23,1998,2.6,,1,,,,,,,,,,,2,,,,Matches,9228b07c
110,Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,,0,,,,,,,,,,,0,,,,Matches,9deaf2c8
111,Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,,16,,,,,,,,,,,30,,,,Matches,3e9e06cb
112,Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,,16,,,,,,,,,,,7,,,,Matches,e46012d4
113,Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,,0,,,,,,,,,,,0,,,,Matches,82e34b69
114,Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,,0,,,,,,,,,,,0,,,,Matches,dd897ee7
115,Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,,16,,,,,,,,,,,16,,,,Matches,111c3236
116,Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,,17,,,,,,,,,,,10,,,,Matches,5a7301ae
117,Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,28.7,,34,,,,,,,,,,,15,,,,Matches,2c44a35d
118,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,23.4,,23,,,,,,,,,,,20,,,,Matches,5c74c0f5
119,Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,,11,,,,,,,,,,,7,,,,Matches,11ff3d56
120,Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,,20,,,,,,,,,,,24,,,,Matches,31c69ef1
121,Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,,7,,,,,,,,,,,4,,,,Matches,4a1a9578
122,Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,,8,,,,,,,,,,,26,,,,Matches,ac861941
123,Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,,9,,,,,,,,,,,22,,,,Matches,1b84dbe1
124,Lucas Digne,fr FRA,DF,Everton,28,1993,13.0,,19,,,,,,,,,,,14,,,,Matches,1b84dbe1
125,Issa Diop,ma MAR,DF,West Ham,24,1997,10.7,,8,,,,,,,,,,,6,,,,Matches,a712ca2b
126,Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,,4,,,,,,,,,,,2,,,,Matches,254147d4
127,Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,0.4,,1,,,,,,,,,,,0,,,,Matches,e814e1cf
128,Matt Doherty,ie IRL,MF,Tottenham,29,1992,9.7,,11,,,,,,,,,,,13,,,,Matches,d557d734
129,Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,,43,,,,,,,,,,,27,,,,Matches,02b29014
130,Kieran Dowell,eng ENG,MF,Norwich City,23,1997,10.1,,7,,,,,,,,,,,7,,,,Matches,2f6ec02a
131,Cody Drameh,eng ENG,DF,Leeds United,19,2001,1.4,,3,,,,,,,,,,,1,,,,Matches,e0d1510a
132,Martin Dúbravka,sk SVK,GK,Newcastle,32,1989,26.0,,1,,,,,,,,,,,1,,,,Matches,3a949a25
133,Shane Duffy,ie IRL,DF,Brighton,29,1992,16.0,,11,,,,,,,,,,,14,,,,Matches,7314bba4
134,Paul Dummett,wls WAL,DF,Newcastle,29,1991,2.2,,3,,,,,,,,,,,3,,,,Matches,3fe6bd8c
135,Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,,8,,,,,,,,,,,28,,,,Matches,282f75f3
136,Odsonne Édouard,fr FRA,FWMF,Crystal Palace,23,1998,17.4,,12,,,,,,,,,,,1,,,,Matches,0562b7f1
137,CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0.0,,1,,,,,,,,,,,0,,,,Matches,d313e8ff
138,Anthony Elanga,se SWE,MF,Manchester Utd,19,2002,13.5,,18,,,,,,,,,,,8,,,,Matches,2fba6108
139,Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,,0,,,,,,,,,,,4,,,,Matches,b9e1436c
140,Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9.0,,8,,,,,,,,,,,15,,,,Matches,47a34c4f
141,Mohamed Elyounoussi,no NOR,MF,Southampton,26,1994,22.7,,17,,,,,,,,,,,12,,,,Matches,68dc0dac
142,Emerson,br BRA,MFDF,Tottenham,22,1999,25.4,,44,,,,,,,,,,,24,,,,Matches,df8b52a5
143,Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,,6,,,,,,,,,,,8,,,,Matches,980522ec
144,Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,,6,,,,,,,,,,,5,,,,Matches,b579e83d
145,Jonny Evans,nir NIR,DF,Leicester City,33,1988,15.0,,13,,,,,,,,,,,20,,,,Matches,f8fcd2a5
146,Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,6.7,,6,,,,,,,,,,,5,,,,Matches,ae4fc6a4
147,Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37.0,,0,,,,,,,,,,,1,,,,Matches,9328b835
148,Fabinho,br BRA,MF,Liverpool,27,1993,25.7,,29,,,,,,,,,,,38,,,,Matches,7f3b388c
149,Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,,23,,,,,,,,,,,37,,,,Matches,e5d01ecf
150,Evan Ferguson,ie IRL,FW,Brighton,16,2004,0.3,,0,,,,,,,,,,,0,,,,Matches,4596da74
151,Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,,0,,,,,,,,,,,0,,,,Matches,2f8d27bc
152,Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,,27,,,,,,,,,,,16,,,,Matches,507c7bdf
153,Álvaro Fernández,es ESP,GK,Brentford,23,1998,12.0,,0,,,,,,,,,,,0,,,,Matches,f127d782
154,Federico Fernández,ar ARG,DF,Newcastle,32,1989,5.8,,0,,,,,,,,,,,5,,,,Matches,f25b010f
155,Fernandinho,br BRA,MFDF,Manchester City,36,1985,10.7,,10,,,,,,,,,,,8,,,,Matches,101da2b5
156,Roberto Firmino,br BRA,FW,Liverpool,29,1991,11.0,,16,,,,,,,,,,,4,,,,Matches,4c370d81
157,Junior Firpo,do DOM,DFMF,Leeds United,24,1996,19.0,,27,,,,,,,,,,,22,,,,Matches,24f59bb2
158,Ashley Fletcher,eng ENG,FW,Watford,25,1995,0.3,,1,,,,,,,,,,,0,,,,Matches,eeb6551f
159,Phil Foden,eng ENG,FW,Manchester City,21,2000,23.6,,9,,,,,,,,,,,12,,,,Matches,ed1e53f3
160,Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7.0,,8,,,,,,,,,,,7,,,,Matches,132a82f1
161,Pablo Fornals,es ESP,MF,West Ham,25,1996,31.1,,26,,,,,,,,,,,23,,,,Matches,82927de4
162,Adam Forshaw,eng ENG,MF,Leeds United,29,1991,17.0,,21,,,,,,,,,,,18,,,,Matches,9f1938ab
163,Marcus Forss,fi FIN,FW,Brentford,22,1999,2.3,,3,,,,,,,,,,,1,,,,Matches,82c215a0
164,Fraser Forster,eng ENG,GK,Southampton,33,1988,19.0,,0,,,,,,,,,,,0,,,,Matches,c3e39f12
165,Ben Foster,eng ENG,GK,Watford,38,1983,26.0,,0,,,,,,,,,,,0,,,,Matches,d0b3ceb9
166,Tariqe Fosu,gh GHA,FWMF,Brentford,25,1995,0.2,,0,,,,,,,,,,,0,,,,Matches,3dcef539
167,Ryan Fraser,sct SCO,FWMF,Newcastle,27,1994,16.3,,4,,,,,,,,,,,11,,,,Matches,d56543a0
168,Fred,br BRA,MF,Manchester Utd,28,1993,22.5,,27,,,,,,,,,,,31,,,,Matches,b853e0ad
169,Ryan Fredericks,eng ENG,DF,West Ham,28,1992,3.4,,2,,,,,,,,,,,4,,,,Matches,c067631c
170,Leo Fuhr Hjelde,no NOR,DF,Leeds United,17,2003,1.7,,4,,,,,,,,,,,4,,,,Matches,d102b8a2
171,Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,31.6,,35,,,,,,,,,,,26,,,,Matches,c2731c10
172,Alejandro Garnacho,ar ARG,MF,Manchester Utd,17,2004,0.1,,0,,,,,,,,,,,0,,,,Matches,7aa8adfe
