season,gw,fpl_id,name,pos,team,price,proj_pts
2023-24,1,291,Alisson,GK,LIV,5.5,3.910136919
2023-24,1,520,Vicario,GK,TOT,5.0,4.136571176
2023-24,1,352,Ederson,GK,MCI,5.5,3.880864145
2023-24,1,49,E Martinez,GK,AVL,5.0,3.491811114
2023-24,1,17,Ramsdale,GK,ARS,5.0,4.622369308
2023-24,1,597,Andre Onana,GK,MUN,5.0,4.020393585
2023-24,1,187,Kepa,GK,CHE,5.0,3.940396771
2023-24,1,424,Pope,GK,NEW,5.5,3.779921462
2023-24,1,230,Johnstone,GK,CRY,4.5,4.053119065
2023-24,1,263,Pickford,GK,EVE,4.5,3.771992764
2023-24,1,148,Steele,GK,BHA,4.5,4.686094198
2023-24,1,101,Flekken,GK,BRE,4.5,3.119172666
2023-24,1,275,Leno,GK,FUL,4.5,3.453029872
2023-24,1,77,N Neto,GK,BOU,4.5,3.655144575
2023-24,1,569,Sa,GK,WOL,5.0,2.653420728
2023-24,1,533,Fabianski,GK,WHU,4.5,3.472005889
2023-24,1,596,Trafford,GK,BUR,4.5,0.103195453
2023-24,1,482,Foderingham,GK,SHU,4.5,3.201694365
2023-24,1,614,Kaminski,GK,LUT,4.5,2.495218
2023-24,1,28,Turner,GK,NFO,4.0,2.363791337
2023-24,1,385,Henderson,GK,MUN,4.5,0.080500804
2023-24,1,145,Sanchez,GK,CHE,4.5,0.153393571
2023-24,1,113,Raya,GK,ARS,5.0,0.217133704
2023-24,1,152,Verbruggen,GK,BHA,4.5,0.201419809
2023-24,1,361,Ortega,GK,MCI,4.0,0.32059683
2023-24,1,524,Areola,GK,WHU,4.0,0.142105642
2023-24,1,172,Muric,GK,BUR,4.5,2.335564592
2023-24,1,227,Guaita,GK,CRY,4.5,0.0
2023-24,1,53,Olsen,GK,AVL,4.0,0.060873638
2023-24,1,301,Kelleher,GK,LIV,4.0,0.069480553
2023-24,1,479,A Davies,GK,SHU,4.0,0.063249299
2023-24,1,335,Shea,GK,LUT,4.5,0.050880301
