season,gw,fpl_id,name,pos,team,price,proj_pts
2021-22,1,231,Alisson,GK,LIV,6.0,4.113145822
2021-22,1,257,Ederson,GK,MCI,6.0,3.712562347
2021-22,1,143,E Mendy,GK,CHE,6.0,4.561844606
2021-22,1,30,Martinez,GK,AVL,5.5,4.117363205
2021-22,1,69,R Sanchez,GK,BHA,4.5,3.854230492
2021-22,1,1,Leno,GK,ARS,5.0,3.918711806
2021-22,1,353,Lloris,GK,TOT,5.5,3.35387106
2021-22,1,199,Meslier,GK,LEE,5.0,3.10401625
2021-22,1,112,Pope,GK,BUR,5.5,4.152741865
2021-22,1,170,Pickford,GK,EVE,5.0,3.97651649
2021-22,1,475,Sa,GK,WOL,5.0,2.967692777
2021-22,1,200,Schmeichel,GK,LEI,5.0,3.957741207
2021-22,1,146,Guaita,GK,CRY,4.5,2.750369641
2021-22,1,489,Areola,GK,WHU,5.0,2.966925181
2021-22,1,280,D Henderson,GK,MUN,5.0,0.809428367
2021-22,1,80,Raya,GK,BRE,4.5,2.990207239
2021-22,1,334,McCarthy,GK,SOU,4.5,2.376086788
2021-22,1,270,de Gea,GK,MUN,5.0,3.164021892
2021-22,1,295,Dubravka,GK,NEW,4.5,0.0
2021-22,1,314,Krul,GK,NOR,4.5,2.222310452
2021-22,1,389,Bachmann,GK,WAT,4.5,2.377089583
2021-22,1,294,Darlow,GK,NEW,4.5,1.142521283
2021-22,1,408,Fabianski,GK,WHU,5.0,0.763771192
2021-22,1,333,Forster,GK,SOU,4.5,0.744611448
2021-22,1,513,Woodman,GK,NEW,4.5,2.416067132
2021-22,1,129,Arrizabalaga,GK,CHE,5.0,0.337946075
2021-22,1,376,Foster,GK,WAT,4.0,0.30448739
2021-22,1,448,Gunn,GK,NOR,4.0,0.274179619
2021-22,1,480,Hennessey,GK,BUR,4.5,0.20789437
2021-22,1,156,Butland,GK,CRY,4.5,0.105114011
2021-22,1,242,Kelleher,GK,LIV,4.5,0.091455156
2021-22,1,260,Steffen,GK,MCI,4.5,0.078478825
2021-22,1,2,Runarsson,GK,ARS,4.0,0.07732921
2021-22,1,486,Gollini,GK,TOT,4.5,0.062035714
2021-22,1,204,D Ward,GK,LEI,4.0,0.082444717
2021-22,1,490,Klaesson,GK,LEE,4.5,0.058663359
2021-22,1,28,Steer,GK,AVL,4.0,0.071793858
2021-22,1,444,Sondergaard,GK,WOL,4.0,0.061568176
2021-22,1,452,Ruddy,GK,WOL,4.5,0.061426427
2021-22,1,54,Steele,GK,BHA,4.0,0.069244236
2021-22,1,476,Scherpen,GK,BHA,4.5,0.007934752
2021-22,1,181,Virginia,GK,EVE,4.0,0.039594511
2021-22,1,481,Begovic,GK,EVE,4.0,0.03772966
2021-22,1,509,Heaton,GK,MUN,4.0,0.008004737
2021-22,1,514,Gillespie,GK,NEW,4.0,0.007231034
2021-22,1,407,Randolph,GK,WHU,4.5,0.007242051
2021-22,1,114,Norris,GK,BUR,4.5,0.00777226
2021-22,1,94,Gunnarsson,GK,BRE,4.0,0.005913218
2021-22,1,223,Adrian,GK,LIV,4.5,0.000804684
2021-22,1,313,McGovern,GK,NOR,4.0,0.004869693
2021-22,1,92,Balcombe,GK,BRE,4.0,0.0
2021-22,1,352,Hart,GK,TOT,4.5,0.0
2021-22,1,65,Ryan,GK,BHA,4.5,0.0
2021-22,1,117,Peacock-Farrell,GK,BUR,4.5,0.0
2021-22,1,183,Casilla,GK,LEE,4.5,0.0
2021-22,1,427,Patricio,GK,WOL,5.0,0.0
2021-22,1,237,Trent,DEF,LIV,7.5,5.094352459
2021-22,1,262,Dias,DEF,MCI,6.0,3.646652995
2021-22,1,275,Shaw,DEF,MUN,5.5,4.08391313
2021-22,1,229,van Dijk,DEF,LIV,6.5,3.253587365
2021-22,1,119,Azpilicueta,DEF,CHE,6.0,5.156620972
2021-22,1,135,Chilwell,DEF,CHE,6.0,3.43864697
2021-22,1,127,Rudiger,DEF,CHE,5.5,4.898218544
2021-22,1,59,Dunk,DEF,BHA,5.0,3.536423405
2021-22,1,288,Wan-Bissaka,DEF,MUN,5.5,3.844516694
2021-22,1,168,Digne,DEF,EVE,5.5,4.356459726
2021-22,1,273,Maguire,DEF,MUN,5.5,3.715756492
2021-22,1,256,Cancelo,DEF,MCI,6.0,3.315105284
2021-22,1,62,Veltman,DEF,BHA,4.5,3.443066706
2021-22,1,411,Cresswell,DEF,WHU,5.5,3.479310958
2021-22,1,437,Semedo,DEF,WOL,5.0,2.547152827
2021-22,1,61,Webster,DEF,BHA,4.5,3.123937755
2021-22,1,370,Reguilon,DEF,TOT,5.0,2.449170944
2021-22,1,418,Coufal,DEF,WHU,5.0,3.435536135
2021-22,1,142,R James,DEF,CHE,5.5,2.169256145
2021-22,1,249,Walker,DEF,MCI,5.5,1.354131066
2021-22,1,217,Soyuncu,DEF,LEI,5.0,3.73231868
2021-22,1,264,Zinchenko,DEF,MCI,5.5,2.800600925
2021-22,1,16,Tierney,DEF,ARS,5.0,3.204335374
2021-22,1,45,Konsa,DEF,AVL,5.0,3.136606565
2021-22,1,169,Keane,DEF,EVE,5.0,3.375343851
2021-22,1,245,Tsimikas,DEF,LIV,4.0,3.595197297
2021-22,1,44,Cash,DEF,AVL,5.0,3.117317849
2021-22,1,234,Robertson,DEF,LIV,7.0,0.04918202
2021-22,1,252,Stones,DEF,MCI,5.5,1.115544878
2021-22,1,38,Mings,DEF,AVL,5.0,3.013145123
2021-22,1,414,Dawson,DEF,WHU,5.0,3.260577365
2021-22,1,67,White,DEF,ARS,4.5,3.107062595
2021-22,1,207,R Pereira,DEF,LEI,5.5,3.328215935
2021-22,1,358,Aurier,DEF,TOT,5.0,1.758606587
2021-22,1,121,T Silva,DEF,CHE,5.5,1.423945559
2021-22,1,185,Ayling,DEF,LEE,4.5,1.961330161
2021-22,1,342,Walker-Peters,DEF,SOU,5.0,2.67771377
2021-22,1,39,Targett,DEF,AVL,5.0,2.515408328
2021-22,1,292,Ritchie,DEF,NEW,5.0,3.174483358
2021-22,1,10,Chambers,DEF,ARS,4.5,2.863118685
2021-22,1,470,Ait-Nouri,DEF,WOL,4.5,2.369877212
2021-22,1,429,Coady,DEF,WOL,4.5,2.348187474
2021-22,1,98,Tarkowski,DEF,BUR,5.0,3.584330354
2021-22,1,175,Mina,DEF,EVE,5.0,2.951034602
2021-22,1,460,Perraud,DEF,SOU,5.0,2.484788631
2021-22,1,409,Ogbonna,DEF,WHU,5.0,1.448359852
2021-22,1,463,Firpo,DEF,LEE,5.0,0.768088836
2021-22,1,431,Saiss,DEF,WOL,5.0,2.62827339
2021-22,1,340,Vestergaard,DEF,LEI,5.0,2.025850256
2021-22,1,361,Dier,DEF,TOT,4.5,2.06540415
2021-22,1,179,Godfrey,DEF,EVE,5.0,2.867832648
2021-22,1,299,Lascelles,DEF,NEW,4.5,2.881215789
2021-22,1,209,Castagne,DEF,LEI,5.5,1.358804127
2021-22,1,23,Gabriel,DEF,ARS,5.0,0.33117016
2021-22,1,343,Bednarek,DEF,SOU,4.5,2.512692626
2021-22,1,473,Bertrand,DEF,LEI,5.0,2.982500652
2021-22,1,106,Mee,DEF,BUR,5.0,3.379581594
2021-22,1,305,Schar,DEF,NEW,4.5,2.832213749
2021-22,1,259,Laporte,DEF,MCI,5.5,0.739413618
2021-22,1,258,Ake,DEF,MCI,5.0,2.018899606
2021-22,1,494,Romero,DEF,TOT,5.0,0.774678366
2021-22,1,428,Boly,DEF,WOL,5.0,0.120930889
2021-22,1,91,Pinnock,DEF,BRE,4.5,2.382044002
2021-22,1,122,Alonso,DEF,CHE,5.5,3.328079724
